spectrum_id,file_name,rruff_official_id,rruff_official_name,rruff_url,excitation_nm,rruff_status,label_category_final,split_v3,qc_status,qc_reason,recommended_action,provenance_confidence
PARENT_0338,Aragonite__R150021__Raman__780__0__unoriented__Raman_Data_RAW__38866,R150021,Aragonite,https://rruff.info/R150021,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0339,Calcite__R040070__Raman__532__0__unoriented__Raman_Data_RAW__15329,R040070,Calcite,https://rruff.info/R040070,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0340,Calcite__R040070__Raman__785__0__unoriented__Raman_Data_RAW__15333,R040070,Calcite,https://rruff.info/R040070,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0341,Calcite__R040170__Raman__514__0__unoriented__Raman_Data_RAW__9652,R040170,Calcite,https://rruff.info/R040170,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0342,Calcite__R040170__Raman__532__0__unoriented__Raman_Data_RAW__20885,R040170,Calcite,https://rruff.info/R040170,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0343,Calcite__R040170__Raman__785__0__unoriented__Raman_Data_RAW__20887,R040170,Calcite,https://rruff.info/R040170,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0344,Calcite__R050048__Raman__514__0__unoriented__Raman_Data_RAW__9919,R050048,Calcite,https://rruff.info/R050048,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0345,Calcite__R050048__Raman__532__0__unoriented__Raman_Data_RAW__21179,R050048,Calcite,https://rruff.info/R050048,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0346,Calcite__R050048__Raman__785__0__unoriented__Raman_Data_RAW__21181,R050048,Calcite,https://rruff.info/R050048,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0347,Calcite__R050009__Raman__514__0__unoriented__Raman_Data_RAW__9848,R050009,Calcite,https://rruff.info/R050009,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0348,Calcite__R050009__Raman__785__0__unoriented__Raman_Data_RAW__21024,R050009,Calcite,https://rruff.info/R050009,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0349,Calcite__R050009__Raman__532__0__unoriented__Raman_Data_RAW__21026,R050009,Calcite,https://rruff.info/R050009,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0350,Calcite__R050127__Raman__514__0__unoriented__Raman_Data_RAW__10125,R050127,Calcite,https://rruff.info/R050127,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0351,Calcite__R050127__Raman__780__0__unoriented__Raman_Data_RAW__27191,R050127,Calcite,https://rruff.info/R050127,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0352,Calcite__R050127__Raman__532__0__unoriented__Raman_Data_RAW__27193,R050127,Calcite,https://rruff.info/R050127,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0353,Calcite__R050128__Raman__514__0__unoriented__Raman_Data_RAW__5645,R050128,Calcite,https://rruff.info/R050128,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0354,Calcite__R050128__Raman__532__0__unoriented__Raman_Data_RAW__27264,R050128,Calcite,https://rruff.info/R050128,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0355,Calcite__R050128__Raman__780__0__unoriented__Raman_Data_RAW__27266,R050128,Calcite,https://rruff.info/R050128,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0356,Calcite__R050130__Raman__514__0__unoriented__Raman_Data_RAW__10129,R050130,Calcite,https://rruff.info/R050130,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0357,Calcite__R050130__Raman__532__0__unoriented__Raman_Data_RAW__27272,R050130,Calcite,https://rruff.info/R050130,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0358,Calcite__R050130__Raman__780__0__unoriented__Raman_Data_RAW__27274,R050130,Calcite,https://rruff.info/R050130,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0359,Calcite__X050034__Raman__785__0__unoriented__Raman_Data_Processed__6494,X050034,Calcite,https://rruff.info/X050034,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0360,Calcite__X050035__Raman__785__0__unoriented__Raman_Data_Processed__6495,X050035,Calcite,https://rruff.info/X050035,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0361,Calcite__R050307__Raman__514__0__unoriented__Raman_Data_RAW__10749,R050307,Calcite,https://rruff.info/R050307,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0362,Calcite__R050307__Raman__780__0__unoriented__Raman_Data_RAW__28759,R050307,Calcite,https://rruff.info/R050307,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0363,Calcite__R050307__Raman__532__0__unoriented__Raman_Data_RAW__28761,R050307,Calcite,https://rruff.info/R050307,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0364,Calcite__R150020__Raman__532__0__unoriented__Raman_Data_RAW__38860,R150020,Calcite,https://rruff.info/R150020,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0365,Calcite__R150020__Raman__780__0__unoriented__Raman_Data_RAW__38862,R150020,Calcite,https://rruff.info/R150020,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0366,Calcite__R150075__Raman__532__0__unoriented__Raman_Data_RAW__38606,R150075,Calcite,https://rruff.info/R150075,532.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0367,Calcite__R150075__Raman__780__0__unoriented__Raman_Data_RAW__38608,R150075,Calcite,https://rruff.info/R150075,780.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0368,Dolomite__R040030__Raman__514__0__unoriented__Raman_Data_RAW__9309,R040030,Dolomite,https://rruff.info/R040030,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0369,Dolomite__R040030__Raman__780__0__unoriented__Raman_Data_RAW__26336,R040030,Dolomite,https://rruff.info/R040030,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0370,Dolomite__R040030__Raman__532__0__unoriented__Raman_Data_RAW__26338,R040030,Dolomite,https://rruff.info/R040030,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0371,Dolomite__R050129__Raman__514__0__unoriented__Raman_Data_RAW__10127,R050129,Dolomite,https://rruff.info/R050129,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0372,Dolomite__R050129__Raman__780__0__unoriented__Raman_Data_RAW__27268,R050129,Dolomite,https://rruff.info/R050129,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0373,Dolomite__R050129__Raman__532__0__unoriented__Raman_Data_RAW__27270,R050129,Dolomite,https://rruff.info/R050129,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0374,Dolomite__X050062__Raman__785__0__unoriented__Raman_Data_Processed__6480,X050062,Dolomite,https://rruff.info/X050062,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0375,Dolomite__X050063__Raman__785__0__unoriented__Raman_Data_Processed__6481,X050063,Dolomite,https://rruff.info/X050063,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0376,Dolomite__R050241__Raman__514__0__unoriented__Raman_Data_RAW__10645,R050241,Dolomite,https://rruff.info/R050241,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0377,Dolomite__R050241__Raman__780__0__unoriented__Raman_Data_RAW__28090,R050241,Dolomite,https://rruff.info/R050241,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0378,Dolomite__R050241__Raman__532__0__unoriented__Raman_Data_RAW__28092,R050241,Dolomite,https://rruff.info/R050241,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0379,Dolomite__R050272__Raman__514__0__unoriented__Raman_Data_RAW__10691,R050272,Dolomite,https://rruff.info/R050272,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0380,Dolomite__R050272__Raman__532__0__unoriented__Raman_Data_RAW__28295,R050272,Dolomite,https://rruff.info/R050272,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0381,Dolomite__R050272__Raman__780__0__unoriented__Raman_Data_RAW__28297,R050272,Dolomite,https://rruff.info/R050272,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0382,Dolomite__R050357__Raman__514__0__unoriented__Raman_Data_RAW__10813,R050357,Dolomite,https://rruff.info/R050357,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0383,Dolomite__R050357__Raman__532__0__unoriented__Raman_Data_RAW__29455,R050357,Dolomite,https://rruff.info/R050357,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0384,Dolomite__R050357__Raman__780__0__unoriented__Raman_Data_RAW__29457,R050357,Dolomite,https://rruff.info/R050357,780.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0385,Dolomite__R050370__Raman__532__0__unoriented__Raman_Data_RAW__29621,R050370,Dolomite,https://rruff.info/R050370,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0386,Dolomite__R050370__Raman__532__0__unoriented__Raman_Data_RAW__29621,R050370,Dolomite,https://rruff.info/R050370,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0387,Dolomite__R100118__Raman__532__0__unoriented__Raman_Data_RAW__34450,R100118,Dolomite,https://rruff.info/R100118,532.0,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0388,Dolomite__R100118__Raman__780__0__unoriented__Raman_Data_RAW__34452,R100118,Dolomite,https://rruff.info/R100118,780.0,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,Carbonate,test,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0389,Dolomite__R100168__Raman__532__0__unoriented__Raman_Data_RAW__34679,R100168,Dolomite,https://rruff.info/R100168,532.0,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0390,Dolomite__R100168__Raman__780__0__unoriented__Raman_Data_RAW__34681,R100168,Dolomite,https://rruff.info/R100168,780.0,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0391,Magnesite__R040114__Raman__514__0__unoriented__Raman_Data_RAW__9518,R040114,Magnesite,https://rruff.info/R040114,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0392,Magnesite__R040114__Raman__532__0__unoriented__Raman_Data_RAW__19695,R040114,Magnesite,https://rruff.info/R040114,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0393,Magnesite__R040114__Raman__785__0__unoriented__Raman_Data_RAW__19697,R040114,Magnesite,https://rruff.info/R040114,785.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0394,Magnesite__X050115__Raman__785__0__unoriented__Raman_Data_Processed__6609,X050115,Magnesite,https://rruff.info/X050115,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,val,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0395,Magnesite__X050116__Raman__785__0__unoriented__Raman_Data_Processed__6610,X050116,Magnesite,https://rruff.info/X050116,785.0,The identification of this mineral has been determined only by Raman spectroscopy,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation; RRUFF processed spectrum; verify processing provenance and avoid mixing incompatible baselines,retain_after_manual_qc,verified_public_database_record
PARENT_0396,Magnesite__R050443__Raman__514__0__unoriented__Raman_Data_RAW__10890,R050443,Magnesite,https://rruff.info/R050443,514.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
PARENT_0397,Magnesite__R050443__Raman__532__0__unoriented__Raman_Data_RAW__30763,R050443,Magnesite,https://rruff.info/R050443,532.0,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,Carbonate,train,include_pending_manual_review,visible/NIR Raman used for DUV transfer; document excitation-domain limitation,retain_after_manual_qc,verified_public_database_record
