split_v3,source_type,mineral_superclass,n_spectra
train,Lab-acquired DUV spectra,Other Silicates,3
train,Lab-acquired DUV spectra,Oxides/Hydroxides,4
train,Lab-acquired DUV spectra,Phosphate,2
train,Lab-acquired DUV spectra,Plagioclase,2
train,Lab-acquired DUV spectra,Pyroxene,7
train,Lab-acquired DUV spectra,Serpentine,4
train,Lab-acquired DUV spectra,Silica Phase,2
train,Lab-acquired DUV spectra,Sulfate,19
train,Martian meteorite spectra,Glass,1
train,Martian meteorite spectra,Oxides/Hydroxides,3
train,Martian meteorite spectra,Pyroxene,1
train,RRUFF database,Borate,11
train,RRUFF database,Carbonate,72
train,RRUFF database,Clay,38
train,RRUFF database,Halides,4
train,RRUFF database,K-Feldspar,36
train,RRUFF database,Mica,38
train,RRUFF database,Olivine,29
train,RRUFF database,Other Silicates,79
train,RRUFF database,Oxides/Hydroxides,24
train,RRUFF database,Phosphate,26
train,RRUFF database,Plagioclase,41
train,RRUFF database,Pyroxene,101
train,RRUFF database,Serpentine,6
train,RRUFF database,Silica Phase,36
train,RRUFF database,Sulfate,19
train,Synthetic meteorite mineral spot spectra,Olivine,100
train,Synthetic meteorite mineral spot spectra,Oxides/Hydroxides,100
train,Synthetic meteorite mineral spot spectra,Phyllosilicates,100
train,Synthetic meteorite mineral spot spectra,Plagioclase,100
train,Synthetic meteorite mineral spot spectra,Pyroxene,200
train,Synthetic meteorite mineral spot spectra,Silica Phase,100
train,Synthetic meteorite mineral spot spectra,Sulfate,100
val,Lab-acquired DUV spectra,Carbonate,2
val,Lab-acquired DUV spectra,Clay,1
val,Lab-acquired DUV spectra,Halides,3
val,Lab-acquired DUV spectra,K-Feldspar,1
val,Lab-acquired DUV spectra,Olivine,1
val,Lab-acquired DUV spectra,Oxides/Hydroxides,2
val,Lab-acquired DUV spectra,Plagioclase,2
val,Lab-acquired DUV spectra,Serpentine,1
val,Lab-acquired DUV spectra,Silica Phase,2
val,Lab-acquired DUV spectra,Sulfate,4
val,Martian meteorite spectra,Oxides/Hydroxides,1
val,RRUFF database,Borate,1
val,RRUFF database,Carbonate,21
val,RRUFF database,Clay,10
val,RRUFF database,K-Feldspar,4
val,RRUFF database,Mica,6
val,RRUFF database,Olivine,14
val,RRUFF database,Other Silicates,17
val,RRUFF database,Oxides/Hydroxides,4
val,RRUFF database,Phosphate,5
val,RRUFF database,Plagioclase,6
val,RRUFF database,Pyroxene,20
val,RRUFF database,Serpentine,2
val,RRUFF database,Silica Phase,6
val,RRUFF database,Sulfate,1
