spectrum_id,file_name_clean,major_category,subtype_label,source_type,source_id,parent_group,split_main,split_zero_shot_protocol,qc_status
PARENT_0019,Diopside__R060085__Raman__532__0__unoriented__Raman_Data_RAW__27595,Pyroxene,Diopside,RRUFF database,R060085,RRUFF database__R060085,train,earth_train_pool,include_pending_manual_review
PARENT_0020,Diopside__R060085__Raman__780__0__unoriented__Raman_Data_RAW__36683,Pyroxene,Diopside,RRUFF database,R060085,RRUFF database__R060085,train,earth_train_pool,include_pending_manual_review
PARENT_0021,Diopside__R060171__Raman__532__0__unoriented__Raman_Data_RAW__33158,Pyroxene,Diopside,RRUFF database,R060171,RRUFF database__R060171,train,earth_train_pool,include_pending_manual_review
PARENT_0022,Diopside__R060171__Raman__780__0__unoriented__Raman_Data_RAW__33160,Pyroxene,Diopside,RRUFF database,R060171,RRUFF database__R060171,train,earth_train_pool,include_pending_manual_review
PARENT_0023,Diopside__R060276__Raman__532__0__unoriented__Raman_Data_RAW__34009,Pyroxene,Diopside,RRUFF database,R060276,RRUFF database__R060276,train,earth_train_pool,include_pending_manual_review
PARENT_0024,Diopside__R060861__Raman__532__0__unoriented__Raman_Data_RAW__13064,Pyroxene,Diopside,RRUFF database,R060861,RRUFF database__R060861,train,earth_train_pool,include_pending_manual_review
PARENT_0025,Diopside__R060861__Raman__785__0__unoriented__Raman_Data_RAW__18641,Pyroxene,Diopside,RRUFF database,R060861,RRUFF database__R060861,train,earth_train_pool,include_pending_manual_review
PARENT_0026,Diopside__R070123__Raman__532__0__unoriented__Raman_Data_RAW__18437,Pyroxene,Diopside,RRUFF database,R070123,RRUFF database__R070123,test,earth_train_pool,include_pending_manual_review
PARENT_0027,Diopside__R070123__Raman__785__0__unoriented__Raman_Data_RAW__18439,Pyroxene,Diopside,RRUFF database,R070123,RRUFF database__R070123,test,earth_train_pool,include_pending_manual_review
PARENT_0028,Diopside__R090046__Raman__532__0__unoriented__Raman_Data_RAW__32775,Pyroxene,Diopside,RRUFF database,R090046,RRUFF database__R090046,train,earth_train_pool,include_pending_manual_review
PARENT_0029,Diopside__R110128__Raman__532__0__unoriented__Raman_Data_RAW__35623,Pyroxene,Diopside,RRUFF database,R110128,RRUFF database__R110128,train,earth_train_pool,include_pending_manual_review
PARENT_0030,Diopside__R110128__Raman__780__0__unoriented__Raman_Data_RAW__35625,Pyroxene,Diopside,RRUFF database,R110128,RRUFF database__R110128,train,earth_train_pool,include_pending_manual_review
PARENT_0031,Diopside__R120003__Raman__532__0__unoriented__Raman_Data_RAW__36354,Pyroxene,Diopside,RRUFF database,R120003,RRUFF database__R120003,test,earth_train_pool,include_pending_manual_review
PARENT_0032,Diopside__R120003__Raman__780__0__unoriented__Raman_Data_RAW__36356,Pyroxene,Diopside,RRUFF database,R120003,RRUFF database__R120003,test,earth_train_pool,include_pending_manual_review
PARENT_0033,Augite__X050024__Raman__785__0__unoriented__Raman_Data_Processed__6460,Pyroxene,Augite,RRUFF database,X050024,RRUFF database__X050024,train,earth_train_pool,include_pending_manual_review
PARENT_0034,Augite__X050025__Raman__785__0__unoriented__Raman_Data_Processed__6461,Pyroxene,Augite,RRUFF database,X050025,RRUFF database__X050025,train,earth_train_pool,include_pending_manual_review
PARENT_0035,Augite__R061086__Raman__532__0__unoriented__Raman_Data_RAW__15932,Pyroxene,Augite,RRUFF database,R061086,RRUFF database__R061086,train,earth_train_pool,include_pending_manual_review
PARENT_0036,Augite__R061086__Raman__785__0__unoriented__Raman_Data_RAW__15934,Pyroxene,Augite,RRUFF database,R061086,RRUFF database__R061086,train,earth_train_pool,include_pending_manual_review
PARENT_0037,Augite__R061108__Raman__532__0__unoriented__Raman_Data_RAW__16309,Pyroxene,Augite,RRUFF database,R061108,RRUFF database__R061108,train,earth_train_pool,include_pending_manual_review
PARENT_0038,Augite__R061108__Raman__785__0__unoriented__Raman_Data_RAW__16311,Pyroxene,Augite,RRUFF database,R061108,RRUFF database__R061108,train,earth_train_pool,include_pending_manual_review
PARENT_0039,Augite__R070231__Raman__532__0__unoriented__Raman_Data_RAW__20123,Pyroxene,Augite,RRUFF database,R070231,RRUFF database__R070231,train,earth_train_pool,include_pending_manual_review
PARENT_0040,Augite__R070231__Raman__785__0__unoriented__Raman_Data_RAW__20125,Pyroxene,Augite,RRUFF database,R070231,RRUFF database__R070231,train,earth_train_pool,include_pending_manual_review
PARENT_0041,Augite__R110063__Raman__532__0__unoriented__Raman_Data_RAW__35393,Pyroxene,Augite,RRUFF database,R110063,RRUFF database__R110063,train,earth_train_pool,include_pending_manual_review
PARENT_0042,Augite__R110063__Raman__780__0__unoriented__Raman_Data_RAW__35395,Pyroxene,Augite,RRUFF database,R110063,RRUFF database__R110063,train,earth_train_pool,include_pending_manual_review
PARENT_0043,Hedenbergite__R050030__Raman__514__0__unoriented__Raman_Data_RAW__9912,Pyroxene,Hedenbergite,RRUFF database,R050030,RRUFF database__R050030,test,earth_train_pool,include_pending_manual_review
PARENT_0044,Hedenbergite__R050030__Raman__532__0__unoriented__Raman_Data_RAW__21078,Pyroxene,Hedenbergite,RRUFF database,R050030,RRUFF database__R050030,test,earth_train_pool,include_pending_manual_review
PARENT_0045,Hedenbergite__R050030__Raman__785__0__unoriented__Raman_Data_RAW__21080,Pyroxene,Hedenbergite,RRUFF database,R050030,RRUFF database__R050030,test,earth_train_pool,include_pending_manual_review
PARENT_0046,Hedenbergite__R060040__Raman__532__0__unoriented__Raman_Data_RAW__38696,Pyroxene,Hedenbergite,RRUFF database,R060040,RRUFF database__R060040,train,earth_train_pool,include_pending_manual_review
PARENT_0047,Hedenbergite__R060040__Raman__780__0__unoriented__Raman_Data_RAW__38698,Pyroxene,Hedenbergite,RRUFF database,R060040,RRUFF database__R060040,train,earth_train_pool,include_pending_manual_review
PARENT_0048,Hedenbergite__R070136__Raman__532__0__unoriented__Raman_Data_RAW__18440,Pyroxene,Hedenbergite,RRUFF database,R070136,RRUFF database__R070136,train,earth_train_pool,include_pending_manual_review
PARENT_0049,Hedenbergite__R070136__Raman__785__0__unoriented__Raman_Data_RAW__18442,Pyroxene,Hedenbergite,RRUFF database,R070136,RRUFF database__R070136,train,earth_train_pool,include_pending_manual_review
PARENT_0050,Hedenbergite__R070236__Raman__532__0__unoriented__Raman_Data_RAW__20240,Pyroxene,Hedenbergite,RRUFF database,R070236,RRUFF database__R070236,val,earth_train_pool,include_pending_manual_review
PARENT_0051,Hedenbergite__R070236__Raman__785__0__unoriented__Raman_Data_RAW__20242,Pyroxene,Hedenbergite,RRUFF database,R070236,RRUFF database__R070236,val,earth_train_pool,include_pending_manual_review
PARENT_0052,Pigeonite__R200002__Raman__532__0__unoriented__Raman_Data_RAW__40480,Pyroxene,Pigeonite,RRUFF database,R200002,RRUFF database__R200002,train,earth_train_pool,include_pending_manual_review
PARENT_0053,Pigeonite__R200002__Raman__780__0__unoriented__Raman_Data_RAW__40482,Pyroxene,Pigeonite,RRUFF database,R200002,RRUFF database__R200002,train,earth_train_pool,include_pending_manual_review
PARENT_0054,Enstatite__R040093__Raman__532__0__unoriented__Raman_Data_RAW__15697,Pyroxene,Enstatite,RRUFF database,R040093,RRUFF database__R040093,train,earth_train_pool,include_pending_manual_review
PARENT_0055,Enstatite__R040093__Raman__785__0__unoriented__Raman_Data_RAW__15699,Pyroxene,Enstatite,RRUFF database,R040093,RRUFF database__R040093,train,earth_train_pool,include_pending_manual_review
PARENT_0056,Enstatite__R040094__Raman__532__0__unoriented__Raman_Data_RAW__15703,Pyroxene,Enstatite,RRUFF database,R040094,RRUFF database__R040094,train,earth_train_pool,include_pending_manual_review
PARENT_0057,Enstatite__R040094__Raman__785__0__unoriented__Raman_Data_RAW__15701,Pyroxene,Enstatite,RRUFF database,R040094,RRUFF database__R040094,train,earth_train_pool,include_pending_manual_review
PARENT_0058,Enstatite__X050192__Raman__785__0__unoriented__Raman_Data_Processed__6493,Pyroxene,Enstatite,RRUFF database,X050192,RRUFF database__X050192,val,earth_train_pool,include_pending_manual_review
PARENT_0059,Enstatite__X050068.3__Raman__785__0__unoriented__Raman_Data_Processed__6531,Pyroxene,Enstatite,RRUFF database,X050068.3,RRUFF database__X050068.3,train,earth_train_pool,include_pending_manual_review
PARENT_0060,Enstatite__X050068.4__Raman__785__0__unoriented__Raman_Data_Processed__6532,Pyroxene,Enstatite,RRUFF database,X050068.4,RRUFF database__X050068.4,test,earth_train_pool,include_pending_manual_review
PARENT_0061,Enstatite__X050068.5__Raman__785__0__unoriented__Raman_Data_Processed__6533,Pyroxene,Enstatite,RRUFF database,X050068.5,RRUFF database__X050068.5,val,earth_train_pool,include_pending_manual_review
PARENT_0062,Enstatite__X050069__Raman__785__0__unoriented__Raman_Data_Processed__6534,Pyroxene,Enstatite,RRUFF database,X050069,RRUFF database__X050069,train,earth_train_pool,include_pending_manual_review
PARENT_0063,Enstatite__X050193__Raman__785__0__unoriented__Raman_Data_Processed__6535,Pyroxene,Enstatite,RRUFF database,X050193,RRUFF database__X050193,train,earth_train_pool,include_pending_manual_review
PARENT_0064,Enstatite__X050070__Raman__785__0__unoriented__Raman_Data_Processed__6537,Pyroxene,Enstatite,RRUFF database,X050070,RRUFF database__X050070,test,earth_train_pool,include_pending_manual_review
PARENT_0065,Enstatite__R050644__Raman__532__0__unoriented__Raman_Data_RAW__32740,Pyroxene,Enstatite,RRUFF database,R050644,RRUFF database__R050644,train,earth_train_pool,include_pending_manual_review
PARENT_0066,Enstatite__R050644__Raman__780__0__unoriented__Raman_Data_RAW__32742,Pyroxene,Enstatite,RRUFF database,R050644,RRUFF database__R050644,train,earth_train_pool,include_pending_manual_review
PARENT_0067,Enstatite__R060630__Raman__532__0__unoriented__Raman_Data_RAW__39461,Pyroxene,Enstatite,RRUFF database,R060630,RRUFF database__R060630,test,earth_train_pool,include_pending_manual_review
PARENT_0068,Enstatite__R060630__Raman__780__0__unoriented__Raman_Data_RAW__39463,Pyroxene,Enstatite,RRUFF database,R060630,RRUFF database__R060630,test,earth_train_pool,include_pending_manual_review
PARENT_0069,Enstatite__R060744__Raman__532__0__unoriented__Raman_Data_RAW__12668,Pyroxene,Enstatite,RRUFF database,R060744,RRUFF database__R060744,train,earth_train_pool,include_pending_manual_review
PARENT_0070,Enstatite__R060744__Raman__785__0__unoriented__Raman_Data_RAW__14574,Pyroxene,Enstatite,RRUFF database,R060744,RRUFF database__R060744,train,earth_train_pool,include_pending_manual_review
PARENT_0071,Enstatite__R070097__Raman__785__0__unoriented__Raman_Data_RAW__17011,Pyroxene,Enstatite,RRUFF database,R070097,RRUFF database__R070097,train,earth_train_pool,include_pending_manual_review
PARENT_0072,Enstatite__R070097__Raman__532__0__unoriented__Raman_Data_RAW__17013,Pyroxene,Enstatite,RRUFF database,R070097,RRUFF database__R070097,train,earth_train_pool,include_pending_manual_review
PARENT_0073,Enstatite__R070418__Raman__785__0__unoriented__Raman_Data_RAW__21598,Pyroxene,Enstatite,RRUFF database,R070418,RRUFF database__R070418,val,earth_train_pool,include_pending_manual_review
PARENT_0074,Enstatite__R070418__Raman__532__0__unoriented__Raman_Data_RAW__21600,Pyroxene,Enstatite,RRUFF database,R070418,RRUFF database__R070418,val,earth_train_pool,include_pending_manual_review
PARENT_0075,Enstatite__R070550__Raman__532__0__unoriented__Raman_Data_RAW__22712,Pyroxene,Enstatite,RRUFF database,R070550,RRUFF database__R070550,train,earth_train_pool,include_pending_manual_review
PARENT_0076,Enstatite__R070550__Raman__785__0__unoriented__Raman_Data_RAW__22714,Pyroxene,Enstatite,RRUFF database,R070550,RRUFF database__R070550,train,earth_train_pool,include_pending_manual_review
PARENT_0077,Enstatite__R070641__Raman__532__0__unoriented__Raman_Data_RAW__24255,Pyroxene,Enstatite,RRUFF database,R070641,RRUFF database__R070641,train,earth_train_pool,include_pending_manual_review
PARENT_0078,Enstatite__R070641__Raman__532__0__unoriented__Raman_Data_RAW__24255,Pyroxene,Enstatite,RRUFF database,R070641,RRUFF database__R070641,train,earth_train_pool,include_pending_manual_review
PARENT_0079,Enstatite__R100093__Raman__532__0__unoriented__Raman_Data_RAW__34337,Pyroxene,Enstatite,RRUFF database,R100093,RRUFF database__R100093,train,earth_train_pool,include_pending_manual_review
PARENT_0080,Enstatite__R100093__Raman__780__0__unoriented__Raman_Data_RAW__34339,Pyroxene,Enstatite,RRUFF database,R100093,RRUFF database__R100093,train,earth_train_pool,include_pending_manual_review
PARENT_0081,Enstatite__R120168__Raman__532__0__unoriented__Raman_Data_RAW__37242,Pyroxene,Enstatite,RRUFF database,R120168,RRUFF database__R120168,train,earth_train_pool,include_pending_manual_review
PARENT_0082,Enstatite__R120168__Raman__532__0__unoriented__Raman_Data_RAW__37242,Pyroxene,Enstatite,RRUFF database,R120168,RRUFF database__R120168,train,earth_train_pool,include_pending_manual_review
PARENT_0083,Enstatite__R120174__Raman__532__0__unoriented__Raman_Data_RAW__37875,Pyroxene,Enstatite,RRUFF database,R120174,RRUFF database__R120174,train,earth_train_pool,include_pending_manual_review
PARENT_0084,Enstatite__R120174__Raman__780__0__unoriented__Raman_Data_RAW__37877,Pyroxene,Enstatite,RRUFF database,R120174,RRUFF database__R120174,train,earth_train_pool,include_pending_manual_review
PARENT_0085,Aegirine__R040054__Raman__514__0__unoriented__Raman_Data_RAW__9389,Pyroxene,Aegirine,RRUFF database,R040054,RRUFF database__R040054,train,earth_train_pool,include_pending_manual_review
PARENT_0086,Aegirine__R040054__Raman__532__0__unoriented__Raman_Data_RAW__15126,Pyroxene,Aegirine,RRUFF database,R040054,RRUFF database__R040054,train,earth_train_pool,include_pending_manual_review
PARENT_0087,Aegirine__R040054__Raman__785__0__unoriented__Raman_Data_RAW__15128,Pyroxene,Aegirine,RRUFF database,R040054,RRUFF database__R040054,train,earth_train_pool,include_pending_manual_review
PARENT_0088,Aegirine__R050074__Raman__514__0__unoriented__Raman_Data_RAW__9980,Pyroxene,Aegirine,RRUFF database,R050074,RRUFF database__R050074,train,earth_train_pool,include_pending_manual_review
PARENT_0089,Aegirine__R050074__Raman__532__0__unoriented__Raman_Data_RAW__21278,Pyroxene,Aegirine,RRUFF database,R050074,RRUFF database__R050074,train,earth_train_pool,include_pending_manual_review
PARENT_0090,Aegirine__R050074__Raman__785__0__unoriented__Raman_Data_RAW__21280,Pyroxene,Aegirine,RRUFF database,R050074,RRUFF database__R050074,train,earth_train_pool,include_pending_manual_review
PARENT_0091,Aegirine__R061093__Raman__532__0__unoriented__Raman_Data_RAW__15970,Pyroxene,Aegirine,RRUFF database,R061093,RRUFF database__R061093,train,earth_train_pool,include_pending_manual_review
PARENT_0092,Aegirine__R061093__Raman__785__0__unoriented__Raman_Data_RAW__15972,Pyroxene,Aegirine,RRUFF database,R061093,RRUFF database__R061093,train,earth_train_pool,include_pending_manual_review
PARENT_0093,Aegirine__R070125__Raman__532__0__unoriented__Raman_Data_RAW__18518,Pyroxene,Aegirine,RRUFF database,R070125,RRUFF database__R070125,train,earth_train_pool,include_pending_manual_review
PARENT_0094,Aegirine__R070125__Raman__785__0__unoriented__Raman_Data_RAW__18540,Pyroxene,Aegirine,RRUFF database,R070125,RRUFF database__R070125,train,earth_train_pool,include_pending_manual_review
PARENT_0095,Aegirine__R070253__Raman__532__0__unoriented__Raman_Data_RAW__33955,Pyroxene,Aegirine,RRUFF database,R070253,RRUFF database__R070253,train,earth_train_pool,include_pending_manual_review
PARENT_0096,Aegirine__R070253__Raman__780__0__unoriented__Raman_Data_RAW__33957,Pyroxene,Aegirine,RRUFF database,R070253,RRUFF database__R070253,train,earth_train_pool,include_pending_manual_review
PARENT_0097,Aegirine__R120144__Raman__532__0__unoriented__Raman_Data_RAW__37198,Pyroxene,Aegirine,RRUFF database,R120144,RRUFF database__R120144,val,earth_train_pool,include_pending_manual_review
PARENT_0098,Aegirine__R120144__Raman__780__0__unoriented__Raman_Data_RAW__37200,Pyroxene,Aegirine,RRUFF database,R120144,RRUFF database__R120144,val,earth_train_pool,include_pending_manual_review
PARENT_0099,Aegirine__R120167__Raman__532__0__unoriented__Raman_Data_RAW__37238,Pyroxene,Aegirine,RRUFF database,R120167,RRUFF database__R120167,train,earth_train_pool,include_pending_manual_review
PARENT_0100,Aegirine__R120167__Raman__780__0__unoriented__Raman_Data_RAW__37240,Pyroxene,Aegirine,RRUFF database,R120167,RRUFF database__R120167,train,earth_train_pool,include_pending_manual_review
PARENT_0101,Clinoenstatite__X050038__Raman__785__0__unoriented__Raman_Data_Processed__6466,Pyroxene,Clinoenstatite,RRUFF database,X050038,RRUFF database__X050038,train,earth_train_pool,include_pending_manual_review
PARENT_0102,Clinoenstatite__R070276__Raman__532__0__unoriented__Raman_Data_RAW__20377,Pyroxene,Clinoenstatite,RRUFF database,R070276,RRUFF database__R070276,train,earth_train_pool,include_pending_manual_review
PARENT_0103,Clinoenstatite__R070276__Raman__785__0__unoriented__Raman_Data_RAW__20380,Pyroxene,Clinoenstatite,RRUFF database,R070276,RRUFF database__R070276,train,earth_train_pool,include_pending_manual_review
PARENT_0104,Clinoferrosilite__R141085__Raman__532__0__unoriented__Raman_Data_RAW__40006,Pyroxene,Clinoferrosilite,RRUFF database,R141085,RRUFF database__R141085,train,earth_train_pool,include_pending_manual_review
PARENT_0105,Clinoferrosilite__R141085__Raman__780__0__unoriented__Raman_Data_RAW__40004,Pyroxene,Clinoferrosilite,RRUFF database,R141085,RRUFF database__R141085,train,earth_train_pool,include_pending_manual_review
PARENT_0106,Donpeacorite__R060646__Raman__532__0__unoriented__Raman_Data_RAW__21790,Pyroxene,Donpeacorite,RRUFF database,R060646,RRUFF database__R060646,train,earth_train_pool,include_pending_manual_review
PARENT_0107,Donpeacorite__R060646__Raman__785__0__unoriented__Raman_Data_RAW__21788,Pyroxene,Donpeacorite,RRUFF database,R060646,RRUFF database__R060646,train,earth_train_pool,include_pending_manual_review
PARENT_0108,Esseneite__R061123__Raman__785__0__unoriented__Raman_Data_RAW__22259,Pyroxene,Esseneite,RRUFF database,R061123,RRUFF database__R061123,train,earth_train_pool,include_pending_manual_review
PARENT_0109,Esseneite__R061123__Raman__532__0__unoriented__Raman_Data_RAW__22257,Pyroxene,Esseneite,RRUFF database,R061123,RRUFF database__R061123,train,earth_train_pool,include_pending_manual_review
PARENT_0110,Ferrosilite__X050187__Raman__514__0__unoriented__Raman_Data_RAW__6544,Pyroxene,Ferrosilite,RRUFF database,X050187,RRUFF database__X050187,train,earth_train_pool,include_pending_manual_review
PARENT_0111,Ferrosilite__R070386__Raman__532__0__unoriented__Raman_Data_RAW__22224,Pyroxene,Ferrosilite,RRUFF database,R070386,RRUFF database__R070386,val,earth_train_pool,include_pending_manual_review
PARENT_0112,Ferrosilite__R070386__Raman__785__0__unoriented__Raman_Data_RAW__22226,Pyroxene,Ferrosilite,RRUFF database,R070386,RRUFF database__R070386,val,earth_train_pool,include_pending_manual_review
PARENT_0113,Ferrosilite__R070387__Raman__532__0__unoriented__Raman_Data_RAW__22236,Pyroxene,Ferrosilite,RRUFF database,R070387,RRUFF database__R070387,train,earth_train_pool,include_pending_manual_review
PARENT_0114,Ferrosilite__R070387__Raman__785__0__unoriented__Raman_Data_RAW__22238,Pyroxene,Ferrosilite,RRUFF database,R070387,RRUFF database__R070387,train,earth_train_pool,include_pending_manual_review
PARENT_0115,Jadeite__R050220__Raman__514__0__unoriented__Raman_Data_RAW__10617,Pyroxene,Jadeite,RRUFF database,R050220,RRUFF database__R050220,train,earth_train_pool,include_pending_manual_review
PARENT_0116,Jadeite__R050220__Raman__780__0__unoriented__Raman_Data_RAW__28011,Pyroxene,Jadeite,RRUFF database,R050220,RRUFF database__R050220,train,earth_train_pool,include_pending_manual_review
PARENT_0117,Jadeite__R050220__Raman__532__0__unoriented__Raman_Data_RAW__28013,Pyroxene,Jadeite,RRUFF database,R050220,RRUFF database__R050220,train,earth_train_pool,include_pending_manual_review
PARENT_0118,Johannsenite__R140753__Raman__780__0__unoriented__Raman_Data_RAW__39149,Pyroxene,Johannsenite,RRUFF database,R140753,RRUFF database__R140753,test,earth_train_pool,include_pending_manual_review
PARENT_0119,Johannsenite__R140753__Raman__532__0__unoriented__Raman_Data_RAW__39147,Pyroxene,Johannsenite,RRUFF database,R140753,RRUFF database__R140753,test,earth_train_pool,include_pending_manual_review
PARENT_0120,Kanoite__R061134__Raman__532__0__unoriented__Raman_Data_RAW__16733,Pyroxene,Kanoite,RRUFF database,R061134,RRUFF database__R061134,val,earth_train_pool,include_pending_manual_review
PARENT_0121,Kanoite__R061134__Raman__785__0__unoriented__Raman_Data_RAW__16735,Pyroxene,Kanoite,RRUFF database,R061134,RRUFF database__R061134,val,earth_train_pool,include_pending_manual_review
PARENT_0122,Kosmochlor__R120015__Raman__532__0__unoriented__Raman_Data_RAW__36221,Pyroxene,Kosmochlor,RRUFF database,R120015,RRUFF database__R120015,train,earth_train_pool,include_pending_manual_review
PARENT_0123,Kushiroite__R110134__Raman__532__0__unoriented__Raman_Data_RAW__35667,Pyroxene,Kushiroite,RRUFF database,R110134,RRUFF database__R110134,test,earth_train_pool,include_pending_manual_review
PARENT_0124,Kushiroite__R110134__Raman__780__0__unoriented__Raman_Data_RAW__35669,Pyroxene,Kushiroite,RRUFF database,R110134,RRUFF database__R110134,test,earth_train_pool,include_pending_manual_review
PARENT_0125,Omphacite__R061129__Raman__532__0__unoriented__Raman_Data_RAW__16699,Pyroxene,Omphacite,RRUFF database,R061129,RRUFF database__R061129,train,earth_train_pool,include_pending_manual_review
PARENT_0126,Omphacite__R061129__Raman__785__0__unoriented__Raman_Data_RAW__16701,Pyroxene,Omphacite,RRUFF database,R061129,RRUFF database__R061129,train,earth_train_pool,include_pending_manual_review
PARENT_0127,Omphacite__R110038__Raman__532__0__unoriented__Raman_Data_RAW__35350,Pyroxene,Omphacite,RRUFF database,R110038,RRUFF database__R110038,test,earth_train_pool,include_pending_manual_review
PARENT_0128,Omphacite__R110038__Raman__780__0__unoriented__Raman_Data_RAW__35352,Pyroxene,Omphacite,RRUFF database,R110038,RRUFF database__R110038,test,earth_train_pool,include_pending_manual_review
PARENT_0129,Petedunnite__R070207__Raman__532__0__unoriented__Raman_Data_RAW__19336,Pyroxene,Petedunnite,RRUFF database,R070207,RRUFF database__R070207,val,earth_train_pool,include_pending_manual_review
PARENT_0130,Petedunnite__R070207__Raman__785__0__unoriented__Raman_Data_RAW__19338,Pyroxene,Petedunnite,RRUFF database,R070207,RRUFF database__R070207,val,earth_train_pool,include_pending_manual_review
PARENT_0131,Spodumene__R040050__Raman__514__0__unoriented__Raman_Data_RAW__9345,Pyroxene,Spodumene,RRUFF database,R040050,RRUFF database__R040050,test,earth_train_pool,include_pending_manual_review
PARENT_0132,Spodumene__R040050__Raman__780__0__unoriented__Raman_Data_RAW__26644,Pyroxene,Spodumene,RRUFF database,R040050,RRUFF database__R040050,test,earth_train_pool,include_pending_manual_review
PARENT_0133,Spodumene__R040050__Raman__532__0__unoriented__Raman_Data_RAW__26646,Pyroxene,Spodumene,RRUFF database,R040050,RRUFF database__R040050,test,earth_train_pool,include_pending_manual_review
PARENT_0134,Spodumene__X050152__Raman__785__0__unoriented__Raman_Data_Processed__6601,Pyroxene,Spodumene,RRUFF database,X050152,RRUFF database__X050152,train,earth_train_pool,include_pending_manual_review
PARENT_0135,Spodumene__X050153.4__Raman__785__0__unoriented__Raman_Data_Processed__6669,Pyroxene,Spodumene,RRUFF database,X050153.4,RRUFF database__X050153.4,train,earth_train_pool,include_pending_manual_review
PARENT_0136,Spodumene__X050154__Raman__785__0__unoriented__Raman_Data_Processed__6670,Pyroxene,Spodumene,RRUFF database,X050154,RRUFF database__X050154,test,earth_train_pool,include_pending_manual_review
PARENT_0137,Spodumene__X050155.4__Raman__785__0__unoriented__Raman_Data_Processed__6672,Pyroxene,Spodumene,RRUFF database,X050155.4,RRUFF database__X050155.4,val,earth_train_pool,include_pending_manual_review
