source_id,file_name_clean,major_category,subtype_label,source_type,excitation_nm,data_level,orientation,rruff_official_id,rruff_official_name,rruff_ideal_chemistry,rruff_measured_chemistry,rruff_locality,rruff_source,rruff_owner,rruff_description,rruff_status,rruff_url,rruff_header_file,rruff_header_parse_status,rruff_metadata_match,rruff_metadata_match_basis
R060171,Diopside__R060171__Raman__780__0__unoriented__Raman_Data_RAW__33160,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R060171,Diopside,CaMgSi2O6,Ca1.00(Mg0.98Mn0.02)Σ=1Si2.00O6,"Jeffrey mine, Asbestos, Quebec, Canada",Guy Ouellet,RRUFF,"Yellowish-brown tabular crystals associated with vesuvianite, R060170",The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060171,source_rruff_header/Diopside__R060171__Raman__780__0__unoriented__Raman_Data_RAW__33160.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060276,Diopside__R060276__Raman__532__0__unoriented__Raman_Data_RAW__34009,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R060276,Diopside,CaMgSi2O6,(Ca0.97Na0.03)Σ=1(Mg0.96Fe0.03Cr0.01)Σ=1(Si1.98Al0.02)Σ=2O6,"Inagli, Yakutia, Siberia, Russia",Herb Obodda,RRUFF,Transparent green cleavage fragment,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060276,source_rruff_header/Diopside__R060276__Raman__532__0__unoriented__Raman_Data_RAW__34009.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060861,Diopside__R060861__Raman__532__0__unoriented__Raman_Data_RAW__13064,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R060861,Diopside,CaMgSi2O6,(Ca0.72Fe^2+^0.23Na0.05)Σ=1(Mg0.80Al0.15Ti0.03Fe^3+^0.02)Σ=1(Si1.82Al0.18)Σ=2O6,"Red Mountain Volcano, NW of Flagstaff, Arizona, USA",Jennifer Sano,RRUFF,Worn brown fragment,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060861,source_rruff_header/Diopside__R060861__Raman__532__0__unoriented__Raman_Data_RAW__13064.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R060861,Diopside__R060861__Raman__785__0__unoriented__Raman_Data_RAW__18641,Pyroxene,Diopside,RRUFF database,785.0,RAW,unoriented,R060861,Diopside,CaMgSi2O6,(Ca0.72Fe^2+^0.23Na0.05)Σ=1(Mg0.80Al0.15Ti0.03Fe^3+^0.02)Σ=1(Si1.82Al0.18)Σ=2O6,"Red Mountain Volcano, NW of Flagstaff, Arizona, USA",Jennifer Sano,RRUFF,Worn brown fragment,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R060861,source_rruff_header/Diopside__R060861__Raman__785__0__unoriented__Raman_Data_RAW__18641.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R070123,Diopside__R070123__Raman__532__0__unoriented__Raman_Data_RAW__18437,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R070123,Diopside,CaMgSi2O6,(Ca0.95Na0.04Mn0.01)Σ=1(Mg0.63Fe0.33Al0.04)Σ=1Si2.00O6,"Yates mine, Otter Lake, Huddersfield Township, Pontiac County, Québec, Canada",Michael Scott,RRUFF,Black prismatic crystals associated with orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R070123,source_rruff_header/Diopside__R070123__Raman__532__0__unoriented__Raman_Data_RAW__18437.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R070123,Diopside__R070123__Raman__785__0__unoriented__Raman_Data_RAW__18439,Pyroxene,Diopside,RRUFF database,785.0,RAW,unoriented,R070123,Diopside,CaMgSi2O6,(Ca0.95Na0.04Mn0.01)Σ=1(Mg0.63Fe0.33Al0.04)Σ=1Si2.00O6,"Yates mine, Otter Lake, Huddersfield Township, Pontiac County, Québec, Canada",Michael Scott,RRUFF,Black prismatic crystals associated with orange calcite,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R070123,source_rruff_header/Diopside__R070123__Raman__785__0__unoriented__Raman_Data_RAW__18439.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R090046,Diopside__R090046__Raman__532__0__unoriented__Raman_Data_RAW__32775,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R090046,Diopside,CaMgSi2O6,,"Merelani, Tanzania",Wendell Wilson,RRUFF,"Green crystals associated with graphite, R090047",The identification of this mineral has been confirmed by single-crystal X-ray diffraction.,https://rruff.info/R090046,source_rruff_header/Diopside__R090046__Raman__532__0__unoriented__Raman_Data_RAW__32775.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R110128,Diopside__R110128__Raman__532__0__unoriented__Raman_Data_RAW__35623,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R110128,Diopside,CaMgSi2O6,,"Alchori, Pakistan",Jack Lowell,RRUFF,"Dark green prismatic crystals associated with pale brown epidote, R110127",The identification of this mineral has been confirmed by single-crystal X-ray diffraction.,https://rruff.info/R110128,source_rruff_header/Diopside__R110128__Raman__532__0__unoriented__Raman_Data_RAW__35623.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R110128,Diopside__R110128__Raman__780__0__unoriented__Raman_Data_RAW__35625,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R110128,Diopside,CaMgSi2O6,,"Alchori, Pakistan",Jack Lowell,RRUFF,"Dark green prismatic crystals associated with pale brown epidote, R110127",The identification of this mineral has been confirmed by single-crystal X-ray diffraction.,https://rruff.info/R110128,source_rruff_header/Diopside__R110128__Raman__780__0__unoriented__Raman_Data_RAW__35625.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R120003,Diopside__R120003__Raman__532__0__unoriented__Raman_Data_RAW__36354,Pyroxene,Diopside,RRUFF database,532.0,RAW,unoriented,R120003,Diopside,CaMgSi2O6,,"Chifeng, Inner Mongolia",Jack Lowell,RRUFF,Massive aggregate of pale yellow-green prismatic crystals overlain by dark green andradite R120004,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,https://rruff.info/R120003,source_rruff_header/Diopside__R120003__Raman__532__0__unoriented__Raman_Data_RAW__36354.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R120003,Diopside__R120003__Raman__780__0__unoriented__Raman_Data_RAW__36356,Pyroxene,Diopside,RRUFF database,780.0,RAW,unoriented,R120003,Diopside,CaMgSi2O6,,"Chifeng, Inner Mongolia",Jack Lowell,RRUFF,Massive aggregate of pale yellow-green prismatic crystals overlain by dark green andradite R120004,The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,https://rruff.info/R120003,source_rruff_header/Diopside__R120003__Raman__780__0__unoriented__Raman_Data_RAW__36356.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050024,Augite__X050024__Raman__785__0__unoriented__Raman_Data_Processed__6460,Pyroxene,Augite,RRUFF database,785.0,Processed,unoriented,X050024,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",,"Cedar Butte, Oregon, USA",G.R. Rossman,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050024,source_rruff_header/Augite__X050024__Raman__785__0__unoriented__Raman_Data_Processed__6460.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
X050025,Augite__X050025__Raman__785__0__unoriented__Raman_Data_Processed__6461,Pyroxene,Augite,RRUFF database,785.0,Processed,unoriented,X050025,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",,"Hopi Butte, Diatreme #6, Holbrook, Arizona, USA",G.R. Rossman,Caltech,,The identification of this mineral has been determined only by Raman spectroscopy,https://rruff.info/X050025,source_rruff_header/Augite__X050025__Raman__785__0__unoriented__Raman_Data_Processed__6461.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R061086,Augite__R061086__Raman__532__0__unoriented__Raman_Data_RAW__15932,Pyroxene,Augite,RRUFF database,532.0,RAW,unoriented,R061086,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Ca0.88Mg0.83Fe0.13Al0.08Na0.04Ti0.03Cr0.01)Σ=2(Si1.89Al0.11)Σ=2O6,"Boreslav, Teplitz, Bohemia, Czech Republic",Michael Scott,RRUFF,Black to dark green tabular euhedral crystal,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R061086,source_rruff_header/Augite__R061086__Raman__532__0__unoriented__Raman_Data_RAW__15932.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R061086,Augite__R061086__Raman__785__0__unoriented__Raman_Data_RAW__15934,Pyroxene,Augite,RRUFF database,785.0,RAW,unoriented,R061086,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Ca0.88Mg0.83Fe0.13Al0.08Na0.04Ti0.03Cr0.01)Σ=2(Si1.89Al0.11)Σ=2O6,"Boreslav, Teplitz, Bohemia, Czech Republic",Michael Scott,RRUFF,Black to dark green tabular euhedral crystal,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R061086,source_rruff_header/Augite__R061086__Raman__785__0__unoriented__Raman_Data_RAW__15934.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R061108,Augite__R061108__Raman__532__0__unoriented__Raman_Data_RAW__16309,Pyroxene,Augite,RRUFF database,532.0,RAW,unoriented,R061108,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Ca0.86Mg0.74Fe^2+^0.18Fe^3+^0.08Al0.05Ti0.04Na0.04Mn0.01)Σ=2(Si1.83Al0.17)Σ=2O6,"Monti Rossi, near Mt. Etna, Sicily, Italy",Michael Scott,RRUFF,"Euhedral, short prismatic, black crystals in vesicular basalt.",The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R061108,source_rruff_header/Augite__R061108__Raman__532__0__unoriented__Raman_Data_RAW__16309.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R061108,Augite__R061108__Raman__785__0__unoriented__Raman_Data_RAW__16311,Pyroxene,Augite,RRUFF database,785.0,RAW,unoriented,R061108,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Ca0.86Mg0.74Fe^2+^0.18Fe^3+^0.08Al0.05Ti0.04Na0.04Mn0.01)Σ=2(Si1.83Al0.17)Σ=2O6,"Monti Rossi, near Mt. Etna, Sicily, Italy",Michael Scott,RRUFF,"Euhedral, short prismatic, black crystals in vesicular basalt.",The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R061108,source_rruff_header/Augite__R061108__Raman__785__0__unoriented__Raman_Data_RAW__16311.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R070231,Augite__R070231__Raman__532__0__unoriented__Raman_Data_RAW__20123,Pyroxene,Augite,RRUFF database,532.0,RAW,unoriented,R070231,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Mg0.44Fe0.37Ca0.17Ti0.01Mn0.01)Σ=1(Si0.98Al0.02)Σ=1O3,"Old Goose Creek Quarry, Leesburg, Loudoun County, Virginia, USA",Michael Scott,RRUFF,Very dark grey-green prismatic crystals frozen in quartz,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R070231,source_rruff_header/Augite__R070231__Raman__532__0__unoriented__Raman_Data_RAW__20123.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R070231,Augite__R070231__Raman__785__0__unoriented__Raman_Data_RAW__20125,Pyroxene,Augite,RRUFF database,785.0,RAW,unoriented,R070231,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",(Mg0.44Fe0.37Ca0.17Ti0.01Mn0.01)Σ=1(Si0.98Al0.02)Σ=1O3,"Old Goose Creek Quarry, Leesburg, Loudoun County, Virginia, USA",Michael Scott,RRUFF,Very dark grey-green prismatic crystals frozen in quartz,The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.,https://rruff.info/R070231,source_rruff_header/Augite__R070231__Raman__785__0__unoriented__Raman_Data_RAW__20125.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R110063,Augite__R110063__Raman__532__0__unoriented__Raman_Data_RAW__35393,Pyroxene,Augite,RRUFF database,532.0,RAW,unoriented,R110063,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",,"Betroka, Madagascar",Marcus Origlieri,RRUFF,"Dark green, almost black, single euhedral crystal",The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,https://rruff.info/R110063,source_rruff_header/Augite__R110063__Raman__532__0__unoriented__Raman_Data_RAW__35393.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R110063,Augite__R110063__Raman__780__0__unoriented__Raman_Data_RAW__35395,Pyroxene,Augite,RRUFF database,780.0,RAW,unoriented,R110063,Augite,"(Ca,Mg,Fe^2+^,Fe^3+^)2(Si,Al)2O6",,"Betroka, Madagascar",Marcus Origlieri,RRUFF,"Dark green, almost black, single euhedral crystal",The identification of this mineral has been confirmed only by single crystal X-ray diffraction.,https://rruff.info/R110063,source_rruff_header/Augite__R110063__Raman__780__0__unoriented__Raman_Data_RAW__35395.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
R050030,Hedenbergite__R050030__Raman__514__0__unoriented__Raman_Data_RAW__9912,Pyroxene,Hedenbergite,RRUFF database,514.0,RAW,unoriented,R050030,Hedenbergite,CaFe^2+^Si2O6,(Ca.993Na.007)(Fe.860Mn.111Mg.029)(Si.993Al.007)2O6,"Heroult, Ontario, Canada",University of Arizona Mineral Museum,RRUFF,Green fragments,The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis,https://rruff.info/R050030,source_rruff_header/Hedenbergite__R050030__Raman__514__0__unoriented__Raman_Data_RAW__9912.txt,ok,True,source_id_exact_or_decimal_variant_of_official_rruff_id
