materialized_spectrum_id,parent_spectrum_id,model_label,subtype_label,source_type,source_id,split_main,is_augmented,materialized_file_path,materialized_file_sha256,augmentation_seed,augmentation_parameters_json
PARENT_0010,PARENT_0010,Pyroxene,Diopside,RRUFF database,X050060,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0010__original.csv,1d49d3ea8e54e3a8c8f92a0e0972a2f8b46c57d88627abc891b63f6fc1e16461,,
PARENT_0011,PARENT_0011,Pyroxene,Diopside,RRUFF database,R050406,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0011__original.csv,6ad8352182c748b54113c603309b5d10c65c940376fcf9f7c35d7c93e653af58,,
PARENT_0012,PARENT_0012,Pyroxene,Diopside,RRUFF database,R050406,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0012__original.csv,7f0b86912fc3ebeb4bb3e887df7effc13b9797e9d1bda3caa1420cebc47b19df,,
PARENT_0013,PARENT_0013,Pyroxene,Diopside,RRUFF database,R050496,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0013__original.csv,44b86c16032a35a406cfdc85690419da730d8370b695769d1cc6dcaf83de23da,,
PARENT_0014,PARENT_0014,Pyroxene,Diopside,RRUFF database,R050496,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0014__original.csv,68fece90ffe76067c3782c26bc7941a7ac0c271faf85b582ee315d6bee4ddb21,,
PARENT_0015,PARENT_0015,Pyroxene,Diopside,RRUFF database,R050666,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0015__original.csv,01250a64bdd8ae9959c465cd1f9d211f07fd854c20c9e94024929855fa80fa7e,,
PARENT_0016,PARENT_0016,Pyroxene,Diopside,RRUFF database,R050666,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0016__original.csv,e6bb9cd8e800920e8d53c86705e9a6a983ed3c5a012c4d05b87d6340d1a2e2af,,
PARENT_0017,PARENT_0017,Pyroxene,Diopside,RRUFF database,R060061,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0017__original.csv,a3a915b63ac14e70d489054ce07fb6126d12bdef66455cb42949b081229f5443,,
PARENT_0018,PARENT_0018,Pyroxene,Diopside,RRUFF database,R060061,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0018__original.csv,9ab98a47557c3915ec7afacec35f3e382f80f34a7c87592ccc404faa6033aff3,,
PARENT_0019,PARENT_0019,Pyroxene,Diopside,RRUFF database,R060085,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0019__original.csv,754629635ab35a9e66e6f09e1e15bcda1968ea337596dee249a509e806dc9a0b,,
PARENT_0020,PARENT_0020,Pyroxene,Diopside,RRUFF database,R060085,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0020__original.csv,b5de05476bd70ccd82775c4c1574da8fcee4df0c7dd51cea7d0485207ee376a2,,
PARENT_0021,PARENT_0021,Pyroxene,Diopside,RRUFF database,R060171,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0021__original.csv,36c1045363a42cb5133f7dba540576c95a1961c0557f759c89b66a43267e54a8,,
PARENT_0022,PARENT_0022,Pyroxene,Diopside,RRUFF database,R060171,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0022__original.csv,341d32048c79d553b0aace70a62cdeafde51de4c953834b1aa942dd25117ed3e,,
PARENT_0023,PARENT_0023,Pyroxene,Diopside,RRUFF database,R060276,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0023__original.csv,43f77b867e3413332b00fc8f71bbf2b17b0b3b43ccfa060fc34646f7fee3fee0,,
PARENT_0024,PARENT_0024,Pyroxene,Diopside,RRUFF database,R060861,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0024__original.csv,af73f8042460b179836abedcf1f81a0abd5828fde85eb983650df1abda751cfc,,
PARENT_0025,PARENT_0025,Pyroxene,Diopside,RRUFF database,R060861,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0025__original.csv,1eb38de80ffab5a50a45f09cdd5d3d6a1ea8828d814dadbcdc6524709622b96c,,
PARENT_0026,PARENT_0026,Pyroxene,Diopside,RRUFF database,R070123,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0026__original.csv,8f720832feadf35ca9a29c82efc4086965ed8f3caefc5481ad604dedaa7f1253,,
PARENT_0027,PARENT_0027,Pyroxene,Diopside,RRUFF database,R070123,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0027__original.csv,574997324a0f953269abd8319af4f86d24db0696fb94aadfe5d1acae05565624,,
PARENT_0028,PARENT_0028,Pyroxene,Diopside,RRUFF database,R090046,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0028__original.csv,ca134c13479133afdb6cb90cd10e60e28905c01b54f1ccbcc919eabee6ae7c71,,
PARENT_0029,PARENT_0029,Pyroxene,Diopside,RRUFF database,R110128,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0029__original.csv,d7609b18d435a298f4cac3568e6916d05f7df3a2acb241726ec346aca6be83b3,,
PARENT_0030,PARENT_0030,Pyroxene,Diopside,RRUFF database,R110128,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0030__original.csv,4c5d75b2704741c368bf91d235e66ec721361f1567c6da530cfc0e2eac583bed,,
PARENT_0031,PARENT_0031,Pyroxene,Diopside,RRUFF database,R120003,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0031__original.csv,a4128797e0f15c98c4b7bf2e05fbffe61f640afd3b70a50b64ee9666191f8444,,
PARENT_0032,PARENT_0032,Pyroxene,Diopside,RRUFF database,R120003,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0032__original.csv,6c33834626a49f128884a521554ef36c77f34d91e631f6051aeef6c95ddfb6bd,,
PARENT_0033,PARENT_0033,Pyroxene,Augite,RRUFF database,X050024,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0033__original.csv,b939995443d5fdea235374072539ebec74fa95244e2294be6620e5d360356690,,
PARENT_0034,PARENT_0034,Pyroxene,Augite,RRUFF database,X050025,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0034__original.csv,f479ca4d211427895c92d277d0df3939e1b61c7196fc5c94a296bcf1578c0de1,,
PARENT_0035,PARENT_0035,Pyroxene,Augite,RRUFF database,R061086,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0035__original.csv,1d78370b0aa61cc02a65f4ed7d9ca6ea6b378e880e382d2eb43210dc70168836,,
PARENT_0036,PARENT_0036,Pyroxene,Augite,RRUFF database,R061086,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0036__original.csv,3fd676bad7db53dd4ddc5887072398cb191e80cf3f7580dc518d7493b6fdcf6d,,
PARENT_0037,PARENT_0037,Pyroxene,Augite,RRUFF database,R061108,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0037__original.csv,e8d6fe8d816d3183dac37a05ef813300587948faa1eb3886c9a4bd28ecab7183,,
PARENT_0038,PARENT_0038,Pyroxene,Augite,RRUFF database,R061108,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0038__original.csv,fa066fb1afacd2a48d41eae4e0390680caa50679e255b4e4b33ce79326e0637b,,
PARENT_0039,PARENT_0039,Pyroxene,Augite,RRUFF database,R070231,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0039__original.csv,9b9c81f55e126c7290c4c0a64a325e11908109b8a974ef88455c48a5f0360d57,,
PARENT_0040,PARENT_0040,Pyroxene,Augite,RRUFF database,R070231,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0040__original.csv,ae6eed6e066f854687b894dbd4e1012f766944e7fe864ed606a3f9fb8d06f2f3,,
PARENT_0041,PARENT_0041,Pyroxene,Augite,RRUFF database,R110063,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0041__original.csv,474868c3d4836979f6b8abc6930cdafc203d36ae5f2425f0c7df557ba262f10a,,
PARENT_0042,PARENT_0042,Pyroxene,Augite,RRUFF database,R110063,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0042__original.csv,a3f034838f44906b92231729976d4871871de0282bfff899858d11672ae24d9a,,
PARENT_0043,PARENT_0043,Pyroxene,Hedenbergite,RRUFF database,R050030,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0043__original.csv,ff31e5358364c3f81f0174c475837a0f8f21cd2432b554481ca8c4daa403f07f,,
PARENT_0044,PARENT_0044,Pyroxene,Hedenbergite,RRUFF database,R050030,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0044__original.csv,ff0b5f543c61bbb93b91d274a442dbba30e5e7f73246b0e32cec385922846446,,
PARENT_0045,PARENT_0045,Pyroxene,Hedenbergite,RRUFF database,R050030,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0045__original.csv,0da5bfcaffe6422cb4c9e03573cd969e7cc85b5c2cb47ace4192e3a4bdb13059,,
PARENT_0046,PARENT_0046,Pyroxene,Hedenbergite,RRUFF database,R060040,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0046__original.csv,6615f7898d887f33ba45e6d49fdc46a5dfd36967259968ed082f29fd63841265,,
PARENT_0047,PARENT_0047,Pyroxene,Hedenbergite,RRUFF database,R060040,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0047__original.csv,e7ed2a1b088fb0b685e9a39fff1146f079fa50b32f6d0fded03391de83755df0,,
PARENT_0048,PARENT_0048,Pyroxene,Hedenbergite,RRUFF database,R070136,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0048__original.csv,91380232bf14b16f77ca5e7b98d1e795924ef514c38a4f9f39abe61c5780ce7f,,
PARENT_0049,PARENT_0049,Pyroxene,Hedenbergite,RRUFF database,R070136,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0049__original.csv,56f335a8b2fae825c8f879467483b0dd8e2320351a7bd1cbceba72d451b5a8e1,,
PARENT_0050,PARENT_0050,Pyroxene,Hedenbergite,RRUFF database,R070236,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0050__original.csv,87e00d304698873c25e92d085f6d9b5fbb5926ade7ef07f2dfa7c16e273328a7,,
PARENT_0051,PARENT_0051,Pyroxene,Hedenbergite,RRUFF database,R070236,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0051__original.csv,a0e6e7495d4ba31ba94dc6ba4d00c9e899f1066875c329cc02b1d8a59aedea5e,,
PARENT_0052,PARENT_0052,Pyroxene,Pigeonite,RRUFF database,R200002,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0052__original.csv,827e1c2f888d336b20b734eb9be07bb3971e89b178951b228fe6fa66a7ed4e72,,
PARENT_0053,PARENT_0053,Pyroxene,Pigeonite,RRUFF database,R200002,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0053__original.csv,add3006a6a52ec08d8a6f8d5b8e62131a62d8e6161b178d5c9a7e63464f473dd,,
PARENT_0054,PARENT_0054,Pyroxene,Enstatite,RRUFF database,R040093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0054__original.csv,17dae857a98b4102e86452fc2428018857a933c462cc66b276ce4f6adf5fb92d,,
PARENT_0055,PARENT_0055,Pyroxene,Enstatite,RRUFF database,R040093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0055__original.csv,f442b3624e36f1f49d47adf015d8392f180edcaf29ca2942591bd582cb917aa8,,
PARENT_0056,PARENT_0056,Pyroxene,Enstatite,RRUFF database,R040094,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0056__original.csv,2cc25b76107de9b6577ddb831092f2ce14ba6838a900d0d3f894da857b0c642b,,
PARENT_0057,PARENT_0057,Pyroxene,Enstatite,RRUFF database,R040094,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0057__original.csv,9bdcb21a7676ca3c302e678141acd7cfc555960929cdbca391988dcc99d05f64,,
PARENT_0058,PARENT_0058,Pyroxene,Enstatite,RRUFF database,X050192,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0058__original.csv,12a367e898b899939694c5abca21d949136a1d526b17bc2d1d59edd1e276ff9c,,
PARENT_0059,PARENT_0059,Pyroxene,Enstatite,RRUFF database,X050068.3,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0059__original.csv,c846f88d17935a48e7d9a57aacc90e4436ed5ea340e601ed11726822673a0e2d,,
PARENT_0060,PARENT_0060,Pyroxene,Enstatite,RRUFF database,X050068.4,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0060__original.csv,e83cc1c008f56be6f0f6a8a5c54f01f7d7c758337dc3a017005450b74fbad84b,,
PARENT_0061,PARENT_0061,Pyroxene,Enstatite,RRUFF database,X050068.5,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0061__original.csv,6fe0a995203efad8f2c61ac43adc14cd1f5060afa57ba9a0a02bab79b3eec9c9,,
PARENT_0062,PARENT_0062,Pyroxene,Enstatite,RRUFF database,X050069,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0062__original.csv,a3faf77efb045388944696a1b774e6848d0ade6934df0278e5e1cb08eab7ed6b,,
PARENT_0063,PARENT_0063,Pyroxene,Enstatite,RRUFF database,X050193,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0063__original.csv,5269b2b6160b7a1324035be41e1e188f5aa0a5c5ebbe94f609d53c5cfab08f4e,,
PARENT_0064,PARENT_0064,Pyroxene,Enstatite,RRUFF database,X050070,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0064__original.csv,2be9be9284e6fe05b4e7d54b719b48e8db731092cf4f6991bde33ab343208aa2,,
PARENT_0065,PARENT_0065,Pyroxene,Enstatite,RRUFF database,R050644,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0065__original.csv,b9a1f7a2b7d42b07e5a994faede2f127d86b3ed17f6879dad96c4a0c2ecb840d,,
PARENT_0066,PARENT_0066,Pyroxene,Enstatite,RRUFF database,R050644,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0066__original.csv,ec004b8fe4ca922a2ec85b63ff5345e1cb7326c8df86973cd067cf2afa2db8c7,,
PARENT_0067,PARENT_0067,Pyroxene,Enstatite,RRUFF database,R060630,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0067__original.csv,cca4a758d9b1c6935c405eb9abf8835fbcedb792f521261c6cc25ef8c8896920,,
PARENT_0068,PARENT_0068,Pyroxene,Enstatite,RRUFF database,R060630,test,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0068__original.csv,6920797c032378535ab439f20934b482e723935908b65d73ac669fb6080fa717,,
PARENT_0069,PARENT_0069,Pyroxene,Enstatite,RRUFF database,R060744,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0069__original.csv,24279b1969c978b7db1023397b779f8f27f0a9bfa2301a8c79de15ed55755c4a,,
PARENT_0070,PARENT_0070,Pyroxene,Enstatite,RRUFF database,R060744,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0070__original.csv,73dd6cdd828699ddfc824010d3416ee76e28ae1223c28d30be0dc49e188b3f6c,,
PARENT_0071,PARENT_0071,Pyroxene,Enstatite,RRUFF database,R070097,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0071__original.csv,91749f4ca0fed9f04a8a02ecd62f4fd45a89ce8bab3f774fb6433668518400a9,,
PARENT_0072,PARENT_0072,Pyroxene,Enstatite,RRUFF database,R070097,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0072__original.csv,78ec0ceb4f99ce60c6cecc5e5a96a31fe8ba681d519e4100fe6ac00e7854698e,,
PARENT_0073,PARENT_0073,Pyroxene,Enstatite,RRUFF database,R070418,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0073__original.csv,fd25e6fd853d8116f34a3fef91ae0fcf3cc6a40e44ab8afc772813a860060121,,
PARENT_0074,PARENT_0074,Pyroxene,Enstatite,RRUFF database,R070418,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0074__original.csv,b4752b7f2da4b8765ea8ba51bce981bdbe71ffa93a16b85b91fd087e300a4d05,,
PARENT_0075,PARENT_0075,Pyroxene,Enstatite,RRUFF database,R070550,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0075__original.csv,373fc7e2a40d0a1f2ee2b3f1bc9faed6e12c13abedeb38f6a740247d726b16e9,,
PARENT_0076,PARENT_0076,Pyroxene,Enstatite,RRUFF database,R070550,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0076__original.csv,b62281f85c94230c08a4d51024a91a54a3ac9b389744a5c9f1cc5920ab5906a6,,
PARENT_0077,PARENT_0077,Pyroxene,Enstatite,RRUFF database,R070641,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0077__original.csv,b38c29b8ebd3fafdbff7954da0cd6f65b48731ef054b79b3f4a0a8d3583c41e4,,
PARENT_0078,PARENT_0078,Pyroxene,Enstatite,RRUFF database,R070641,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0078__original.csv,b38c29b8ebd3fafdbff7954da0cd6f65b48731ef054b79b3f4a0a8d3583c41e4,,
PARENT_0079,PARENT_0079,Pyroxene,Enstatite,RRUFF database,R100093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0079__original.csv,57af58191f69dd72468c6a94777b21cf379c5bc2134d3ceb31c26847b028ab74,,
PARENT_0080,PARENT_0080,Pyroxene,Enstatite,RRUFF database,R100093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0080__original.csv,714bf9d8648c7bc59089a6a6049ad57b3947e643be04c1a781e3374d4db04c54,,
PARENT_0081,PARENT_0081,Pyroxene,Enstatite,RRUFF database,R120168,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0081__original.csv,a109bc0ea6d8fb6246c2e1e24ce04fdcd830f1f98bc9df38dd390243861fafcc,,
PARENT_0082,PARENT_0082,Pyroxene,Enstatite,RRUFF database,R120168,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0082__original.csv,a109bc0ea6d8fb6246c2e1e24ce04fdcd830f1f98bc9df38dd390243861fafcc,,
PARENT_0083,PARENT_0083,Pyroxene,Enstatite,RRUFF database,R120174,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0083__original.csv,1ba9d5d47f4e03d689cca59757f3fc42659bd3e6554cb414b70db56ff73cade2,,
PARENT_0084,PARENT_0084,Pyroxene,Enstatite,RRUFF database,R120174,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0084__original.csv,b8b8ac31081c1336b99401488090541e70a6141e9366687f8c07d1cc08084d45,,
PARENT_0085,PARENT_0085,Pyroxene,Aegirine,RRUFF database,R040054,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0085__original.csv,bd69eca816b0ee848dadfeb9f1de681429ef85b9a82e96c935222ecbd31be075,,
PARENT_0086,PARENT_0086,Pyroxene,Aegirine,RRUFF database,R040054,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0086__original.csv,6dae7544b8d6a6d4cc92c48d70f44df9de9068750a5672eb1b908e48a03417f5,,
PARENT_0087,PARENT_0087,Pyroxene,Aegirine,RRUFF database,R040054,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0087__original.csv,4efa132c8eb0aa7ec51cc3093ff5e3148c17c26a13cf566cd96b7301e0c00b50,,
PARENT_0088,PARENT_0088,Pyroxene,Aegirine,RRUFF database,R050074,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0088__original.csv,24b5b2fe884a5c63530595597c2f8a41a4d07c548aef16b9addbb5ea74e5f177,,
PARENT_0089,PARENT_0089,Pyroxene,Aegirine,RRUFF database,R050074,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0089__original.csv,f6cf97814b5342531cbd4ca8639aa30a4e477714261305490c78f1499b41bc41,,
PARENT_0090,PARENT_0090,Pyroxene,Aegirine,RRUFF database,R050074,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0090__original.csv,c9ff85ba2d1b909aecd6ff749423689827790d07c2b8e0f3abc263fe6dfe7029,,
PARENT_0091,PARENT_0091,Pyroxene,Aegirine,RRUFF database,R061093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0091__original.csv,065cf116b0fcbca4e418832d5a911a1e529842be12965f48e852763da883282c,,
PARENT_0092,PARENT_0092,Pyroxene,Aegirine,RRUFF database,R061093,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0092__original.csv,06bdcfa3f200941ac37a8d10aeaaf77e3a7e0a495f69875f19734bff1da3b043,,
PARENT_0093,PARENT_0093,Pyroxene,Aegirine,RRUFF database,R070125,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0093__original.csv,18aea4c8c2a1162cd11a30b1e93acd0b1bad7ef155c4ed12728b36b92cfa657e,,
PARENT_0094,PARENT_0094,Pyroxene,Aegirine,RRUFF database,R070125,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0094__original.csv,04270608a8f60033dabb6f422eca1f349e8212e2c8500830ff0587182da8239a,,
PARENT_0095,PARENT_0095,Pyroxene,Aegirine,RRUFF database,R070253,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0095__original.csv,4a9089f1d7b1b965ab8b954be54309c8e60dfdaa5c6ab866371d828241e384fb,,
PARENT_0096,PARENT_0096,Pyroxene,Aegirine,RRUFF database,R070253,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0096__original.csv,e6dd3af9736446ff60993d0a20d5e1f2b6d9ec21826113c4c422125b0bfdd27c,,
PARENT_0097,PARENT_0097,Pyroxene,Aegirine,RRUFF database,R120144,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0097__original.csv,3b595851f17a3816b79e323744d0d969bbaa0dfcd654d6a17765f8527ac436b5,,
PARENT_0098,PARENT_0098,Pyroxene,Aegirine,RRUFF database,R120144,val,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0098__original.csv,a82a9c8d419b0105a83dc3ef7d728eb94ccfa4555b2d047881ccf94934ad54fe,,
PARENT_0099,PARENT_0099,Pyroxene,Aegirine,RRUFF database,R120167,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0099__original.csv,379e32c0e70b5f721e20d8b007d5a0b1e35bff35b8bad5f6864d3bd69ef64dba,,
PARENT_0100,PARENT_0100,Pyroxene,Aegirine,RRUFF database,R120167,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0100__original.csv,23d6a0f5f7ec2e19b5633eb786b2bb2365ffa48d5647247a71bddf461645598d,,
PARENT_0101,PARENT_0101,Pyroxene,Clinoenstatite,RRUFF database,X050038,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0101__original.csv,044c1aa83db57d8cfb97e19c87c6090b4174a91771f88452fe04ae7bcbde6fc9,,
PARENT_0102,PARENT_0102,Pyroxene,Clinoenstatite,RRUFF database,R070276,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0102__original.csv,1adc03c0f428ddbd56a9aedebe4bc1e8c7201b428597d6d05f6a7523b5d1345f,,
PARENT_0103,PARENT_0103,Pyroxene,Clinoenstatite,RRUFF database,R070276,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0103__original.csv,31c5e664027dd943b29b18868c90e41f489deed8fea325daa19d56a18a8deac6,,
PARENT_0104,PARENT_0104,Pyroxene,Clinoferrosilite,RRUFF database,R141085,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0104__original.csv,0236f7164ad7c0376ae51d650e2e547b9561e8788471be51f97fa4b8dc318c60,,
PARENT_0105,PARENT_0105,Pyroxene,Clinoferrosilite,RRUFF database,R141085,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0105__original.csv,388aae1cbc5633293462fba5d34a9e4e7b4a0fe783861bc522f0ce1a2d7b58c9,,
PARENT_0106,PARENT_0106,Pyroxene,Donpeacorite,RRUFF database,R060646,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0106__original.csv,1367cca3e24bb065e5b3c26dc98ff1fda13acc92fb10b383cb1585cb08924e4a,,
PARENT_0107,PARENT_0107,Pyroxene,Donpeacorite,RRUFF database,R060646,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0107__original.csv,a032ceff428738e2d7c10728fabed1aea14e2f7d0bc25fefd799aeb5e567d1f7,,
PARENT_0108,PARENT_0108,Pyroxene,Esseneite,RRUFF database,R061123,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0108__original.csv,e7192933216d0d4a382c264c91ca3dc6aca2dc97d6da862c388643306d663957,,
PARENT_0109,PARENT_0109,Pyroxene,Esseneite,RRUFF database,R061123,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0109__original.csv,617b6322668ddbf6f36bca276a59a2673aa4a037eece3789df01f6e33b518dac,,
PARENT_0110,PARENT_0110,Pyroxene,Ferrosilite,RRUFF database,X050187,train,no,data\materialized_augmented_review_ready_v1\spectra\PARENT_0110__original.csv,053817fc5866f81194248dba6b72f5f267b9eac88002d12dfe6fbaa50631b3e2,,
