augmented_id,parent_spectrum_id,parent_group,model_label,major_category,subtype_label,source_type,split_main,repository_file,random_seed,augmentation_parameters_json
PARENT_0325__AUG_0010,PARENT_0325,RRUFF database__R050062,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0325__AUG_0010.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.005557348420710799, 0.0072843150888202285, -0.007038825164130671], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [196.7117, 215.0322, 229.9778, 262.7617, 300.3668, 440.1806, 483.5711, 528.408, 591.5652, 744.8784, 972.9196, 1008.596], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.0, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0326__AUG_0011,PARENT_0326,RRUFF database__X050174,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0326__AUG_0011.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [217.0, 232.0, 262.0, 301.0, 369.0, 440.0, 484.0, 529.0, 595.0, 747.0, 973.0, 1013.0], ""gaussian_noise_sigma_normalized"": 0.012483140032574735, ""intensity_gamma"": 1.1642957982376816, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0327__AUG_0012,PARENT_0327,RRUFF database__R050491,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0327__AUG_0012.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0024465511538047584, -0.0004220991292154921, 0.0033117233421157614], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [140.1837, 168.1465, 193.6987, 260.7129, 300.2465, 438.6139, 482.4865, 529.2519, 592.8912, 743.7938, 973.2813, 1011.369], ""gaussian_noise_sigma_normalized"": 0.011353304318898617, ""intensity_gamma"": 1.1570864103344123, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": [{""factor"": 0.8861406629890922, ""index_start"": 1772, ""index_stop"": 1822}, {""factor"": 0.7813069834527044, ""index_start"": 2233, ""index_stop"": 2273}]}"
PARENT_0871__AUG_0013,PARENT_0871,Lab-acquired DUV spectra__DUV-Ulexite,Borate,Borate,Ulexite,Lab-acquired DUV spectra,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0871__AUG_0013.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [971.32687, 1368.63225, 3408.8491, 3554.88567, 3554.88567, 3559.18086, 3561.32846, 3572.06644, 3580.65683, 3580.65683, 3589.24722, 3597.8376], ""gaussian_noise_sigma_normalized"": 0.02029691287088627, ""intensity_gamma"": 1.049612039961902, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0318__AUG_0014,PARENT_0318,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0318__AUG_0014.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [149.2699, 176.2684, 223.0337, 322.8318, 388.3996, 480.4839, 534.963, 565.3364, 611.1374, 668.9914, 745.1658], ""gaussian_noise_sigma_normalized"": 0.022306467904521732, ""intensity_gamma"": 0.9845008572997939, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0318__AUG_0015,PARENT_0318,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0318__AUG_0015.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.008749649638735176, 0.018321330407769402, -0.0014777311296254399], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [149.2699, 176.2684, 223.0337, 322.8318, 388.3996, 480.4839, 534.963, 565.3364, 611.1374, 668.9914, 745.1658], ""gaussian_noise_sigma_normalized"": 0.013431289171936249, ""intensity_gamma"": 1.337228644862344, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0871__AUG_0016,PARENT_0871,Lab-acquired DUV spectra__DUV-Ulexite,Borate,Borate,Ulexite,Lab-acquired DUV spectra,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0871__AUG_0016.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [971.32687, 1368.63225, 3408.8491, 3554.88567, 3554.88567, 3559.18086, 3561.32846, 3572.06644, 3580.65683, 3580.65683, 3589.24722, 3597.8376], ""gaussian_noise_sigma_normalized"": 0.017727927885617955, ""intensity_gamma"": 1.0, ""symmetric_broadening_alpha"": 0.48769487516807375, ""weak_band_attenuation_windows"": [{""factor"": 0.8851881604356998, ""index_start"": 676, ""index_stop"": 730}]}"
PARENT_0323__AUG_0017,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0017.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.021583236085981384, 0.01653996702375971, 0.011019984222387987], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.022917040870510347, ""intensity_gamma"": 1.0, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": [{""factor"": 0.8305406341241988, ""index_start"": 88, ""index_stop"": 136}, {""factor"": 0.8751723166768514, ""index_start"": 595, ""index_stop"": 615}, {""factor"": 0.7892034494686633, ""index_start"": 34, ""index_stop"": 64}]}"
PARENT_0843__AUG_0018,PARENT_0843,Lab-acquired DUV spectra__DUV-Kernite,Borate,Borate,Kernite,Lab-acquired DUV spectra,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0843__AUG_0018.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.030811086389762585, -0.019098620576673137, 0.02577104064145607], ""detected_band_count"": 8, ""detected_band_positions_cm-1"": [924.07974, 1317.08993, 3346.56879, 3546.29528, 3552.73807, 3584.95202, 3587.09962, 3599.9852], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.0132519771464783, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0322__AUG_0019,PARENT_0322,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0322__AUG_0019.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.015835215148954418, 0.01650465234247852, -0.0009472877410221274], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [95.41614, 242.4617, 308.9938, 386.6146, 533.6602, 564.0335, 610.3167, 668.6528, 744.3451, 787.2535, 1079.416], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 0.942061714161584, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0328__AUG_0020,PARENT_0328,RRUFF database__R050491,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0328__AUG_0020.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [110.1752, 126.085, 140.0664, 195.5099, 261.5599, 301.0935, 438.9789, 484.2979, 529.6169, 593.2564, 745.6053, 972.2003], ""gaussian_noise_sigma_normalized"": 0.020311118324513468, ""intensity_gamma"": 1.0, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0322__AUG_0021,PARENT_0322,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0322__AUG_0021.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.005070437723414609, -0.0013544540644890293, 0.02028985722333354], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [95.41614, 242.4617, 308.9938, 386.6146, 533.6602, 564.0335, 610.3167, 668.6528, 744.3451, 787.2535, 1079.416], ""gaussian_noise_sigma_normalized"": 0.01770608104528791, ""intensity_gamma"": 0.9913460388830393, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0323__AUG_0022,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0022.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.020861681957595753, 0.016294715769260393, 0.00892030470568448], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.021817122287331254, ""intensity_gamma"": 0.9252734576136437, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0324__AUG_0023,PARENT_0324,RRUFF database__R050062,Borate,Borate,Ulexite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0324__AUG_0023.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.0027807429210181356, -0.017870350421598343, -0.022344478059322537], ""detected_band_count"": 9, ""detected_band_positions_cm-1"": [121.203, 169.689, 191.765, 301.308, 366.373, 438.987, 483.062, 529.56, 591.603], ""gaussian_noise_sigma_normalized"": 0.010279311290103434, ""intensity_gamma"": 0.925957927215401, ""symmetric_broadening_alpha"": 0.42697499276602474, ""weak_band_attenuation_windows"": []}"
PARENT_0321__AUG_0024,PARENT_0321,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0321__AUG_0024.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [165.6353, 242.7739, 308.3418, 386.4447, 433.6921, 536.383, 563.8636, 609.6647, 668.0008, 743.6931, 786.1194, 1083.585], ""gaussian_noise_sigma_normalized"": 0.005344192539308647, ""intensity_gamma"": 1.0360948156318708, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0318__AUG_0025,PARENT_0318,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0318__AUG_0025.csv,2024,"{""band_envelope_intensity_perturbations"": [{""amplitude"": -0.02876834420002187, ""center_cm-1"": 149.2699, ""sigma_cm-1"": 9.107778017583662}, {""amplitude"": -0.0328237063723434, ""center_cm-1"": 176.2684, ""sigma_cm-1"": 9.045136353260501}, {""amplitude"": 0.05584426643254696, ""center_cm-1"": 223.0337, ""sigma_cm-1"": 4.784073394594604}, {""amplitude"": -0.06924775005712197, ""center_cm-1"": 322.8318, ""sigma_cm-1"": 4.090994758178736}, {""amplitude"": -0.023392191015307942, ""center_cm-1"": 388.3996, ""sigma_cm-1"": 7.3436173161748135}, {""amplitude"": -0.0547434181967075, ""center_cm-1"": 480.4839, ""sigma_cm-1"": 9.65047212665973}, {""amplitude"": -0.04284180140495918, ""center_cm-1"": 534.963, ""sigma_cm-1"": 5.461663859917003}, {""amplitude"": -0.0486198007372407, ""center_cm-1"": 565.3364, ""sigma_cm-1"": 6.9840902471579795}, {""amplitude"": -0.03496871910571858, ""center_cm-1"": 611.1374, ""sigma_cm-1"": 6.357165332478379}, {""amplitude"": 0.00776613841329038, ""center_cm-1"": 668.9914, ""sigma_cm-1"": 8.186317666299733}, {""amplitude"": 0.007493868320904623, ""center_cm-1"": 745.1658, ""sigma_cm-1"": 8.852366216176481}], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.016117386506413794, 0.02060571880003432, 0.02313773530324785], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [149.2699, 176.2684, 223.0337, 322.8318, 388.3996, 480.4839, 534.963, 565.3364, 611.1374, 668.9914, 745.1658], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.2616807617541648, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": [{""factor"": 0.9316161418284445, ""index_start"": 1558, ""index_stop"": 1598}, {""factor"": 0.8653118936831732, ""index_start"": 2125, ""index_stop"": 2183}]}"
PARENT_0318__AUG_0026,PARENT_0318,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0318__AUG_0026.csv,2024,"{""band_envelope_intensity_perturbations"": [{""amplitude"": 0.009838566483108865, ""center_cm-1"": 149.2699, ""sigma_cm-1"": 7.485134046327909}, {""amplitude"": -0.023508987376014527, ""center_cm-1"": 176.2684, ""sigma_cm-1"": 8.992988298129795}, {""amplitude"": -0.06979404952994665, ""center_cm-1"": 223.0337, ""sigma_cm-1"": 4.0828190931386406}, {""amplitude"": 0.024389592165393756, ""center_cm-1"": 322.8318, ""sigma_cm-1"": 7.272073462971909}, {""amplitude"": 0.016953609104497766, ""center_cm-1"": 388.3996, ""sigma_cm-1"": 9.505014769301045}, {""amplitude"": -0.04294464446518113, ""center_cm-1"": 480.4839, ""sigma_cm-1"": 4.6343073727418815}, {""amplitude"": 0.05303784160193352, ""center_cm-1"": 534.963, ""sigma_cm-1"": 4.980809770590728}, {""amplitude"": 0.011910623675464957, ""center_cm-1"": 565.3364, ""sigma_cm-1"": 5.711008571402601}, {""amplitude"": -0.006949709557050501, ""center_cm-1"": 611.1374, ""sigma_cm-1"": 7.36666900828714}, {""amplitude"": 0.0023816804398330005, ""center_cm-1"": 668.9914, ""sigma_cm-1"": 5.93187119303045}, {""amplitude"": 0.023997357811269396, ""center_cm-1"": 745.1658, ""sigma_cm-1"": 8.767424803441994}], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.0, 0.0, 0.0], ""detected_band_count"": 11, ""detected_band_positions_cm-1"": [149.2699, 176.2684, 223.0337, 322.8318, 388.3996, 480.4839, 534.963, 565.3364, 611.1374, 668.9914, 745.1658], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.2890558232377178, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0317__AUG_0027,PARENT_0317,RRUFF database__R050102,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0317__AUG_0027.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.016633377257136938, -0.017648552838743316, -0.011123567789674235], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [308.108, 386.605, 534.858, 566.576, 609.997, 670.154, 745.397, 789.195, 983.49, 1084.539, 1138.914, 1202.715], ""gaussian_noise_sigma_normalized"": 0.014714259085485747, ""intensity_gamma"": 0.9245731616909301, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": [{""factor"": 0.7742267471722826, ""index_start"": 350, ""index_stop"": 418}]}"
PARENT_0321__AUG_0028,PARENT_0321,RRUFF database__R050331,Borate,Borate,Colemanite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0321__AUG_0028.csv,2024,"{""band_envelope_intensity_perturbations"": [{""amplitude"": -0.0011826387691624557, ""center_cm-1"": 165.6353, ""sigma_cm-1"": 8.74334924882369}, {""amplitude"": -0.05460172674594322, ""center_cm-1"": 242.7739, ""sigma_cm-1"": 7.142998182689205}, {""amplitude"": 0.07601749630014613, ""center_cm-1"": 308.3418, ""sigma_cm-1"": 5.81870990498733}, {""amplitude"": 0.024468490771767645, ""center_cm-1"": 386.4447, ""sigma_cm-1"": 8.451678051167171}, {""amplitude"": -0.06892826705689263, ""center_cm-1"": 433.6921, ""sigma_cm-1"": 7.705944167973039}, {""amplitude"": -0.07545639377639458, ""center_cm-1"": 536.383, ""sigma_cm-1"": 8.20272898148782}, {""amplitude"": -0.019863551435787503, ""center_cm-1"": 563.8636, ""sigma_cm-1"": 7.280487874187846}, {""amplitude"": -0.04340119492997449, ""center_cm-1"": 609.6647, ""sigma_cm-1"": 5.382081389723287}, {""amplitude"": -0.039213134193462056, ""center_cm-1"": 668.0008, ""sigma_cm-1"": 8.966000952950143}, {""amplitude"": 0.04322761650663852, ""center_cm-1"": 743.6931, ""sigma_cm-1"": 5.936355915739817}, {""amplitude"": -0.07691380452747153, ""center_cm-1"": 786.1194, ""sigma_cm-1"": 6.91564348539913}, {""amplitude"": -0.039323573922143105, ""center_cm-1"": 1083.585, ""sigma_cm-1"": 9.823470816665159}], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [0.008096327338405122, -0.008532608425521834, 0.025346681222659925], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [165.6353, 242.7739, 308.3418, 386.4447, 433.6921, 536.383, 563.8636, 609.6647, 668.0008, 743.6931, 786.1194, 1083.585], ""gaussian_noise_sigma_normalized"": 0.007100669235108581, ""intensity_gamma"": 1.1366563467839235, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
PARENT_0323__AUG_0029,PARENT_0323,RRUFF database__R050661,Borate,Borate,Kernite,RRUFF database,train,results\augmentation_reproducibility\dry_run_augmented_spectra\spectra\PARENT_0323__AUG_0029.csv,2024,"{""band_envelope_intensity_perturbations"": [], ""band_position_shift_cm-1"": 0.0, ""baseline_polynomial_coefficients"": [-0.018175454352587647, 0.00047601491001019586, -0.011672232537839123], ""detected_band_count"": 12, ""detected_band_positions_cm-1"": [172.2236, 257.0763, 318.3051, 387.2479, 426.2994, 458.1192, 496.2064, 580.0948, 737.2651, 846.7057, 930.112, 1028.464], ""gaussian_noise_sigma_normalized"": 0.0, ""intensity_gamma"": 1.0, ""symmetric_broadening_alpha"": 0.0, ""weak_band_attenuation_windows"": []}"
