Wave,Microcline
311.566,2234.43
312.073,2234.04
312.581,2234
313.088,2227.36
313.594,2224.71
314.103,2213.2
314.61,2208.51
315.116,2208.02
315.625,2214.12
316.131,2221.59
316.637,2245.48
317.146,2266.27
317.652,2272.49
318.158,2258.39
318.665,2237.47
319.173,2218.77
319.679,2226.99
320.185,2228.43
320.694,2231.01
321.2,2236.93
321.706,2246.26
322.212,2254.33
322.72,2264.35
323.226,2269.62
323.732,2275.62
324.238,2276.69
324.744,2280.63
325.252,2287.04
325.758,2296.59
326.264,2311.22
326.769,2329.19
327.275,2350.01
327.783,2374.36
328.289,2395.42
328.794,2421.9
329.3,2434.47
329.806,2432.92
330.311,2416.89
330.819,2401.53
331.325,2383.53
331.83,2369.03
332.336,2345.99
332.841,2321.63
333.347,2297.56
333.852,2296.32
334.357,2292.8
334.865,2289.84
335.37,2286.25
335.876,2282.36
336.381,2276.81
336.886,2268.62
337.391,2257.81
337.897,2243.98
338.402,2224.69
338.907,2219.67
339.412,2213.91
339.917,2231.67
340.422,2240.89
340.927,2246.57
341.432,2233.53
341.937,2221.17
342.442,2235.7
342.947,2252.76
343.454,2265.81
343.959,2273.79
344.464,2269.31
344.969,2267.56
345.471,2263.86
345.976,2257.64
346.481,2248.43
346.986,2247.43
347.49,2250.51
347.995,2254.69
348.499,2259.87
349.004,2265.77
349.509,2272.51
350.013,2278.93
350.518,2282.37
351.022,2286.3
351.527,2289.84
352.031,2296.66
352.535,2306.9
353.04,2313.78
353.544,2316.81
354.046,2317.06
354.551,2316.07
355.055,2312.44
355.559,2306.97
356.064,2300.2
356.568,2292.57
357.072,2289.81
357.576,2290.88
358.078,2291.6
358.582,2293.49
359.086,2296.48
359.59,2301.06
360.094,2305.71
360.598,2307.12
361.1,2301.26
361.604,2283.9
362.108,2279.07
362.612,2276.68
363.115,2279.83
363.617,2283.72
364.121,2287.74
364.625,2290.86
365.128,2294.32
365.63,2298.91
366.134,2304.39
366.637,2310.41
367.141,2317.34
367.642,2325.24
368.146,2334.61
368.65,2348.52
369.153,2365.25
369.654,2377.9
370.158,2384.02
370.661,2385.55
371.165,2383.43
371.666,2376.76
372.169,2366.11
372.673,2351.98
373.174,2334.96
373.677,2326.53
374.18,2321.69
374.681,2311.3
375.185,2296.36
375.688,2284.46
376.189,2274.82
376.692,2267.54
377.195,2261.29
377.696,2258.83
378.199,2262.9
378.7,2261.84
379.203,2262.83
379.706,2262.38
380.206,2262.06
380.709,2261.46
381.21,2260.47
381.713,2258.89
382.216,2256.83
382.716,2254.05
383.219,2250.78
383.72,2242.8
384.222,2245.91
384.723,2249.32
385.226,2258.8
385.726,2264.2
386.229,2266.62
386.731,2264.37
387.232,2254.2
387.734,2247.04
388.235,2241.66
388.737,2238.23
389.237,2237.2
389.74,2239.32
390.24,2243.47
390.742,2249.69
391.242,2258.14
391.745,2267.53
392.245,2270.06
392.745,2268.96
393.247,2268.66
393.747,2269.74
394.249,2272.27
394.749,2276.42
395.252,2280.45
395.752,2284.76
396.254,2288.82
396.753,2290.65
397.253,2290.63
397.755,2293.06
398.255,2308.12
398.757,2326.78
399.257,2343.56
399.757,2354.76
400.258,2360.33
400.758,2365.26
401.258,2368.45
401.759,2367.86
402.259,2363.68
402.761,2362.71
403.26,2362.38
403.76,2368.9
404.261,2371.52
404.761,2371.07
405.26,2365.79
405.76,2361.11
406.261,2354.09
406.761,2346.31
407.26,2340.3
407.761,2337.82
408.261,2344.27
408.76,2344.77
409.261,2344.44
409.761,2340.34
410.26,2338.06
410.759,2337.98
411.26,2339.72
411.759,2342.08
412.258,2343.59
412.757,2342.9
413.258,2340.53
413.757,2336.75
414.256,2331.95
414.755,2326.05
415.254,2319.42
415.755,2321.61
416.254,2324.93
416.753,2323.6
417.252,2322.02
417.75,2320.1
418.251,2318.34
418.75,2315.44
419.249,2311.9
419.747,2308.1
420.246,2304.14
420.745,2300.95
421.243,2298.53
421.744,2296.87
422.242,2298.04
422.741,2300.71
423.239,2303.07
423.738,2305.34
424.236,2307.26
424.735,2308.68
425.233,2310.03
425.731,2311.33
426.232,2312.41
426.73,2313.19
427.228,2313.54
427.727,2312.96
428.225,2308.48
428.723,2305.01
429.221,2302.55
429.719,2306.39
430.217,2313.39
430.716,2326.38
431.214,2330.58
431.712,2325.42
432.21,2302.55
432.708,2304.35
433.206,2314.7
433.703,2328.48
434.201,2342.55
434.699,2351.61
435.197,2342.91
435.695,2339.78
436.193,2336.16
436.69,2331.52
437.188,2326.98
437.686,2319.75
438.184,2313.38
438.681,2308.61
439.179,2305.24
439.676,2306.76
440.174,2309.24
440.669,2312.52
441.167,2324.15
441.664,2348.68
442.162,2350.99
442.659,2348.63
443.157,2344.28
443.654,2346.45
444.151,2350.88
444.649,2355.75
445.144,2361.9
445.641,2369.68
446.139,2378.5
446.636,2388.71
447.133,2399.27
447.63,2410.23
448.125,2420.86
448.622,2427.85
449.119,2437.29
449.616,2446.94
450.113,2456.86
450.61,2466.7
451.105,2476.62
451.602,2472.82
452.099,2465.89
452.596,2456.02
453.091,2451.78
453.588,2453.22
454.085,2461.61
454.581,2452.8
455.078,2442.17
455.573,2410.47
456.07,2399.9
456.566,2382.53
457.061,2394.06
457.557,2387.93
458.054,2379.92
458.551,2372.26
459.045,2368.62
459.542,2369.11
460.038,2380.15
460.533,2388.39
461.029,2400.38
461.525,2408.46
462.02,2409.88
462.516,2409.55
463.012,2407.78
463.507,2406.86
464.003,2408.02
464.499,2412.63
464.993,2431.1
465.49,2445.84
465.986,2464.81
466.48,2481.66
466.976,2485.05
467.47,2495.3
467.966,2508.43
468.462,2524.77
468.956,2545.93
469.452,2582.56
469.946,2621.2
470.442,2681.86
470.938,2741.75
471.432,2796.33
471.927,2841.87
472.421,2877.85
472.917,2907.81
473.411,2929.25
473.906,2940.54
474.4,2941.51
474.896,2929.88
475.389,2901.64
475.885,2871.66
476.379,2834.96
476.874,2799.62
477.368,2767.79
477.863,2740.47
478.357,2715.89
478.852,2695.16
479.345,2677.64
479.841,2663.8
480.334,2653.15
480.83,2645.83
481.323,2639.96
481.818,2632.08
482.311,2620.92
482.805,2605.27
483.3,2586.97
483.793,2566.33
484.288,2545.55
484.781,2525.17
485.274,2505.21
485.77,2487.8
486.263,2471.82
486.758,2457.5
487.251,2444.83
487.743,2436.15
488.238,2431.89
488.731,2430.83
489.224,2429.99
489.719,2429.37
490.212,2428.89
490.705,2428.94
491.2,2426.06
491.692,2425.01
492.185,2422.62
492.68,2422.65
493.172,2424.84
493.665,2430.21
494.16,2439.48
494.652,2446.29
495.145,2453.81
495.637,2461.53
496.132,2468.99
496.624,2475.33
497.117,2480.3
497.611,2482.99
498.104,2487.37
498.596,2499.41
499.088,2513.12
499.581,2528.4
500.075,2545.92
500.567,2563.62
501.059,2583.91
501.552,2606.2
502.046,2630.6
502.538,2657.5
503.03,2687.66
503.522,2721.68
504.014,2759.06
504.506,2812.97
505,2876.6
505.492,2932.91
505.984,2988.62
506.476,3036.21
506.968,3085.26
507.46,3136.99
507.954,3195.36
508.446,3262.05
508.938,3334.11
509.429,3413.24
509.921,3504.69
510.413,3584.1
510.904,3625.08
511.396,3641.16
511.888,3618.28
512.379,3558.48
512.873,3497.22
513.365,3417.53
513.856,3320.18
514.348,3208.98
514.839,3091.82
515.331,2977.34
515.822,2909.94
516.313,2877.3
516.805,2826.51
517.296,2779.25
517.788,2735
518.279,2693.45
518.77,2654.69
519.261,2626.98
519.753,2602.28
520.244,2584.52
520.735,2570.66
521.226,2562.9
521.717,2557.96
522.208,2553.06
522.699,2546.57
523.19,2532.6
523.681,2516.14
524.172,2501.54
524.663,2488.34
525.154,2479.55
525.643,2470
526.134,2463.06
526.625,2458.6
527.116,2451.83
527.607,2444.64
528.097,2429.4
528.588,2418.62
529.079,2413.41
529.569,2412.22
530.058,2411.79
530.549,2411.27
531.039,2411.1
531.53,2410.19
532.021,2404.92
532.511,2398.9
533.002,2391.2
533.49,2386.04
533.98,2389.57
534.471,2426.61
534.961,2438.3
535.452,2441.35
535.94,2418.89
536.43,2414.92
536.921,2413.37
537.411,2412.07
537.901,2411.38
538.389,2411.37
538.88,2411.16
539.37,2410.19
539.86,2408.91
540.348,2406.56
540.838,2404.84
541.328,2402.75
541.818,2400.95
542.306,2399.76
542.796,2399.55
543.286,2400.36
543.774,2402.05
544.264,2405.26
544.754,2408.09
545.244,2408.49
545.731,2403.07
546.221,2389.32
546.711,2381.73
547.199,2371.5
547.688,2367.38
548.178,2372.78
548.666,2377.09
549.155,2383.98
549.643,2392.24
550.133,2404.53
550.622,2404.73
551.11,2399.83
551.599,2395.81
552.089,2391.25
552.576,2387.94
553.065,2386.46
553.553,2386.46
554.042,2387.99
554.53,2391.02
555.019,2395.72
555.508,2401.9
555.995,2407.3
556.485,2411.77
556.972,2407.02
557.461,2403.22
557.948,2395.34
558.437,2386.03
558.924,2377.16
559.414,2368.12
559.901,2365.18
560.39,2364.27
560.877,2365.01
561.366,2367.59
561.853,2372.19
562.341,2377.87
562.828,2383.06
563.317,2377.73
563.804,2375.26
564.293,2375.93
564.78,2377.36
565.268,2382.37
565.755,2381.54
566.244,2380.95
566.731,2381.35
567.217,2378.42
567.706,2375.23
568.193,2372.48
568.681,2370.69
569.168,2373.09
569.654,2377.59
570.143,2386.5
570.629,2389.52
571.118,2385.43
571.604,2382.75
572.09,2384.76
572.579,2388.59
573.065,2392.95
573.551,2397.08
574.04,2402.81
574.526,2410.03
575.012,2416.35
575.5,2416.43
575.987,2403.98
576.473,2400.33
576.961,2400.07
577.447,2403.8
577.933,2421.08
578.419,2425.77
578.907,2433.94
579.393,2437.84
579.879,2438.11
580.367,2426.05
580.853,2415.74
581.339,2415.53
581.825,2420.14
582.313,2426.22
582.799,2429.75
583.284,2432.63
583.77,2435.11
584.256,2432.9
584.744,2430.82
585.229,2427.45
585.715,2425.48
586.201,2426.15
586.686,2426.11
587.174,2426.84
587.659,2424.74
588.145,2417.94
588.63,2414.85
589.116,2412.4
589.601,2410.59
590.089,2408.2
590.574,2406.9
591.059,2406.94
591.545,2410
592.03,2413.27
592.515,2416.04
593.001,2418.82
593.486,2422.35
593.973,2420.93
594.458,2417.14
594.944,2418.11
595.429,2421.21
595.914,2426.88
596.399,2436.94
596.884,2439.88
597.369,2433.66
597.854,2431.54
598.339,2430.58
598.824,2430.56
599.309,2431.32
599.794,2433.58
600.279,2437.43
600.764,2442.3
601.248,2447.85
601.733,2453.17
602.218,2452.69
602.703,2445.7
603.187,2439.2
603.672,2434.19
604.157,2431.56
604.641,2432.35
605.126,2433.23
605.611,2433.95
606.095,2435.7
606.58,2438.31
607.064,2442.23
607.549,2445.94
608.033,2445.61
608.518,2442.01
609.002,2443.49
609.485,2450.66
609.969,2452.76
610.453,2452.34
610.776,2451.77
611.266,2447.06
611.757,2442.35
612.245,2440.99
612.735,2440.79
613.226,2443.02
613.714,2446.92
614.204,2453.25
614.692,2461.25
615.182,2471.06
615.672,2481.85
616.16,2479.54
616.651,2471.41
617.141,2464.76
617.629,2459.6
618.119,2455.14
618.607,2448.48
619.096,2447.02
619.586,2448.4
620.074,2453.19
620.564,2457.71
621.052,2455.08
621.542,2450.92
622.029,2445.72
622.519,2443.29
623.009,2442.18
623.497,2445.52
623.986,2456.08
624.474,2464.81
624.963,2471.55
625.451,2483.69
625.941,2492.55
626.428,2494.23
626.918,2489.74
627.405,2482.2
627.895,2479.58
628.382,2479.27
628.871,2481.79
629.359,2489.27
629.848,2503.52
630.335,2531.01
630.825,2523.48
631.312,2514.08
631.801,2488.45
632.288,2481.47
632.776,2487.98
633.265,2495.74
633.752,2503.98
634.241,2513.63
634.728,2517.8
635.217,2515.93
635.704,2507.83
636.191,2499.74
636.68,2491.82
637.167,2487.5
637.656,2485.72
638.143,2483.31
638.63,2480.94
639.119,2479.62
639.605,2479.67
640.092,2481.77
640.581,2485.67
641.068,2491.01
641.556,2497.78
642.043,2505.98
642.53,2514.31
643.018,2520.68
643.505,2525.35
643.992,2527.94
644.48,2528.72
644.967,2527.55
645.453,2525.03
645.94,2521.24
646.428,2516.9
646.914,2512.71
647.401,2509.45
647.889,2508.97
648.376,2508.98
648.862,2509.4
649.348,2511.04
649.836,2521.44
650.323,2533.9
650.809,2541.3
651.295,2545.92
651.783,2545.73
652.269,2544.56
652.755,2539.39
653.242,2532.23
653.728,2522.42
654.216,2514.05
654.702,2516.48
655.188,2515.79
655.674,2513.33
656.16,2509.7
656.647,2501.01
657.133,2496.08
657.619,2492.08
658.105,2490.46
658.591,2493.19
659.077,2498
659.564,2504.55
660.05,2512.77
660.536,2522.06
661.021,2531.58
661.507,2517.63
661.993,2503.9
662.478,2486.32
662.964,2476.66
663.451,2476.07
663.937,2493.18
664.422,2503.54
664.908,2510.62
665.393,2513.29
665.879,2515.24
666.364,2514.33
666.849,2509.76
667.335,2502.67
667.82,2493.32
668.305,2482.76
668.79,2474.24
669.276,2467.75
669.761,2471.42
670.246,2481.21
670.731,2486.89
671.216,2489.14
671.701,2472.99
672.186,2455.83
672.672,2449.63
673.157,2472.9
673.642,2491.71
674.126,2483.89
674.611,2482.49
675.096,2483.88
675.581,2485.83
676.066,2486.59
676.551,2487.35
677.036,2484.87
677.521,2481.88
678.005,2477.56
678.49,2472.81
678.975,2463.75
679.459,2465.47
679.944,2477.15
680.429,2487.13
680.913,2494.86
681.396,2498.79
681.88,2498.37
682.365,2491.9
682.849,2484.92
683.334,2479.83
683.818,2473.46
684.303,2466.3
684.787,2457.73
685.269,2466.17
685.754,2471.59
686.238,2478.91
686.722,2485.35
687.207,2490.31
687.691,2494.17
688.173,2497.29
688.657,2499.19
689.141,2500.17
689.626,2499.86
690.11,2498.42
690.592,2494.65
691.076,2486.16
691.56,2480.74
692.044,2477.86
692.528,2489.91
693.01,2501.82
693.494,2511.54
693.978,2518.36
694.461,2523.13
694.943,2526.36
695.427,2527.27
695.911,2526.36
696.395,2523.25
696.877,2518.29
697.36,2511.87
697.844,2504.26
698.326,2514.72
698.809,2522.52
699.293,2529.88
699.776,2529.07
700.258,2525.11
700.742,2521.09
701.225,2514.13
701.707,2498.58
702.19,2490.48
702.673,2489.6
703.155,2494.97
703.638,2505.51
704.12,2521.54
704.603,2529.72
705.086,2533.26
705.568,2529.81
706.051,2522.79
706.534,2513.13
707.015,2503.26
707.498,2494.05
707.98,2481.74
708.463,2471.88
708.946,2467.26
709.427,2466.86
709.91,2471.23
710.391,2481.18
710.874,2490.7
711.355,2500.27
711.838,2508.67
712.321,2516.81
712.802,2524.26
713.285,2530.99
713.765,2536.36
714.248,2538.91
714.729,2538.72
715.212,2536.34
715.693,2532.15
716.175,2520.46
716.656,2510.44
717.139,2510.4
717.619,2519.71
718.102,2529.49
718.582,2530.35
719.065,2520.62
719.546,2515.12
720.026,2509.06
720.509,2503.23
720.989,2499.03
721.471,2496.18
721.952,2495.5
722.434,2496.07
722.915,2498.4
723.397,2502.27
723.877,2507.59
724.357,2514.28
724.84,2520.35
725.32,2525
725.802,2528.05
726.282,2530.95
726.763,2532.79
727.245,2533.22
727.725,2530.51
728.205,2525.2
728.687,2512.3
729.167,2504.3
729.647,2500.05
730.129,2501.64
730.609,2511.15
731.089,2524.7
731.571,2530.59
732.051,2533.65
732.53,2531.97
733.012,2527.67
733.492,2522.01
733.972,2523.09
734.453,2524.66
734.933,2527.91
735.413,2530.9
735.893,2530.57
736.374,2528.51
736.854,2521.86
737.333,2513.08
737.813,2514.67
738.295,2518.55
738.774,2524.55
739.254,2531.25
739.733,2538.19
740.214,2544.25
740.694,2547.38
741.173,2548.1
741.653,2546.24
742.132,2541.96
742.613,2544.08
743.093,2556.03
743.572,2584.57
744.051,2621.73
744.53,2622.89
745.011,2619.54
745.491,2604.05
745.97,2597.22
746.449,2596.16
746.928,2597.83
747.407,2599.61
747.886,2602
748.367,2603.2
748.846,2604.87
749.325,2602.39
749.804,2598.43
750.283,2589.42
750.762,2574.32
751.241,2561.34
751.719,2557.08
752.198,2554.5
752.679,2552.32
753.158,2550.39
753.636,2548.98
754.115,2548.92
754.594,2547.69
755.073,2546.19
755.551,2543.55
756.03,2539.64
756.508,2534.27
756.987,2526.23
757.465,2519.29
757.944,2517
758.422,2524.45
758.901,2532.4
759.379,2543.65
759.858,2547.9
760.336,2550.81
760.814,2549.31
761.293,2542.64
761.771,2533.21
762.249,2528.48
762.727,2534.22
763.206,2538.63
763.684,2543.2
764.162,2550.09
764.64,2551.19
765.118,2550.28
765.594,2546
766.073,2539.95
766.551,2529.01
767.029,2521.81
767.507,2524.71
767.985,2528.28
768.463,2534
768.94,2536.9
769.418,2539.41
769.896,2541.47
770.372,2540.16
770.85,2538.67
771.328,2536.33
771.805,2537.02
772.283,2540.18
772.761,2547.7
773.239,2552.55
773.714,2556.6
774.192,2559.81
774.669,2562.3
775.147,2563.48
775.625,2560.11
776.1,2556.13
776.578,2550.66
777.055,2545.48
777.533,2540.48
778.01,2537.38
778.486,2533.83
778.963,2531.24
779.44,2529.92
779.918,2529.76
780.393,2531.88
780.87,2536.66
781.347,2556.03
781.825,2542.1
782.3,2505.65
782.777,2507.33
783.254,2499.85
783.729,2539.28
784.207,2552.36
784.684,2539.58
785.161,2537.65
785.636,2536.1
786.113,2535.71
786.59,2535.12
787.065,2534.36
787.542,2532.3
788.019,2531.26
788.493,2527.93
788.97,2523.79
789.447,2521.73
789.922,2523.54
790.399,2536.57
790.874,2553.87
791.35,2574.89
791.827,2583.94
792.302,2578.06
792.778,2571.49
793.255,2563.75
793.73,2548.15
794.206,2547.48
794.681,2547.41
795.157,2554.86
795.632,2570.68
796.108,2579.19
796.585,2576.53
797.059,2571.01
797.536,2560.61
798.01,2557.17
798.486,2552.9
798.961,2552.61
799.437,2554.28
799.911,2556.9
800.388,2560.3
800.862,2560.49
801.338,2555.74
801.812,2546.24
802.288,2542.17
802.763,2541.73
803.239,2541.12
803.713,2542
804.189,2544.66
804.663,2548.82
805.139,2554.66
805.613,2561.88
806.089,2568.79
806.563,2571.92
807.037,2570.86
807.512,2590.03
807.986,2607.71
808.462,2619.46
808.936,2626.06
809.412,2624.1
809.886,2620.02
810.359,2618.08
810.835,2617.58
811.309,2615.63
811.782,2617.03
812.258,2619.76
812.732,2622.67
813.207,2622.61
813.681,2621.48
814.154,2618.75
814.63,2613.98
815.103,2607.4
815.577,2598.33
816.052,2587.49
816.526,2574.9
816.999,2561.86
817.474,2569.43
817.948,2576.35
818.421,2584.16
818.894,2595.48
819.37,2601.81
819.843,2600.39
820.316,2590.22
820.791,2577.81
821.264,2563.91
821.738,2559.95
822.211,2565.06
822.686,2569.56
823.159,2573.67
823.632,2576.38
824.105,2577.35
824.578,2577.17
825.053,2575.97
825.526,2573
825.999,2569.3
826.472,2565.7
826.945,2562.5
827.419,2559.86
827.892,2557.64
828.365,2555.99
828.838,2555.2
829.31,2555.18
829.785,2556.28
830.258,2558.87
830.731,2562.21
831.203,2565.83
831.676,2568.96
832.148,2571.35
832.621,2568.26
833.094,2564.61
833.568,2560.76
834.041,2566.55
834.513,2572.64
834.986,2578.04
835.458,2577.32
835.93,2571.71
836.403,2563.91
836.875,2553.56
837.347,2541.41
837.82,2530.43
838.292,2525.97
838.764,2533.78
839.238,2540.94
839.711,2548.91
840.183,2556.56
840.655,2562.5
841.127,2566.65
841.599,2568.85
842.071,2569.64
842.543,2568.71
843.015,2566.16
843.487,2561.99
843.959,2555.82
844.431,2548.29
844.903,2542.14
845.375,2545.79
845.847,2548.49
846.319,2561.44
846.789,2574.11
847.261,2580.5
847.732,2584.33
848.204,2583.96
848.676,2581.8
849.148,2579.71
849.619,2576.45
850.091,2571.76
850.563,2564.85
851.034,2558.32
851.506,2554.3
851.977,2553.94
852.447,2555.57
852.918,2565.15
853.39,2578.67
853.861,2590.95
854.333,2575.95
854.804,2555.46
855.276,2541.09
855.745,2538.79
856.216,2542.6
856.688,2548.21
857.159,2555.89
857.63,2566.03
858.101,2574.35
858.571,2580.49
859.042,2585.06
859.513,2587.94
859.984,2591.73
860.455,2594.36
860.924,2596.12
861.395,2595.06
861.866,2585.83
862.337,2582.74
862.807,2583.76
863.277,2589.72
863.748,2592.86
864.219,2592.5
864.688,2590.52
865.159,2588.01
865.63,2584.83
866.101,2581.44
