Wave,Forsterite
192.273,1204.09
192.789,1205.91
193.306,1206.77
193.821,1206.95
194.339,1207.03
194.856,1206.75
195.371,1206.21
195.888,1205.33
196.403,1204.22
196.92,1202.66
197.438,1204.49
197.953,1210.03
198.47,1212.61
198.985,1212.84
199.502,1209.79
200.017,1205.69
200.534,1202.73
201.048,1201.21
201.565,1201.3
202.08,1203.16
202.597,1206.49
203.114,1211.79
203.628,1215.88
204.145,1217.45
204.66,1218.68
205.177,1218.59
205.691,1218.12
206.206,1217.84
206.722,1216.68
207.237,1216.06
207.753,1216.24
208.268,1217.29
208.784,1219.22
209.299,1221.99
209.815,1225.64
210.33,1230.04
210.846,1235.39
211.36,1237.7
211.874,1235.76
212.391,1238.51
212.905,1235
213.421,1235
213.935,1231.84
214.449,1233.1
214.966,1248.1
215.48,1256.83
215.996,1244.9
216.51,1264.8
217.024,1277.32
217.54,1287.45
218.054,1294.77
218.568,1299.93
219.083,1303.93
219.597,1309.05
220.111,1312.25
220.627,1314.3
221.141,1315.15
221.654,1314.91
222.17,1313.65
222.684,1311.32
223.197,1308.01
223.713,1303.63
224.227,1298.29
224.74,1291.75
225.254,1293.82
225.769,1299.81
226.283,1296.91
226.796,1296.9
227.312,1276.54
227.825,1264.06
228.338,1269.19
228.852,1269.32
229.367,1270.14
229.88,1271.38
230.393,1263.83
230.907,1258.62
231.42,1255.82
231.935,1256.03
232.448,1257.01
232.961,1258.17
233.474,1259.59
233.987,1260.98
234.502,1261.88
235.015,1262.32
235.528,1262.06
236.041,1260.93
236.554,1258.91
237.067,1255.39
237.582,1250.81
238.094,1246.11
238.607,1241.57
239.12,1237.06
239.633,1234.38
240.145,1233.82
240.658,1235.23
241.171,1240.67
241.685,1243.66
242.198,1241.49
242.71,1236.78
243.223,1231.45
243.735,1225.58
244.248,1221.17
244.76,1217.96
245.273,1217.19
245.785,1216.34
246.297,1215.47
246.81,1214.41
247.322,1212.47
247.834,1211.01
248.348,1209.71
248.861,1208.7
249.373,1209.34
249.885,1210.22
250.397,1211.15
250.909,1211.79
251.421,1212.43
251.933,1212.54
252.445,1212.7
252.957,1212.59
253.469,1212.22
253.981,1211.54
254.493,1210.36
255.005,1208.5
255.514,1204.91
256.026,1200.21
256.538,1203.87
257.05,1206.59
257.561,1208.85
258.073,1210.41
258.585,1212.08
259.096,1210.93
259.608,1209.04
260.12,1208.86
260.631,1210.15
261.143,1212.89
261.654,1217.63
262.164,1218.02
262.675,1217.81
263.186,1210.17
263.698,1206.66
264.209,1204.1
264.72,1203.15
265.232,1203.5
265.743,1204.13
266.252,1204.53
266.763,1204.52
267.274,1204.14
267.786,1203.8
268.297,1203.65
268.808,1204.53
269.317,1207.19
269.828,1211.31
270.339,1214.24
270.85,1215.27
271.361,1215.29
271.87,1214.46
272.38,1213.11
272.891,1211.52
273.402,1209.82
273.911,1208.55
274.422,1207.41
274.932,1206.6
275.443,1206.23
275.952,1206.46
276.462,1207.19
276.973,1208.77
277.484,1211.72
277.992,1216.51
278.503,1214.26
279.013,1211.21
279.524,1204.66
280.032,1207.56
280.543,1215.27
281.053,1224.87
281.561,1229.73
282.072,1226.54
282.582,1224.31
283.09,1222.06
283.6,1219.73
284.111,1216.98
284.619,1215.47
285.129,1219.09
285.639,1220.87
286.147,1221.52
286.657,1221.65
287.165,1221.22
287.675,1220.45
288.185,1219.25
288.693,1217.79
289.203,1216.31
289.713,1217.82
290.221,1220.7
290.731,1222.64
291.239,1224.3
291.749,1225.76
292.256,1227.56
292.766,1232.18
293.276,1236.69
293.783,1241.59
294.293,1246.46
294.801,1251.03
295.31,1255.56
295.818,1261.08
296.327,1267.02
296.835,1273.08
297.344,1281.88
297.852,1293.86
298.361,1304.64
298.869,1314.76
299.378,1323.76
299.885,1331.44
300.395,1337.8
300.902,1343.65
301.411,1347.67
301.918,1349.65
302.428,1348.75
302.935,1343.79
303.444,1336.56
303.951,1326.57
304.458,1314.04
304.967,1299.42
305.474,1291.47
305.983,1285.82
306.49,1279.03
306.999,1277.36
307.506,1276.07
308.013,1272.51
308.522,1270.49
309.028,1269.14
309.537,1268.99
310.044,1270.06
310.551,1272.39
311.059,1276.45
311.566,1281.53
312.073,1289.53
312.581,1297.62
313.088,1304.54
313.594,1312.25
314.103,1317.8
314.61,1321.84
315.116,1323.32
315.625,1321.59
316.131,1319.07
316.637,1316.14
317.146,1313.85
317.652,1313.6
318.158,1313.33
318.665,1314.01
319.173,1315.12
319.679,1317.13
320.185,1320.19
320.694,1324.53
321.2,1330.47
321.706,1337.58
322.212,1347.67
322.72,1360.88
323.226,1373.45
323.732,1384.81
324.238,1393.05
324.744,1398.4
325.252,1401.09
325.758,1401.36
326.264,1398.44
326.769,1392.9
327.275,1386.09
327.783,1378.3
328.289,1370.45
328.794,1362.82
329.3,1355.1
329.806,1346.97
330.311,1339.15
330.819,1332.32
331.325,1327.39
331.83,1325.79
332.336,1325.98
332.841,1328.21
333.347,1332.37
333.852,1338.57
334.357,1343.07
334.865,1339.45
335.37,1335.24
335.876,1331.26
336.381,1328.1
336.886,1325.33
337.391,1322.49
337.897,1319.17
338.402,1315.62
338.907,1311.87
339.412,1307.73
339.917,1299.4
340.422,1288.48
340.927,1275.05
341.432,1264.19
341.937,1256.15
342.442,1250.37
342.947,1245.3
343.454,1241.16
343.959,1238.13
344.464,1235.73
344.969,1233.47
345.471,1231.33
345.976,1230.25
346.481,1230.26
346.986,1233.2
347.49,1240.26
347.995,1245.9
348.499,1239.08
349.004,1236.26
349.509,1232.14
350.013,1226.37
350.518,1221.34
351.022,1218.16
351.527,1215.15
352.031,1214.51
352.535,1215.08
353.04,1216.65
353.544,1218.83
354.046,1221.57
354.551,1224.3
355.055,1226.54
355.559,1227.91
356.064,1229.35
356.568,1226.39
357.072,1223.39
357.576,1221.48
358.078,1219.84
358.582,1218.35
359.086,1217.47
359.59,1217.11
360.094,1217.32
360.598,1218.18
361.1,1219.69
361.604,1221.36
362.108,1222.42
362.612,1222.91
363.115,1222.16
363.617,1218.44
364.121,1216.97
364.625,1216.9
365.128,1217.82
365.63,1219.41
366.134,1221.89
366.637,1224.4
367.141,1227.46
367.642,1225.66
368.146,1223.44
368.65,1220.8
369.153,1217.74
369.654,1214.18
370.158,1210.2
370.661,1205.62
371.165,1206.73
371.666,1210.84
372.169,1213.92
372.673,1218.83
373.174,1220.33
373.677,1218.54
374.18,1216.99
374.681,1214.65
375.185,1211.46
375.688,1207.35
376.189,1205.89
376.692,1207.18
377.195,1206.34
377.696,1207.28
378.199,1202.93
378.7,1202.2
379.203,1203.23
379.706,1205.1
380.206,1208.87
380.709,1212.05
381.21,1214.41
381.713,1214.87
382.216,1214.5
382.716,1213.47
383.219,1211.08
383.72,1207.7
384.222,1203.27
384.723,1197.74
385.226,1198.39
385.726,1200.98
386.229,1206.38
386.731,1207.69
387.232,1207.64
387.734,1208.12
388.235,1204.29
388.737,1200.29
389.237,1197.68
389.74,1197.71
390.24,1200.21
390.742,1202.04
391.242,1204.15
391.745,1204.92
392.245,1203.89
392.745,1201.04
393.247,1196.25
393.747,1195.4
394.249,1193.85
394.749,1195.56
395.252,1196.6
395.752,1199.08
396.254,1200.15
396.753,1200.14
397.253,1199.41
397.755,1197.21
398.255,1197.57
398.757,1198.45
399.257,1199.77
399.757,1202.64
400.258,1206.51
400.758,1208.65
401.258,1210.16
401.759,1211.05
402.259,1210.72
402.761,1210.72
403.26,1210.34
403.76,1210.19
404.261,1209.49
404.761,1209.08
405.26,1208.99
405.76,1209.46
406.261,1211.26
406.761,1214.17
407.26,1218.14
407.761,1222.26
408.261,1226.86
408.76,1232.31
409.261,1234.18
409.761,1237.29
410.26,1236.19
410.759,1234.9
411.26,1233.37
411.759,1232.21
412.258,1232
412.757,1236.18
413.258,1240.82
413.757,1245.6
414.256,1249.43
414.755,1252.63
415.254,1255.14
415.755,1257.26
416.254,1258.72
416.753,1259.52
417.252,1259.62
417.75,1258.5
418.251,1254.56
418.75,1248.91
419.249,1241.47
419.747,1261.93
420.246,1264.33
420.745,1272.22
421.243,1274.45
421.744,1280.31
422.242,1279.57
422.741,1281.29
423.239,1287.25
423.738,1295.83
424.236,1305.11
424.735,1316.03
425.233,1328.53
425.731,1341.58
426.232,1355.84
426.73,1370.73
427.228,1388.21
427.727,1406.3
428.225,1425.1
428.723,1443.51
429.221,1444.83
429.719,1438.19
430.217,1426.14
430.716,1411.66
431.214,1392.03
431.712,1372.18
432.21,1352.92
432.708,1335.57
433.206,1319.09
433.703,1304.61
434.201,1291.52
434.699,1279.96
435.197,1269.86
435.695,1261.22
436.193,1254.06
436.69,1248.2
437.188,1243.18
437.686,1239.22
438.184,1236.54
438.681,1234.88
439.179,1232.43
439.676,1229.3
440.174,1227.01
440.669,1224.37
441.167,1222.16
441.664,1219.72
442.162,1216.79
442.659,1212.48
443.157,1205.53
443.654,1202.44
444.151,1200.87
444.649,1199.74
445.144,1200.8
445.641,1203.4
446.139,1206.75
446.636,1209.82
447.133,1208.85
447.63,1205.72
448.125,1200.74
448.622,1198.66
449.119,1197.65
449.616,1197.48
450.113,1198.4
450.61,1199.68
451.105,1200.35
451.602,1199.97
452.099,1198.33
452.596,1195.16
453.091,1189.71
453.588,1187.22
454.085,1187.09
454.581,1189.42
455.078,1193.79
455.573,1197.65
456.07,1202.57
456.566,1205.35
457.061,1204.5
457.557,1201.56
458.054,1198.01
458.551,1197.69
459.045,1197.62
459.542,1198.24
460.038,1199.3
460.533,1201.21
461.029,1203.55
461.525,1205.85
462.02,1206.92
462.516,1207.3
463.012,1207.01
463.507,1206.07
464.003,1204.56
464.499,1202.58
464.993,1200.61
465.49,1201.64
465.986,1202.74
466.48,1203.22
466.976,1202.88
467.47,1201.69
467.966,1199.92
468.462,1197.45
468.956,1195.06
469.452,1195.68
469.946,1196.27
470.442,1198.99
470.938,1204.72
471.432,1205.6
471.927,1204.41
472.421,1202.74
472.917,1199.93
473.411,1196.09
473.906,1191.67
474.4,1189.65
474.896,1190.93
475.389,1196.86
475.885,1198.59
476.379,1198.84
476.874,1195.11
477.368,1194.93
477.863,1196.36
478.357,1200.02
478.852,1200.9
479.345,1210.07
479.841,1221.65
480.334,1269.42
480.83,1270
481.323,1272
481.818,1268
482.311,1250
482.805,1206.46
483.3,1197.57
483.793,1196.64
484.288,1199.47
484.781,1198.84
485.274,1199.85
485.77,1201.36
486.263,1202.86
486.758,1204.43
487.251,1206.03
487.743,1207.56
488.238,1208.72
488.731,1205.52
489.224,1202.47
489.719,1191.35
490.212,1189.18
490.705,1187.68
491.2,1203.6
491.692,1207.63
492.185,1202.49
492.68,1199.26
493.172,1197.83
493.665,1197.8
494.16,1197.75
494.652,1197.36
495.145,1196.78
495.637,1194.61
496.132,1192.68
496.624,1191.2
497.117,1191.41
497.611,1192.59
498.104,1194.64
498.596,1197.53
499.088,1200.84
499.581,1203.01
500.075,1203.03
500.567,1200.29
501.059,1199.8
501.552,1199.76
502.046,1200.42
502.538,1200.09
503.03,1195.28
503.522,1192.17
504.014,1190.24
504.506,1189.08
505,1190.19
505.492,1190.36
505.984,1190.82
506.476,1191.86
506.968,1193.02
507.46,1194.73
507.954,1196.5
508.446,1198.25
508.938,1199.5
509.429,1196.76
509.921,1195.27
510.413,1193.99
510.904,1193.2
511.396,1192.75
511.888,1191.5
512.379,1190.08
512.873,1188.39
513.365,1187.22
513.856,1186.83
514.348,1187.31
514.839,1188.94
515.331,1191.18
515.822,1193.97
516.313,1196.99
516.805,1200.21
517.296,1204.07
517.788,1206.51
518.279,1207.07
518.77,1205.8
519.261,1204.41
519.753,1202.99
520.244,1201.5
520.735,1199.85
521.226,1198.18
521.717,1196.44
522.208,1194.74
522.699,1193.18
523.19,1192.48
523.681,1194.17
524.172,1197.17
524.663,1204.71
525.154,1209.43
525.643,1211.1
526.134,1209.95
526.625,1206.54
527.116,1205.17
527.607,1204.97
528.097,1206.18
528.588,1208.49
529.079,1211.9
529.569,1215.66
530.058,1218.58
530.549,1221.48
531.039,1223.97
531.53,1226.72
532.021,1232.32
532.511,1238.5
533.002,1244.68
533.49,1250.98
533.98,1257.36
534.471,1264.17
534.961,1271.61
535.452,1280.62
535.94,1290.4
536.43,1303.73
536.921,1324.56
537.411,1345.52
537.901,1366.92
538.389,1387.75
538.88,1407.83
539.37,1424.99
539.86,1441.74
540.348,1457.24
540.838,1469.86
541.328,1478.81
541.818,1479.86
542.306,1477.6
542.796,1471.1
543.286,1448.54
543.774,1425.02
544.264,1401.31
544.754,1376.65
545.244,1353.35
545.731,1334.95
546.221,1319.53
546.711,1305.86
547.199,1293.69
547.688,1282.52
548.178,1272.38
548.666,1263.18
549.155,1254.75
549.643,1247.02
550.133,1239.99
550.622,1233.9
551.11,1229.1
551.599,1225.66
552.089,1222.81
552.576,1222.54
553.065,1223.5
553.553,1224.84
554.042,1225.79
554.53,1225.75
555.019,1225.38
555.508,1224.58
555.995,1223.1
556.485,1221.08
556.972,1218.39
557.461,1214.94
557.948,1210.48
558.437,1204.5
558.924,1199.05
559.414,1197.74
559.901,1199.35
560.39,1201.83
560.877,1205.29
561.366,1209.65
561.853,1214.93
562.341,1215.85
562.828,1214.36
563.317,1211.81
563.804,1210.62
564.293,1209.33
564.78,1208.47
565.268,1208.16
565.755,1208.22
566.244,1208.65
566.731,1209.47
567.217,1210.61
567.706,1212
568.193,1212.62
568.681,1213.89
569.168,1215.1
569.654,1216.31
570.143,1218.76
570.629,1222.44
571.118,1227.91
571.604,1233.92
572.09,1240.14
572.579,1246.01
573.065,1249.79
573.551,1253.14
574.04,1255.92
574.526,1258.88
575.012,1261.89
575.5,1264.74
575.987,1267.67
576.473,1270.68
576.961,1273.43
577.447,1276.14
577.933,1278.65
578.419,1281.58
578.907,1284.5
579.393,1284.51
579.879,1284.42
580.367,1284.81
580.853,1285.7
581.339,1286.55
581.825,1286
582.313,1284.18
582.799,1280.96
583.284,1276.68
583.77,1271.28
584.256,1266.73
584.744,1264.17
585.229,1261.81
585.715,1261.46
586.201,1261.03
586.686,1261.9
587.174,1265.45
587.659,1264.77
588.145,1263.84
588.63,1262.47
589.116,1261.67
589.601,1261.18
590.089,1260.7
590.574,1257.24
591.059,1251.13
591.545,1249.95
592.03,1250.79
592.515,1250.83
593.001,1250.68
593.486,1250.57
593.973,1252
594.458,1250.98
594.944,1249.72
595.429,1250.49
595.914,1251.12
596.399,1260.59
596.884,1278.08
597.369,1280
597.854,1280
598.339,1281
598.824,1367.6
599.309,1303.3
599.794,1301.23
600.279,1306.76
600.764,1308.98
601.248,1306.64
601.733,1309.41
602.218,1311.6
602.703,1313.36
603.187,1315.35
603.672,1317.27
604.157,1319.12
604.641,1320.86
605.126,1322.24
605.611,1322.71
606.095,1321.91
606.58,1319.48
607.064,1315.52
607.549,1310.41
608.033,1305.29
608.518,1294.63
609.002,1285.04
609.485,1273.82
609.969,1264.13
610.453,1261.92
610.776,1263.02
611.266,1267.73
611.757,1265.83
612.245,1262.97
612.735,1259.24
613.226,1254.72
613.714,1249.45
614.204,1243.24
614.692,1236
615.182,1228.79
615.672,1222.37
616.16,1216.67
616.651,1212.44
617.141,1210.91
617.629,1210.72
618.119,1211.27
618.607,1212.49
619.096,1213.86
619.586,1215.13
620.074,1216.5
620.564,1218.06
621.052,1219.29
621.542,1219.98
622.029,1219.99
622.519,1218.29
623.009,1216.38
623.497,1213.99
623.986,1212.68
624.474,1212.62
624.963,1212.93
625.451,1213.12
625.941,1212.81
626.428,1212.46
626.918,1211.74
627.405,1210.72
627.895,1209.13
628.382,1207.29
628.871,1205.47
629.359,1203.67
629.848,1202.43
630.335,1201.23
630.825,1200.08
631.312,1199.1
631.801,1198.3
632.288,1197.71
632.776,1197.38
633.265,1197.55
633.752,1198.16
634.241,1199.3
634.728,1198.78
635.217,1196.81
635.704,1195.14
636.191,1194.41
636.68,1194.38
637.167,1195.33
637.656,1198.14
638.143,1200.88
638.63,1201.11
639.119,1197.83
639.605,1194.97
640.092,1193.32
640.581,1195.6
641.068,1202.02
641.556,1210.07
642.043,1189.2
642.53,1188.01
643.018,1188.45
643.505,1188.55
643.992,1188.61
644.48,1188.76
644.967,1189.76
645.453,1190.9
645.94,1192.31
646.428,1194.02
646.914,1195.86
647.401,1198.06
647.889,1199.57
648.376,1200.67
648.862,1201.09
649.348,1199.38
649.836,1193
650.323,1188.46
650.809,1178.06
651.295,1180
651.783,1180
652.269,1232.29
652.755,1202.74
653.242,1208.31
653.728,1201.82
654.216,1189.73
654.702,1190.4
655.188,1190.52
655.674,1190.68
656.16,1191.66
656.647,1190.77
657.133,1189.26
657.619,1184.43
658.105,1181.11
658.591,1180.81
659.077,1180.79
659.564,1181.21
660.05,1184.38
660.536,1187.63
661.021,1190.65
661.507,1192.83
661.993,1192.45
662.478,1192.33
662.964,1192.07
663.451,1191.89
663.937,1191.82
664.422,1191.7
664.908,1191.6
665.393,1191.47
665.879,1191.33
666.364,1191.1
666.849,1190.84
667.335,1192.11
667.82,1193.83
668.305,1195.43
668.79,1196.67
669.276,1195.22
669.761,1192.12
670.246,1188.9
670.731,1186.41
671.216,1189.03
671.701,1191.91
672.186,1194.73
672.672,1196.57
673.157,1197.57
673.642,1197.33
674.126,1195.16
674.611,1192.74
675.096,1189.98
675.581,1189.21
676.066,1190.58
676.551,1193.77
677.036,1195.93
677.521,1196.94
678.005,1195.44
678.49,1194.16
678.975,1194.13
679.459,1195.16
679.944,1198.1
680.429,1202.79
680.913,1205.41
681.396,1207.37
681.88,1207.29
682.365,1206.9
682.849,1204.68
683.334,1201.66
683.818,1198.1
684.303,1194.15
684.787,1192.41
685.269,1193.32
685.754,1193.79
686.238,1194.95
686.722,1195.09
687.207,1195.04
687.691,1194.54
688.173,1193.59
688.657,1192.23
689.141,1190.49
689.626,1188.54
690.11,1187.65
690.592,1188.82
691.076,1191.67
691.56,1196.14
692.044,1200.82
692.528,1204.6
693.01,1206.59
693.494,1207.76
693.978,1207.98
694.461,1206.98
694.943,1204.96
695.427,1201.79
695.911,1197.96
696.395,1196.17
696.877,1197.7
697.36,1198.53
697.844,1203.89
698.326,1212.13
698.809,1213.39
699.293,1213.05
699.776,1209.53
700.258,1207
700.742,1207.17
701.225,1206.71
701.707,1210.48
702.19,1209.87
702.673,1208.5
703.155,1207.22
703.638,1205.93
704.12,1204.75
704.603,1203.31
705.086,1203.83
705.568,1205.22
706.051,1205.74
706.534,1206.49
707.015,1200.1
707.498,1191.74
707.98,1195.21
708.463,1199.06
708.946,1201.03
709.427,1201.47
709.91,1202.38
710.391,1202.95
710.874,1204.02
711.355,1205.37
711.838,1207.02
712.321,1208.55
712.802,1209.97
713.285,1211.13
713.765,1212.29
714.248,1212.82
714.729,1213.27
715.212,1213.21
715.693,1212.24
716.175,1210.03
716.656,1205.55
717.139,1204.62
717.619,1204.47
718.102,1204.72
718.582,1205.62
719.065,1207.04
719.546,1209.02
720.026,1211.5
720.509,1214.35
720.989,1217.19
721.471,1219.91
721.952,1221.33
722.434,1223.86
722.915,1219.46
723.397,1209.96
723.877,1206.34
724.357,1206.56
724.84,1218.88
725.32,1226.17
725.802,1213.71
726.282,1209.86
726.763,1205.09
727.245,1203.49
727.725,1204.13
728.205,1207
728.687,1209.57
729.167,1212.45
729.647,1213.33
730.129,1213.02
730.609,1212.77
731.089,1212.23
731.571,1211.31
732.051,1210
732.53,1209.68
733.012,1209.66
733.492,1210.23
733.972,1213
734.453,1218.54
734.933,1223.09
735.413,1226.53
735.893,1228.82
736.374,1227.14
736.854,1224.97
737.333,1222.35
737.813,1219.61
738.295,1218.66
738.774,1219
739.254,1220.35
739.733,1221.57
740.214,1221.81
740.694,1221.19
741.173,1219.9
741.653,1217.71
742.132,1216.33
742.613,1216.21
743.093,1216.66
743.572,1217.43
744.051,1218.68
744.53,1219.98
745.011,1222.38
745.491,1224.89
745.97,1227.51
746.449,1229.77
746.928,1231.58
747.407,1232.77
747.886,1233.4
748.367,1233.69
748.846,1233.75
749.325,1233.27
749.804,1232.21
750.283,1230.86
750.762,1229.33
751.241,1227.96
751.719,1227.14
752.198,1234.66
752.679,1235.69
753.158,1237.67
753.636,1234.87
754.115,1229.12
754.594,1223.46
755.073,1222.13
755.551,1222.25
756.03,1222.81
756.508,1224.2
756.987,1226.62
757.465,1230.34
757.944,1234.36
758.422,1238
758.901,1240.97
759.379,1243.23
759.858,1243.69
760.336,1242.53
760.814,1240.4
761.293,1238.19
761.771,1236.41
762.249,1235.38
762.727,1235.64
763.206,1236.21
763.684,1237.42
764.162,1239.31
764.64,1241.74
765.118,1244.65
765.594,1247.63
766.073,1250.08
766.551,1251.44
767.029,1249.73
767.507,1247.75
767.985,1243.84
768.463,1242.43
768.94,1243.75
769.418,1247.89
769.896,1250.38
770.372,1253.29
770.85,1256.02
771.328,1258.6
771.805,1260.7
772.283,1262.45
772.761,1263.82
773.239,1264.75
773.714,1265.26
774.192,1265.39
774.669,1265.12
775.147,1264.39
775.625,1263.21
776.1,1260.82
776.578,1257.22
777.055,1254.57
777.533,1254.09
778.01,1263.55
778.486,1277.16
778.963,1275.17
779.44,1273.95
779.918,1271.53
780.393,1272.42
780.87,1270.7
781.347,1294.8
781.825,1295.08
782.3,1284.3
782.777,1273.24
783.254,1274.12
783.729,1277.62
784.207,1287.62
784.684,1294.89
785.161,1300.42
785.636,1305.28
786.113,1307.12
786.59,1304.87
787.065,1301.66
787.542,1297.75
788.019,1294.31
788.493,1291.43
788.97,1291.99
789.447,1293.55
789.922,1297.15
790.399,1302.15
790.874,1308.02
791.35,1314.81
791.827,1322.02
792.302,1327.82
792.778,1333.98
793.255,1340.48
793.73,1347.8
794.206,1356.97
794.681,1356.84
795.157,1357.42
795.632,1360.98
796.108,1366.94
796.585,1373.85
797.059,1380.11
797.536,1386.01
798.01,1391.51
798.486,1396.39
798.961,1400.88
799.437,1405.14
799.911,1409.16
800.388,1415.05
800.862,1424.27
801.338,1434.26
801.812,1450.79
802.288,1469.14
802.763,1490.24
803.239,1511.12
803.713,1531.73
804.189,1551.53
804.663,1567.78
805.139,1581.2
805.613,1592.17
806.089,1607.29
806.563,1637.33
807.037,1670.4
807.512,1707.21
807.986,1741.6
808.462,1760.15
808.936,1785.15
809.412,1812.6
809.886,1845.83
810.359,1884.79
810.835,1929.47
811.309,1980.02
811.782,2036.53
812.258,2098.66
812.732,2168.26
813.207,2250.27
813.681,2343.69
814.154,2449.94
814.63,2574.82
815.103,2714.54
815.577,2869.92
816.052,3042.26
816.526,3232.87
816.999,3442.87
817.474,3705.32
817.948,3987.66
818.421,4284.79
818.894,4583.82
819.37,4899.69
819.843,5178.86
820.316,5473.11
820.791,5678.26
821.264,5785.5
821.738,5818.94
822.211,5770.51
822.686,5668.55
823.159,5481.57
823.632,5254.26
824.105,4999.95
824.578,4746.04
825.053,4458.02
825.526,4181.17
825.999,3908.52
826.472,3654.7
826.945,3442.97
827.419,3247.41
827.892,3085.94
828.365,2960
828.838,2854.25
829.31,2753.45
829.785,2656.66
830.258,2565.27
830.731,2482.72
831.203,2406.27
831.676,2342.46
832.148,2293.26
832.621,2257.42
833.094,2222.62
833.568,2188.83
834.041,2157.7
834.513,2121.44
834.986,2096.06
835.458,2073.84
835.93,2056.18
836.403,2042.43
836.875,2024.56
837.347,2004.96
837.82,1985.46
838.292,1968.95
838.764,1958.23
839.238,1948.44
839.711,1942.12
840.183,1938.46
840.655,1937.86
841.127,1941.38
841.599,1949.57
842.071,1960.44
842.543,1972.44
843.015,1984.92
843.487,1997.51
843.959,2011.7
844.431,2033.58
844.903,2064.46
845.375,2106.2
845.847,2156.97
846.319,2216.5
846.789,2284.36
847.261,2360.81
847.732,2445.67
848.204,2538.55
848.676,2639.74
849.148,2749.03
849.619,2866.6
850.091,2996.26
850.563,3127.96
851.034,3258.54
851.506,3376.1
851.977,3476.01
852.447,3555.59
852.918,3611.95
853.39,3647.29
853.861,3670.53
854.333,3658.51
854.804,3622.87
855.276,3546.25
855.745,3412.81
856.216,3283.44
856.688,3154.1
857.159,3033.76
857.63,2911.52
858.101,2792.35
858.571,2678.72
859.042,2572.17
859.513,2472.68
859.984,2381.56
860.455,2302.21
860.924,2237.59
861.395,2181.81
861.866,2122.38
862.337,2065.22
862.807,2002.56
863.277,1954.64
863.748,1913.49
864.219,1878.36
864.688,1848.12
865.159,1810.29
865.63,1774.61
866.101,1736.33
866.57,1699.69
867.04,1666.63
