Wave,Enstatite
591.059,5697.23
591.545,5710.4
592.03,5718.53
592.515,5726.88
593.001,5734.29
593.486,5738.93
593.973,5735.48
594.458,5732.61
594.944,5730.42
595.429,5728.96
595.914,5727.4
596.399,5722.77
596.884,5720.71
597.369,5721.16
597.854,5724.23
598.339,5732.34
598.824,5743.6
599.309,5757.92
599.794,5773.37
600.279,5784.49
600.764,5790.3
601.248,5786.95
601.733,5782.02
602.218,5777.92
602.703,5774.56
603.187,5781.42
603.672,5797.5
604.157,5823.3
604.641,5853.24
605.126,5866.5
605.611,5867.05
606.095,5863.03
606.58,5854.51
607.064,5840.25
607.549,5819.81
608.033,5808.97
608.518,5804.42
609.002,5811.76
609.485,5824.38
609.969,5833.93
610.453,5842.45
610.776,5848.33
611.266,5847.46
611.757,5846.27
612.245,5844.75
612.735,5841.66
613.226,5838.8
613.714,5836.67
614.204,5836.7
614.692,5837.91
615.182,5840.34
615.672,5845.07
616.16,5850.72
616.651,5855.25
617.141,5859.58
617.629,5863.4
618.119,5866.49
618.607,5868.69
619.096,5869.81
619.586,5870.04
620.074,5865.29
620.564,5854.88
621.052,5854.6
621.542,5857.51
622.029,5871.52
622.519,5892.18
623.009,5908.19
623.497,5908.62
623.986,5907.61
624.474,5918.43
624.963,5931.74
625.451,5952.86
625.941,5972.09
626.428,5987.3
626.918,5998.4
627.405,6006.77
627.895,6009.93
628.382,6011.03
628.871,6011.47
629.359,6013.08
629.848,6020.26
630.335,6026.96
630.825,6034.93
631.312,6044.48
631.801,6055.28
632.288,6068.71
632.776,6073.84
633.265,6063.67
633.752,6060.67
634.241,6065.8
634.728,6070.08
635.217,6079.94
635.704,6091.89
636.191,6109.11
636.68,6128.97
637.167,6145.65
637.656,6153.63
638.143,6160.9
638.63,6173.09
639.119,6186.05
639.605,6199.38
640.092,6210.4
640.581,6219.4
641.068,6229.99
641.556,6242.7
642.043,6266.3
642.53,6293.18
643.018,6318.81
643.505,6342.92
643.992,6367.61
644.48,6391.87
644.967,6415.83
645.453,6441.29
645.94,6468.26
646.428,6497.08
646.914,6528.13
647.401,6559.13
647.889,6591.94
648.376,6626.96
648.862,6667.84
649.348,6740.85
649.836,6792.83
650.323,6845.22
650.809,6907.34
651.295,6974.57
651.783,7058.14
652.269,7162.94
652.755,7272.65
653.242,7392.27
653.728,7521.73
654.216,7662.21
654.702,7810.92
655.188,7969.2
655.674,8136.87
656.16,8316.4
656.647,8525.34
657.133,8771.73
657.619,9034.16
658.105,9339.28
658.591,9671.13
659.077,10020.5
659.564,10376.9
660.05,10703.9
660.536,10991.7
661.021,11203.2
661.507,11363.5
661.993,11469.6
662.478,11512.9
662.964,11482.3
663.451,11388.2
663.937,11221.1
664.422,10988.3
664.908,10713.3
665.393,10413
665.879,10064.6
666.364,9772.69
666.849,9532.26
667.335,9315.57
667.82,9157.93
668.305,8983.51
668.79,8822.15
669.276,8675.22
669.761,8556.84
670.246,8443.56
670.731,8368.64
671.216,8314.39
671.701,8282.32
672.186,8272.59
672.672,8295.39
673.157,8325.54
673.642,8380
674.126,8436.2
674.611,8498.76
675.096,8560.61
675.581,8643.31
676.066,8725.3
676.551,8843.29
677.036,9006.04
677.521,9200.3
678.005,9425.87
678.49,9680.7
678.975,9956.61
679.459,10249.9
679.944,10563.6
680.429,10896.8
680.913,11250.1
681.396,11622.5
681.88,12014.5
682.365,12425.2
682.849,12858.6
683.334,13246.9
683.818,13536.3
684.303,13723.7
684.787,13787.3
685.269,13766.2
685.754,13632.5
686.238,13404.7
686.722,13078.5
687.207,12679.6
687.691,12247.9
688.173,11790.7
688.657,11314
689.141,10845.6
689.626,10408
690.11,10007.8
690.592,9629.41
691.076,9291.26
691.56,8987.05
692.044,8713.44
692.528,8471.49
693.01,8256.89
693.494,8069.01
693.978,7894.77
694.461,7745.21
694.943,7618.49
695.427,7514.3
695.911,7427.52
696.395,7357.38
696.877,7292.98
697.36,7189.66
697.844,7110.5
698.326,7032.62
698.809,6958.55
699.293,6900.15
699.776,6852.96
700.258,6812.75
700.742,6771.67
701.225,6731.72
701.707,6693.5
702.19,6657.9
702.673,6623.12
703.155,6590.43
703.638,6559.94
704.12,6532.96
704.603,6569.44
705.086,6568.65
705.568,6554.48
706.051,6511.41
706.534,6444.39
707.015,6438.35
707.498,6459.21
707.98,6453.23
708.463,6470.91
708.946,6377.87
709.427,6365.87
709.91,6370.16
710.391,6378.81
710.874,6376.11
711.355,6373.23
711.838,6367.16
712.321,6358.85
712.802,6347.88
713.285,6333.92
713.765,6317.49
714.248,6300.66
714.729,6281.77
715.212,6274.79
715.693,6273.16
716.175,6291.64
716.656,6308.81
717.139,6318.74
717.619,6334.11
718.102,6333.94
718.582,6334.44
719.065,6326.39
719.546,6314.28
720.026,6316.7
720.509,6316.07
720.989,6321.3
721.471,6306.05
721.952,6281.07
722.434,6263.57
722.915,6240.88
723.397,6230.57
723.877,6220.46
724.357,6233.18
724.84,6254.96
725.32,6272.22
725.802,6284.43
726.282,6290.8
726.763,6290.75
727.245,6283.88
727.725,6267.78
728.205,6255.86
728.687,6243.26
729.167,6233.6
729.647,6231.3
730.129,6230.42
730.609,6229.81
731.089,6229.2
731.571,6228.64
732.051,6226.7
732.53,6217.53
733.012,6207.05
733.492,6208.59
733.972,6231.07
734.453,6254.35
734.933,6267.81
735.413,6269.5
735.893,6271.48
736.374,6270.27
736.854,6263.24
737.333,6252.41
737.813,6241.65
738.295,6231.67
738.774,6260.23
739.254,6299.46
739.733,6311.35
740.214,6319.59
740.694,6248.54
741.173,6206.54
741.653,6244.74
742.132,6286.84
742.613,6298.13
743.093,6267.56
743.572,6254.99
744.051,6250.4
744.53,6262.95
745.011,6284.71
745.491,6303.54
745.97,6319.78
746.449,6336.23
746.928,6348.69
747.407,6357.42
747.886,6365.32
748.367,6372.32
748.846,6378.59
749.325,6385.37
749.804,6395.31
750.283,6376.28
750.762,6349.32
751.241,6340.79
751.719,6357.82
752.198,6347.73
752.679,6339.71
753.158,6298.1
753.636,6271.54
754.115,6257.64
754.594,6255.68
755.073,6271.01
755.551,6287.93
756.03,6291.68
756.508,6292.14
756.987,6283.33
757.465,6270.22
757.944,6254.41
758.422,6239.09
758.901,6233.1
759.379,6227.05
759.858,6222.24
760.336,6219.22
760.814,6218.09
761.293,6220.19
761.771,6225.94
762.249,6236.7
762.727,6249.52
763.206,6269.07
763.684,6283.57
764.162,6280.23
764.64,6262.09
765.118,6195.01
765.594,6188.19
766.073,6181.28
766.551,6174.24
767.029,6173.73
767.507,6182.06
767.985,6198.36
768.463,6221.83
768.94,6258.82
769.418,6285.61
769.896,6284.9
770.372,6262.33
770.85,6238.6
771.328,6229.8
771.805,6230.25
772.283,6282.63
772.761,6304.79
773.239,6309.4
773.714,6293.29
774.192,6266.48
774.669,6249.18
775.147,6235.83
775.625,6228.17
776.1,6224.68
776.578,6226.74
777.055,6232.97
777.533,6241.8
778.01,6250.74
778.486,6251.45
778.963,6263.08
779.44,6280.8
779.918,6302.15
780.393,6321.4
780.87,6334.39
781.347,6339.8
781.825,6319.69
782.3,6313.57
782.777,6306.75
783.254,6298.1
783.729,6288.96
784.207,6280.18
784.684,6270.8
785.161,6261.5
785.636,6252.45
786.113,6247.61
786.59,6254.7
787.065,6271.56
787.542,6286.54
788.019,6290.81
788.493,6292.5
788.97,6292.41
789.447,6292.01
789.922,6287.18
790.399,6286.34
790.874,6303.44
791.35,6319.95
791.827,6327.89
792.302,6332.77
792.778,6335.06
793.255,6335.52
793.73,6334.76
794.206,6331.68
794.681,6326.93
795.157,6320.25
795.632,6312.09
796.108,6300.83
796.585,6288.13
797.059,6274.98
797.536,6276.32
798.01,6312.76
798.486,6345.03
798.961,6368.87
799.437,6379.35
799.911,6379.37
800.388,6377
800.862,6371.26
801.338,6363.22
801.812,6353.67
802.288,6348.49
802.763,6346.01
803.239,6345.64
803.713,6349.84
804.189,6356.43
804.663,6366.74
805.139,6380.05
805.613,6395.91
806.089,6413.85
806.563,6424.42
807.037,6429.76
807.512,6416.26
807.986,6382.26
808.462,6372.42
808.936,6376.41
809.412,6374.75
809.886,6374.25
810.359,6374.99
810.835,6376.41
811.309,6378.03
811.782,6380.41
812.258,6383.36
812.732,6384.85
813.207,6384.66
813.681,6382.96
814.154,6381.02
814.63,6378.83
815.103,6378.29
815.577,6375.81
816.052,6373.85
816.526,6371.82
816.999,6374.58
817.474,6395.14
817.948,6389.99
818.421,6383.17
818.894,6376.36
819.37,6386.43
819.843,6400.15
820.316,6411.69
820.791,6419.42
821.264,6423.27
821.738,6423.84
822.211,6422.06
822.686,6419.43
823.159,6415.61
823.632,6416.77
824.105,6424.3
824.578,6439.63
825.053,6449.4
825.526,6447.1
825.999,6441.24
826.472,6439.54
826.945,6441.89
827.419,6447.01
827.892,6453.93
828.365,6460.38
828.838,6466.23
829.31,6471.65
829.785,6477.72
830.258,6478.08
830.731,6473.5
831.203,6469.3
831.676,6468.5
832.148,6474.99
832.621,6480.52
833.094,6482.04
833.568,6483.93
834.041,6488.13
834.513,6493.44
834.986,6499.71
835.458,6506.65
835.93,6513.87
836.403,6520.59
836.875,6526.59
837.347,6522.18
837.82,6524.17
838.292,6538.43
838.764,6553.14
839.238,6569.53
839.711,6587.49
840.183,6606.94
840.655,6626.62
841.127,6645.49
841.599,6662.27
842.071,6676.94
842.543,6688.76
843.015,6697.46
843.487,6701.19
843.959,6701.21
844.431,6698.03
844.903,6707.47
845.375,6738.16
845.847,6788.94
846.319,6858.35
846.789,6943.71
847.261,7035.97
847.732,7123.4
848.204,7207.1
848.676,7289.61
849.148,7361.05
849.619,7417.65
850.091,7459.49
850.563,7488.16
851.034,7490.17
851.506,7474.66
851.977,7420.08
852.447,7351.35
852.918,7281.1
853.39,7207.16
853.861,7128.43
854.333,7044.42
854.804,6971.92
855.276,6929.47
855.745,6884.25
856.216,6848.35
856.688,6818.72
857.159,6795.47
857.63,6744.08
858.101,6708.31
858.571,6684.05
859.042,6668.46
859.513,6658.63
859.984,6647.24
860.455,6636.6
860.924,6626.1
861.395,6616.43
861.866,6607.14
862.337,6598.57
862.807,6590.39
863.277,6582.9
863.748,6575.7
864.219,6568.44
864.688,6561.1
865.159,6554.58
865.63,6549.42
866.101,6546.7
866.57,6545.99
867.04,6543.42
867.511,6534.73
867.98,6531.15
868.451,6532.04
868.921,6537.54
869.39,6549.96
869.861,6577.65
870.331,6588.91
870.8,6598.16
871.27,6602.59
871.741,6604.49
