Wave,FoAlb
349.409,3777.85
350.25,3776.91
351.091,3777.67
351.931,3780.16
352.772,3783.11
353.613,3782.02
354.453,3770.12
355.294,3761.1
356.134,3753.25
356.974,3746.48
357.812,3740.24
358.653,3734.47
359.493,3728.79
360.333,3723.62
361.173,3719.96
362.012,3723.12
362.852,3720
363.69,3718
364.529,3715
365.369,3712
366.208,3710
367.048,3708
367.885,3706
368.724,3706.23
369.563,3706.27
370.402,3705.84
371.241,3707.32
372.078,3710.61
372.917,3715.14
373.756,3715.8
374.594,3710.41
375.431,3702.62
376.269,3692.9
377.108,3680.78
377.944,3666.75
378.783,3661.87
379.621,3667.59
380.459,3681
381.295,3697.46
382.133,3698.56
382.971,3693.61
383.807,3685.67
384.644,3671.5
385.482,3662.87
386.318,3651.8
387.155,3648.39
387.993,3661.5
388.828,3679.84
389.665,3696.05
390.502,3710.96
391.338,3725.33
392.175,3737.63
393.012,3745.01
393.846,3751.15
394.683,3757.52
395.518,3763.8
396.355,3770.11
397.191,3780.04
398.026,3789.04
398.862,3798.45
399.697,3808.49
400.533,3818.84
401.367,3822.31
402.203,3825.71
403.039,3829.98
403.873,3835.63
404.709,3843.45
405.543,3853.69
406.379,3855.54
407.213,3883.73
408.048,3910.98
408.882,3956.33
409.717,3984.14
410.551,4000.2
411.386,4006.55
412.219,4000.76
413.054,4024.65
413.887,4036.72
414.722,4038.62
415.555,4028.34
416.39,4004.77
417.223,3988.16
418.056,3969.44
418.89,3951.31
419.723,3934.71
420.557,3919.32
421.39,3905.04
422.224,3892.14
423.056,3880.05
423.888,3870.1
424.722,3864.57
425.554,3863.02
426.386,3864.21
427.22,3875.16
428.052,3894.34
428.886,3907.33
429.717,3914.56
430.549,3915.71
431.382,3910.03
432.214,3891.25
433.045,3882.87
433.878,3876.05
434.71,3870.37
435.541,3866.16
436.374,3863.33
437.205,3861.96
438.035,3861.91
438.866,3863.48
439.699,3866.3
440.53,3866.65
441.36,3863.76
442.193,3865.7
443.023,3871.14
443.853,3880.58
444.684,3882.1
445.516,3884.42
446.346,3886.38
447.176,3888.08
448.006,3889.24
448.836,3890.28
449.668,3891.1
450.497,3898.18
451.327,3914.56
452.157,3931.53
452.986,3946.64
453.818,3961.63
454.647,3975.92
455.476,3987.48
456.306,3998.81
457.135,4009.35
457.966,4019.23
458.795,4029.1
459.624,4039.22
460.453,4027.44
461.281,4013.23
462.11,4029.23
462.939,4044.88
463.767,4073.06
464.598,4098.04
465.426,4119.48
466.254,4137.47
467.083,4157.16
467.911,4172.73
468.739,4195.98
469.567,4218.5
470.395,4258.57
471.223,4303.11
472.05,4370.43
472.878,4446.06
473.706,4527.92
474.533,4613.04
475.361,4703.5
476.188,4798.33
477.015,4896.84
477.843,4997.81
478.67,5103.86
479.497,5213.57
480.324,5328.04
481.151,5444.67
481.978,5535.47
482.805,5593.99
483.631,5592.66
484.458,5543.06
485.285,5443.45
486.111,5342.91
486.938,5226.93
487.764,5113.43
488.59,5011.33
489.416,4916.43
490.243,4838.82
491.069,4775
491.895,4724.77
492.719,4689.06
493.544,4667.42
494.37,4660.36
495.196,4668.19
496.021,4692.02
496.847,4738.65
497.672,4797.62
498.498,4875.11
499.321,4907.22
500.146,4987.57
500.972,5091.67
501.797,5213.06
502.622,5354.92
503.447,5534.96
504.269,5740.81
505.094,5981.61
505.919,6247.13
506.744,6543.18
507.566,6855.44
508.391,7186.7
509.215,7495.09
510.039,7694.64
510.864,7822.62
511.686,7758.66
512.51,7605.95
513.334,7466.14
514.158,7264.38
514.98,7017.15
515.804,6738.02
516.627,6445.22
517.449,6174.35
518.273,5915.55
519.096,5677.68
519.92,5467.44
520.741,5276.53
521.564,5105.78
522.388,4954.98
523.209,4824.81
524.032,4714.34
524.855,4622.98
525.676,4548.7
526.499,4493.07
527.321,4450.46
528.142,4410.38
528.965,4376.21
529.785,4333.75
530.608,4293.61
531.43,4246.96
532.251,4202.39
533.073,4159.82
533.893,4118.86
534.715,4088.34
535.537,4071.31
536.357,4057.47
537.179,4055
537.999,4053
538.821,4050
539.64,4045
540.462,4040
541.281,4035
542.103,4030
542.924,4025
543.743,4020
544.565,4018
545.384,4016.5
546.205,4015
547.024,4018
547.845,4020
548.664,4023
549.482,4025.72
550.303,4018.14
551.122,4014.99
551.942,4016.4
552.761,4014.1
553.581,4015.49
554.4,4018.42
555.22,4022.84
556.038,4028.73
556.856,4035.57
557.676,4043.32
558.494,4051.14
559.314,4058.94
560.132,4062.98
560.95,4066.12
561.769,4071.03
562.587,4078
563.406,4087.55
564.224,4099.92
565.041,4116.28
565.861,4134.12
566.678,4152.61
567.495,4170.89
568.314,4178.98
569.131,4190.13
569.948,4207.72
570.767,4228.18
571.584,4249.23
572.4,4264.89
573.217,4276.2
574.036,4284.64
574.852,4290.42
575.669,4292.56
576.487,4290.46
577.303,4283.33
578.119,4267.97
578.936,4251.57
579.754,4245.41
580.57,4241.36
581.385,4242
582.201,4244.05
583.017,4245.78
583.835,4244.25
584.65,4235.61
585.466,4223.94
586.281,4209.39
587.097,4192.86
587.914,4172.58
588.729,4158.4
589.545,4170.7
590.36,4185.03
591.175,4200.4
591.99,4220.32
592.807,4204.98
593.621,4184.44
594.436,4148.09
595.251,4128.29
596.065,4119.42
596.88,4123.43
597.694,4134.93
598.509,4127.34
599.323,4138.66
600.139,4068.83
600.953,4122.74
601.768,4148.84
602.582,4171.79
603.395,4189.2
604.209,4202.63
605.023,4212.04
605.837,4214.16
606.65,4212.9
607.464,4209.14
608.278,4204.08
609.091,4196.89
609.904,4192.51
610.718,4186.23
611.531,4178.54
612.344,4166.69
613.157,4156.21
613.97,4146.32
614.783,4151.53
615.596,4160.11
616.409,4169.92
617.221,4179.12
618.034,4184.85
618.846,4190.24
619.659,4193.78
620.471,4195.61
621.284,4191.64
622.096,4185.85
622.906,4193.42
623.718,4204.63
624.53,4210.27
625.342,4213.33
626.154,4211.12
626.966,4208.14
627.778,4202.53
628.589,4199.25
629.399,4188.33
630.211,4174.43
631.022,4157.54
631.833,4151.8
632.645,4154.31
633.456,4164.12
634.265,4182.13
635.076,4195.63
635.887,4206.34
636.698,4211.93
637.509,4209.12
638.318,4196.35
639.129,4178.7
639.939,4158.79
640.75,4144.74
641.56,4132.14
642.369,4135.75
643.179,4132.85
643.99,4131.42
644.8,4127.26
645.608,4118.48
646.418,4123.63
647.228,4131.27
648.036,4138.05
648.846,4143
649.656,4145.33
650.465,4144.44
651.273,4140.84
652.083,4134.92
652.892,4128.17
653.7,4122.37
654.509,4120.75
655.318,4121.06
656.125,4121.18
656.935,4119.91
657.744,4117.02
658.551,4113.39
659.36,4110.51
660.166,4106.83
660.975,4103.18
661.784,4100.43
662.591,4099.01
663.399,4099.25
664.206,4100.65
665.014,4102.96
665.822,4108.05
666.629,4114.29
667.437,4120.86
668.243,4127.07
669.051,4131.51
669.857,4132.17
670.665,4130.06
671.471,4127.58
672.279,4124.85
673.084,4126.69
673.892,4130.76
674.698,4121.25
675.505,4109.51
676.31,4101.37
677.118,4097.13
677.923,4095.97
678.73,4095.69
679.535,4101.87
680.343,4108.83
681.148,4116.97
681.954,4125.57
682.759,4127.72
683.566,4128.15
684.371,4126.43
685.175,4124.55
685.982,4120.65
686.786,4119
687.593,4120.28
688.397,4122.03
689.201,4122.91
690.008,4123.2
690.812,4120.37
691.618,4110.37
692.422,4102.32
693.226,4097.78
694.032,4112.13
694.835,4135.9
695.639,4153.28
696.445,4166.07
697.248,4171.29
698.052,4172.19
698.857,4167.94
699.661,4159.95
700.464,4145.46
701.267,4130.59
702.072,4131.67
702.875,4142.55
703.678,4155.81
704.483,4166.8
705.286,4176.41
706.089,4185.17
706.891,4194.43
707.696,4203.06
708.499,4210.82
709.301,4208.56
710.104,4183.25
710.906,4169.83
711.71,4169.52
712.512,4185.04
713.314,4191.84
714.117,4197.36
714.919,4201.7
715.722,4205.77
716.524,4209.12
717.326,4212.22
718.128,4215.32
718.929,4218.13
719.731,4220.83
720.532,4223.2
721.336,4225.84
722.137,4228.59
722.938,4231.71
723.74,4235.55
724.541,4241.13
725.342,4247.94
726.143,4254.93
726.944,4259.1
727.745,4260.12
728.545,4259.2
729.348,4256.48
730.149,4251.13
730.949,4244.01
731.75,4239.7
732.55,4240.73
733.351,4245.56
734.151,4248.85
734.951,4252.61
735.751,4256.01
736.551,4259.6
737.351,4262.28
738.151,4264.9
738.951,4266.72
739.751,4268.5
740.551,4269.35
741.35,4268.6
742.15,4264.51
742.949,4259.06
743.749,4256.44
744.548,4256.58
745.346,4262.77
746.145,4269.92
746.944,4280.36
747.743,4292.37
748.542,4303.85
749.341,4310.56
750.14,4294.97
750.939,4296.01
751.737,4299.39
752.536,4307.05
753.333,4316.56
754.131,4318.83
754.93,4314.84
755.728,4307.33
756.526,4304.2
757.324,4304.63
758.123,4308.66
758.919,4316.12
759.717,4327.83
760.515,4342.89
761.313,4360.11
762.11,4374.75
762.906,4381.52
763.704,4386.89
764.501,4393.64
765.299,4398.83
766.094,4402.49
766.892,4404.86
767.689,4404.8
768.486,4402.71
769.281,4397.02
770.079,4388.46
770.876,4375.37
771.673,4363.73
772.468,4395.37
773.264,4406.91
774.061,4436.4
774.856,4370.73
775.652,4363.01
776.449,4365.59
777.245,4368.58
778.04,4372.4
778.836,4377.34
779.632,4383.57
780.427,4391.66
781.223,4401.4
782.017,4413.52
782.813,4424.93
783.609,4428.51
784.403,4428.34
785.198,4422.98
785.994,4414.1
786.788,4408.2
787.583,4404.64
788.377,4405.9
789.172,4409.24
789.966,4416.01
790.761,4428.86
791.556,4444.14
792.349,4460.51
793.144,4476.25
793.937,4491
794.732,4503.12
795.525,4515.48
796.32,4526.3
797.113,4535.65
797.907,4542.64
798.7,4546.98
799.494,4544.5
800.287,4536.64
801.081,4525.7
801.873,4514.24
802.668,4503.94
803.46,4500.71
804.254,4507.99
805.046,4518
805.838,4529.36
806.632,4545.81
807.424,4553.47
808.217,4561.52
809.009,4564.62
809.801,4571.13
810.594,4581.03
811.386,4595.89
812.179,4624.89
812.97,4658.29
813.762,4696.21
814.555,4732.13
815.346,4763.57
816.137,4787.54
816.93,4819.74
817.721,4872.27
818.514,4947.82
819.305,5046.22
820.095,5171.39
820.886,5302.56
821.678,5441.68
822.469,5587
823.259,5739.32
824.052,5895.5
824.842,6027.49
825.632,6130.4
826.422,6141.33
827.214,6065.19
828.004,5875.97
828.794,5679.8
829.584,5500.4
830.376,5353.72
831.166,5220.26
831.956,5105.79
832.745,5012.26
833.537,4937.24
834.326,4882.82
835.115,4847.18
835.905,4829.09
836.694,4825.81
837.483,4802.29
838.274,4778.29
839.063,4752.66
839.852,4732.42
840.641,4707.17
841.43,4695.46
842.219,4689.94
843.008,4706.58
843.798,4735.25
844.587,4723.25
845.375,4710.43
846.164,4713.74
846.952,4733.24
847.74,4766.16
848.528,4811.69
849.317,4871.17
850.105,4943.9
850.893,5031.03
851.681,5131.5
852.469,5245.19
853.256,5368.97
854.046,5503.6
854.834,5647.15
855.621,5798.35
856.409,5932.03
857.196,6035.42
857.984,6088.93
858.771,6100.29
859.558,6059.79
860.345,5987.83
861.132,5861.4
861.917,5699.81
862.704,5506.94
863.491,5306.1
864.278,5158.43
865.065,5056.15
865.852,4988.88
866.638,4916.42
867.425,4854.95
868.211,4799.58
868.998,4752.38
869.784,4704.98
870.57,4663.52
871.357,4628.86
872.141,4604.17
872.927,4592.62
873.713,4584.47
874.499,4562.63
875.285,4536.03
876.07,4518.19
876.856,4503.58
877.64,4490.1
878.425,4488.35
879.211,4494.88
879.996,4512.43
880.782,4534.75
881.565,4561.19
882.35,4590.8
883.136,4613.8
883.921,4628.66
884.706,4589.67
885.489,4563.97
886.274,4567.13
887.058,4557.99
887.843,4541.5
888.626,4521.8
889.411,4502.58
890.195,4484.64
890.978,4469.35
891.762,4455.12
892.546,4442.32
893.331,4428.64
894.113,4416.06
894.897,4402.2
895.681,4385.15
896.463,4369.96
897.247,4358.6
898.031,4352.24
898.813,4350.96
899.597,4355.44
900.38,4358.4
901.162,4361.78
901.945,4364.7
902.727,4367.19
903.51,4368.36
904.294,4373.04
905.075,4379.63
905.858,4386.3
906.639,4393.31
907.422,4401.28
908.205,4408.35
908.986,4417.84
909.769,4421.92
910.55,4426.06
911.333,4427.27
912.113,4423.53
912.896,4419.29
913.677,4422.14
914.459,4428.99
915.239,4442.31
916.022,4465.63
916.802,4500.12
917.584,4530.4
918.364,4566.22
919.146,4595.32
919.926,4615.18
920.708,4632.84
921.488,4649.16
922.27,4644.94
923.05,4630.6
923.829,4609.6
924.611,4584.77
925.39,4558.08
926.172,4529.23
926.951,4503.31
927.732,4486.8
928.512,4481.54
929.291,4482.07
930.072,4479.67
930.851,4474.68
931.63,4468.52
932.411,4449.27
933.19,4436.03
933.968,4431.83
934.749,4442.62
935.528,4450.52
936.306,4454.37
937.087,4456.3
937.865,4455.86
938.106,4454.82
938.893,4450.92
939.677,4444.43
940.461,4432.92
941.247,4422.5
942.031,4415.21
942.814,4428.54
943.6,4444.62
944.384,4463.18
945.167,4468.86
945.953,4472.49
946.737,4476.46
947.52,4472.82
948.303,4473.96
949.089,4475.91
949.872,4485.58
950.655,4498.33
951.438,4503.1
952.223,4505.64
953.006,4503.36
953.789,4502.62
954.572,4506.23
955.356,4515.05
956.139,4534.84
956.922,4557.88
957.704,4584.57
958.487,4611.21
959.271,4631.96
960.053,4649.66
960.836,4663.14
961.618,4674.78
962.4,4682.6
963.182,4688.73
963.966,4693.21
964.748,4696.24
965.53,4703.09
966.311,4698.65
967.093,4692.71
967.875,4683.83
968.656,4673.52
969.44,4663.04
970.221,4652.83
971.003,4643.75
971.784,4634.37
972.565,4625.49
973.346,4617.24
974.127,4609.71
974.908,4603
975.689,4597.55
976.47,4593.6
977.251,4590.73
978.032,4590.53
978.814,4591.03
979.595,4590.18
980.376,4583.22
981.156,4575.33
981.936,4567.61
982.717,4561.44
983.497,4557.2
984.277,4553.08
985.057,4551.4
985.837,4552.23
986.617,4553.23
987.397,4553.44
988.177,4545.3
988.957,4541.03
989.737,4534.63
990.515,4536.33
991.294,4545.98
992.074,4553.69
992.853,4559.63
993.633,4562.83
994.412,4560.89
995.191,4556.53
995.97,4549.11
996.749,4538.61
997.528,4524.82
998.307,4507.65
999.086,4493.64
999.863,4485.97
1000.64,4498.77
1001.42,4516.33
1002.2,4526.64
1002.98,4545.24
1003.76,4553.5
1004.53,4554.27
1005.31,4543.91
1006.09,4526.33
1006.87,4524.08
1007.65,4529.45
1008.42,4542.24
1009.2,4546.33
1009.98,4550.06
1010.76,4554.89
1011.53,4553.95
1012.31,4556.38
1013.09,4561.4
1013.86,4565.03
1014.64,4567.05
1015.42,4567.42
1016.2,4565.76
1016.97,4561.88
1017.75,4556.31
1018.53,4549.53
1019.3,4542.31
1020.08,4533.85
1020.86,4523.04
1021.63,4513.46
1022.41,4520.39
1023.19,4532.17
1023.96,4538.9
1024.74,4546.91
1025.51,4554.61
1026.29,4560.34
1027.07,4564.82
1027.84,4567.22
1028.62,4568.08
1029.39,4567.9
1030.17,4565.5
1030.94,4577.25
1031.72,4585.05
1032.49,4583.48
1033.27,4571.62
1034.05,4550.03
1034.82,4534.52
1035.6,4526.58
1036.37,4531.9
1037.14,4537.71
1037.92,4543.69
1038.69,4549.99
1039.47,4556.92
1040.24,4564.13
1041.02,4571.86
1041.79,4579.39
1042.57,4582.3
1043.34,4579.03
1044.11,4555.02
1044.89,4532.64
1045.66,4524.25
1046.44,4531.36
1047.21,4537.16
1047.98,4553.11
1048.76,4554.44
1049.53,4549.32
1050.3,4542.92
1051.08,4532.46
1051.85,4509.27
1052.62,4503.21
1053.4,4512.55
1054.17,4537.43
1054.94,4546.95
1055.72,4542.87
1056.49,4537.07
1057.26,4528.33
1058.03,4520.64
1058.81,4515.97
1059.58,4513.3
1060.35,4512.24
1061.13,4512.96
1061.9,4516.17
1062.67,4521.98
1063.44,4530.33
1064.21,4540.87
1064.99,4553.11
1065.76,4565.96
1066.53,4560.39
1067.3,4547.72
1068.07,4529.94
1068.84,4511.22
1069.62,4509.14
1070.39,4514.45
1071.16,4519.6
1071.93,4530.1
1072.7,4543.94
1073.47,4568.03
1074.24,4544.88
1075.01,4531.43
1075.78,4527.99
1076.56,4529.91
1077.33,4530.2
1078.1,4533.38
1078.87,4539.12
1079.64,4547
1080.41,4556.68
1081.18,4568.03
1081.95,4580.8
1082.72,4594.3
1083.49,4607.58
1084.26,4622.19
1085.03,4621.43
1085.8,4606.61
1086.57,4597.2
1087.34,4588.64
1088.11,4580.8
1088.88,4575.7
1089.65,4579.07
1090.42,4594.49
1091.19,4607.48
1091.95,4609.05
1092.72,4604.92
1093.49,4612.91
1094.26,4630.59
1095.03,4648.81
1095.8,4666.79
1096.57,4671.37
1097.34,4684.91
1098.1,4693.41
1098.87,4690.17
1099.64,4664.62
1100.41,4622.09
1101.18,4606.45
1101.95,4625.01
1102.72,4620.79
1103.48,4614.16
1104.25,4606.96
1105.02,4603.7
1105.79,4605.16
1106.55,4609.11
1107.32,4615.03
1108.09,4624.39
1108.86,4636.57
1109.62,4651.26
1110.39,4667.81
1111.16,4681.35
1111.93,4691.14
1112.69,4685.48
1113.46,4674.55
1114.23,4657.49
1115,4634.97
1115.76,4606.64
1116.53,4592.38
1117.29,4576.61
1118.06,4575.26
1118.83,4577.88
1119.59,4588.3
1120.36,4603.93
1121.13,4619.26
1121.89,4630.84
1122.66,4625.61
1123.42,4618.8
1124.19,4613.21
1124.96,4609.03
1125.72,4604.67
1126.49,4599.03
1127.25,4593.01
1128.02,4586.42
1128.78,4576.44
1129.55,4566.23
1130.32,4549.98
1131.08,4540.06
1131.85,4537.14
1132.61,4536.36
1133.37,4539.69
1134.14,4544.19
1134.91,4549.32
1135.67,4554.63
1136.44,4556.01
1137.2,4558.99
1137.96,4560.51
1138.73,4558.2
1139.49,4552.16
1140.26,4542.65
1141.02,4531.92
1141.78,4523.76
1142.55,4513.78
1143.31,4509.02
1144.08,4517.06
1144.84,4529.07
1145.6,4532.41
1146.37,4540.4
1147.13,4539.4
1147.9,4533.43
1148.66,4523.39
1149.42,4497.23
1150.19,4474.42
1150.95,4468.94
1151.71,4468.05
1152.47,4473.66
1153.24,4483.78
1154,4497.55
1154.76,4512.3
1155.53,4522.7
1156.29,4527.59
1157.05,4513.25
1157.81,4503.27
1158.58,4492.8
1159.34,4487.86
1160.1,4482.22
1160.86,4483.46
1161.63,4485.72
1162.39,4479.91
1163.15,4476.1
1163.91,4460.92
1164.67,4446.56
1165.43,4434.33
1166.2,4421.02
1166.96,4417.66
1167.72,4426.55
1168.48,4444.38
1169.24,4481
1170,4506.2
1170.76,4515.05
1171.53,4479.04
1172.29,4486.41
1173.05,4489.58
1173.81,4492.12
1174.57,4493.34
1175.33,4492.82
1176.09,4489.98
1176.85,4484.95
1177.61,4478.22
1178.37,4470.2
1179.13,4461.11
1179.89,4457.26
1180.65,4450.6
1181.41,4469.17
1182.17,4481.42
1182.93,4478.89
1183.69,4467.03
1184.45,4449.47
1185.21,4447.69
1185.97,4445.88
1186.73,4443.79
1187.49,4443.36
1188.25,4444.86
1189.01,4448.4
1189.77,4452.12
1190.53,4464.36
1191.29,4479.46
1192.05,4496.2
1192.81,4501.59
1193.56,4498.62
1194.32,4493.91
1195.08,4489.23
1195.84,4482.86
1196.6,4476.24
1197.36,4468.69
1198.12,4459.51
1198.87,4449.78
1199.63,4438.96
1200.39,4427.41
1201.15,4415.53
1201.91,4403.96
1202.66,4419.66
1203.42,4423.77
1204.18,4482.89
1204.94,4491.19
