Wave,Calcite
212.884,1439.14
213.739,1440.95
214.595,1443.79
215.45,1449.21
216.305,1453.43
217.159,1456.68
218.014,1457.97
218.869,1454.94
219.724,1451.25
220.578,1443.5
221.431,1444.82
222.286,1448.42
223.141,1455.54
223.995,1461.74
224.85,1466.56
225.702,1464.82
226.556,1458.92
227.41,1453.12
228.265,1445.14
229.117,1437.21
229.971,1449.24
230.825,1452.7
231.678,1455.26
232.53,1456.9
233.384,1458.86
234.237,1455.62
235.089,1454.67
235.942,1456.21
236.796,1460.22
237.649,1466.86
238.5,1471.65
239.353,1471.08
240.206,1470.62
241.057,1471.92
241.91,1473.09
242.763,1474.18
243.614,1475.41
244.466,1476.66
245.319,1484.85
246.169,1493.87
247.022,1495.19
247.872,1493.06
248.724,1489.97
249.576,1489.31
250.426,1488.87
251.278,1488.67
252.13,1488.95
252.98,1489.98
253.832,1491.77
254.682,1494.4
255.533,1497.76
256.383,1502.17
257.234,1507.12
258.086,1512.74
258.935,1518.61
259.786,1523.32
260.635,1522.56
261.486,1523.3
262.335,1525.46
263.186,1528.88
264.035,1533.3
264.886,1538.84
265.735,1546.59
266.585,1554.74
267.434,1560.48
268.284,1565.25
269.132,1568.35
269.983,1576.69
270.831,1587.91
271.681,1613.13
272.529,1634.21
273.379,1658.9
274.227,1686.49
275.075,1716.66
275.925,1749.42
276.772,1794.46
277.622,1844.6
278.469,1898.33
279.319,1950.84
280.166,1995
281.013,2015.62
281.863,1998.65
282.71,1976.09
283.559,1935.75
284.406,1881.46
285.252,1824.63
286.101,1765.25
286.948,1713.38
287.795,1677.77
288.643,1647.6
289.49,1628.55
290.336,1613.29
291.184,1599.19
292.031,1588.11
292.877,1583.17
293.725,1576.29
294.571,1565.6
295.417,1558.31
296.265,1557.51
297.11,1556.29
297.956,1559.77
298.802,1562.56
299.649,1565.59
300.495,1568.08
301.34,1568.7
302.185,1565.55
303.033,1557.83
303.878,1553.45
304.723,1550.98
305.568,1549.16
306.415,1548.84
307.26,1549.63
308.104,1550.7
308.949,1548.41
309.796,1545.81
310.64,1543.24
311.485,1542.03
312.329,1542.05
313.173,1542.12
314.018,1542.59
314.864,1543.4
315.708,1544.83
316.552,1546.66
317.396,1548.91
318.24,1551.57
319.083,1554.8
319.927,1558.39
320.773,1559.81
321.616,1558.41
322.46,1550.15
323.303,1540.1
324.146,1531.42
324.989,1526.55
325.833,1527.62
326.676,1533.64
327.519,1540.82
328.362,1548.28
329.206,1553.22
330.049,1556.96
330.892,1561.01
331.734,1560.69
332.577,1557.79
333.419,1554.06
334.262,1549.6
335.104,1544.28
335.946,1540.82
336.788,1543.27
337.63,1543.68
338.472,1549.3
339.314,1559.29
340.156,1566.84
340.998,1572.7
341.84,1577.21
342.681,1580.94
343.523,1578.04
344.364,1576.49
345.205,1575.47
346.047,1575.1
346.888,1580.36
347.729,1587.03
348.57,1585.89
349.409,1581.52
350.25,1577.91
351.091,1567.69
351.931,1558.76
352.772,1561.69
353.613,1569.49
354.453,1574.31
355.294,1578.09
356.134,1578.71
356.974,1579.17
357.812,1578.71
358.653,1577.41
359.493,1574.28
360.333,1571.56
361.173,1569.58
362.012,1567.9
362.852,1566.72
363.69,1565.98
364.529,1566.3
365.369,1566.75
366.208,1568.01
367.048,1569.66
367.885,1572.09
368.724,1575.84
369.563,1581.94
370.402,1589.53
371.241,1595.5
372.078,1601.06
372.917,1600.9
373.756,1595.15
374.594,1583.14
375.431,1574.56
376.269,1565.69
377.108,1563.63
377.944,1569.51
378.783,1576.57
379.621,1586.93
380.459,1596.15
381.295,1598.02
382.133,1597.3
382.971,1592.83
383.807,1588.96
384.644,1586.64
385.482,1584.43
386.318,1583.24
387.155,1582.69
387.993,1582.73
388.828,1583.55
389.665,1585.06
390.502,1587.34
391.338,1590.38
392.175,1594.4
393.012,1605.38
393.846,1615.01
394.683,1619.45
395.518,1618.86
396.355,1616.97
397.191,1614.3
398.026,1611.04
398.862,1607.45
399.697,1605.79
400.533,1603.92
401.367,1603.05
402.203,1603.23
403.039,1605.45
403.873,1615
404.709,1616.03
405.543,1613.09
406.379,1608.66
407.213,1604.33
408.048,1603.94
408.882,1607.26
409.717,1614.93
410.551,1622.49
411.386,1627.99
412.219,1633.04
413.054,1617.17
413.887,1619.24
414.722,1622.14
415.555,1629.84
416.39,1644.85
417.223,1651.08
418.056,1655.78
418.89,1655.86
419.723,1649.58
420.557,1640.3
421.39,1635.37
422.224,1637.94
423.056,1642.05
423.888,1650.36
424.722,1654.15
425.554,1651.52
426.386,1650.5
427.22,1647.99
428.052,1646.11
428.886,1645.73
429.717,1645.25
430.549,1645.37
431.382,1645.11
432.214,1644.18
433.045,1641.85
433.878,1635.18
434.71,1635.04
435.541,1636.95
436.374,1642.35
437.205,1646.99
438.035,1651.19
438.866,1654.2
439.699,1655.79
440.53,1656.01
441.36,1654.4
442.193,1651.14
443.023,1646.54
443.853,1640.36
444.684,1638.24
445.516,1636.8
446.346,1641.22
447.176,1648.35
448.006,1654.69
448.836,1658.99
449.668,1662.54
450.497,1665.56
451.327,1667.94
452.157,1669.6
452.986,1670.75
453.818,1671.29
454.647,1674.27
455.476,1677.01
456.306,1676.44
457.135,1673.38
457.966,1673.33
458.795,1676.05
459.624,1677.78
460.453,1680.69
461.281,1672.57
462.11,1664.1
462.939,1659.91
463.767,1658.82
464.598,1666.15
465.426,1672.85
466.254,1678.69
467.083,1683.49
467.911,1686.77
468.739,1689.3
469.567,1683.43
470.395,1683.65
471.223,1687.5
472.05,1693.13
472.878,1699.9
473.706,1699.47
474.533,1697.84
475.361,1695.17
476.188,1691.29
477.015,1686.14
477.843,1679.88
478.67,1682.33
479.497,1686.62
480.324,1682.33
481.151,1678.21
481.978,1673.65
482.805,1671.91
483.631,1673.08
484.458,1674.48
485.285,1678.39
486.111,1682.55
486.938,1687.36
487.764,1691.51
488.59,1694.79
489.416,1698.01
490.243,1701.04
491.069,1704.09
491.895,1706.6
492.719,1708.52
493.544,1709.92
494.37,1710.4
495.196,1710.85
496.021,1710.86
496.847,1710.54
497.672,1709.89
498.498,1709.2
499.321,1708.41
500.146,1707.65
500.972,1711.48
501.797,1740.18
502.622,1727.79
503.447,1714.06
504.269,1698.97
505.094,1694.44
505.919,1697.31
506.744,1701.07
507.566,1706.38
508.391,1710.53
509.215,1713.88
510.039,1717.11
510.864,1720.07
511.686,1722.77
512.51,1725.32
513.334,1727.63
514.158,1729.79
514.98,1730.15
515.804,1726.3
516.627,1721.63
517.449,1716.35
518.273,1713.64
519.096,1714.41
519.92,1716.44
520.741,1719.64
521.564,1724.31
522.388,1728.9
523.209,1731.05
524.032,1729.82
524.855,1728.27
525.676,1728.84
526.499,1729.1
527.321,1730.88
528.142,1734.94
528.965,1737.9
529.785,1739.23
530.608,1739.53
531.43,1738.96
532.251,1737.72
533.073,1735.72
533.893,1732.81
534.715,1730.61
535.537,1730.67
536.357,1731.78
537.179,1734.08
537.999,1736.37
538.821,1739.16
539.64,1741.86
540.462,1745.15
541.281,1748.35
542.103,1751.38
542.924,1753.4
543.743,1751.35
544.565,1747.09
545.384,1740.02
546.205,1730.03
547.024,1717.08
547.845,1683.94
548.664,1752.46
549.482,1755.83
550.303,1766.17
551.122,1769.6
551.942,1772.99
552.761,1776.64
553.581,1777.16
554.4,1772.75
555.22,1764.34
556.038,1750.99
556.856,1745.22
557.676,1744.66
558.494,1747.98
559.314,1752.84
560.132,1758.71
560.95,1765.43
561.769,1771.06
562.587,1768.83
563.406,1762.11
564.224,1761.24
565.041,1761.66
565.861,1766.11
566.678,1769.82
567.495,1772.76
568.314,1774.55
569.131,1775.98
569.948,1774.53
570.767,1764.54
571.584,1751.7
572.4,1744.02
573.217,1741.15
574.036,1743.83
574.852,1745.84
575.669,1752.59
576.487,1760.34
577.303,1771.72
578.119,1777.18
578.936,1775.75
579.754,1775.84
580.57,1774.01
581.385,1772.15
582.201,1771.55
583.017,1774.18
583.835,1781.16
584.65,1787.83
585.466,1792.41
586.281,1795.99
587.097,1796.41
587.914,1795.01
588.729,1792.07
589.545,1788.5
590.36,1782.41
591.175,1775.36
591.99,1770.34
592.807,1768.65
593.621,1776.24
594.436,1788.53
595.251,1797.75
596.065,1806.37
596.88,1812.75
597.694,1817.12
598.509,1818.21
599.323,1813.76
600.139,1805.98
600.953,1812.32
601.768,1820.7
602.582,1828.78
603.395,1820.16
604.209,1812
605.023,1807.09
605.837,1804.08
606.65,1818.77
607.464,1817.59
608.278,1816.56
609.091,1814.93
609.904,1816.63
610.718,1801.75
611.531,1783.03
612.344,1794.9
613.157,1807.93
613.97,1823.17
614.783,1825.99
615.596,1824.8
616.409,1825.32
617.221,1826.07
618.034,1827.12
618.846,1828.38
619.659,1829.8
620.471,1830.84
621.284,1835.05
622.096,1840.29
622.906,1845.09
623.718,1845.77
624.53,1839.56
625.342,1825.79
626.154,1824.43
626.966,1827.7
627.778,1832.09
628.589,1837.9
629.399,1842.91
630.211,1846.54
631.022,1849.28
631.833,1848.16
632.645,1845.32
633.456,1841.86
634.265,1838.01
635.076,1835.72
635.887,1832.99
636.698,1830.85
637.509,1829.38
638.318,1828.61
639.129,1828.84
639.939,1832.08
640.75,1839.35
641.56,1850.74
642.369,1859.21
643.179,1860.82
643.99,1857.1
644.8,1845.94
645.608,1841.85
646.418,1839.47
647.228,1841.34
648.036,1843.28
648.846,1845.53
649.656,1848.17
650.465,1847.85
651.273,1843.18
652.083,1828.74
652.892,1825.66
653.7,1823.54
654.509,1823.01
655.318,1825.46
656.125,1825.47
656.935,1824.04
657.744,1822.11
658.551,1817.36
659.36,1815.69
660.166,1820.6
660.975,1828.28
661.784,1836.16
662.591,1842.93
663.399,1848.13
664.206,1853.45
665.014,1858.38
665.822,1861.58
666.629,1864.17
667.437,1861.27
668.243,1851.24
669.051,1838.9
669.857,1875.97
670.665,1878.92
671.471,1877.53
672.279,1870.86
673.084,1849.11
673.892,1830.14
674.698,1856.3
675.505,1862.4
676.31,1865.7
677.118,1868.63
677.923,1869.91
678.73,1870.98
679.535,1867.42
680.343,1860.77
681.148,1859.03
681.954,1858.54
682.759,1868.31
683.566,1877.01
684.371,1877.27
685.175,1872.14
685.982,1867.03
686.786,1859.09
687.593,1848.44
688.397,1833.32
689.201,1827.44
690.008,1828.41
690.812,1831.66
691.618,1835.9
692.422,1840.27
693.226,1844.66
694.032,1849.09
694.835,1853.45
695.639,1857.78
696.445,1862
697.248,1866.24
698.052,1870.44
698.857,1874.05
699.661,1873.38
700.464,1867.6
701.267,1860.51
702.072,1854.22
702.875,1854.37
703.678,1855.6
704.483,1858.63
705.286,1865.33
706.089,1876.44
706.891,1891.61
707.696,1915.69
708.499,1945.1
709.301,1994.78
710.104,2036.07
710.906,2088.67
711.71,2111.29
712.512,2083.5
713.314,2034.86
714.117,1975.7
714.919,1941.04
715.722,1914.39
716.524,1897.59
717.326,1892.92
718.128,1891.02
718.929,1895.34
719.731,1900.96
720.532,1904.71
721.336,1905.7
722.137,1904.54
722.938,1901.54
723.74,1898.33
724.541,1896.23
725.342,1893.7
726.143,1891.46
726.944,1889.85
727.745,1889.18
728.545,1889.9
729.348,1891.16
730.149,1892.67
730.949,1893.45
731.75,1890.18
732.55,1887.24
733.351,1883.67
734.151,1879.21
734.951,1884.47
735.751,1895.51
736.551,1904.81
737.351,1911.72
738.151,1916.01
738.951,1917.65
739.751,1916.28
740.551,1912.72
741.35,1909.14
742.15,1909.57
742.949,1912.28
743.749,1913.12
744.548,1910.72
745.346,1905.85
746.145,1898.64
746.944,1888.81
747.743,1878.9
748.542,1871.31
749.341,1867.62
750.14,1865.99
750.939,1866.15
751.737,1868.21
752.536,1872.17
753.333,1878.02
754.131,1885.83
754.93,1895.4
755.728,1903.97
756.526,1907.59
757.324,1907.27
758.123,1903.95
758.919,1898.74
759.717,1892.37
760.515,1884.98
761.313,1877.9
762.11,1874.4
762.906,1873.99
763.704,1878.97
764.501,1884.78
765.299,1888.87
766.094,1890.79
766.892,1891.29
767.689,1888.31
768.486,1886.45
769.281,1886.38
770.079,1887.93
770.876,1892.13
771.673,1896.98
772.468,1900.14
773.264,1901.49
774.061,1896.51
774.856,1900.38
775.652,1901.76
776.449,1906.02
777.245,1907.41
778.04,1907.87
778.836,1906.72
779.632,1893.1
780.427,1892.31
781.223,1890.62
782.017,1903.75
782.813,1912.82
783.609,1911.38
784.403,1904
785.198,1906.63
785.994,1910.37
786.788,1913.36
787.583,1914.16
788.377,1913.02
789.172,1903.95
789.966,1898.42
790.761,1893.74
791.556,1889.5
792.349,1891.27
793.144,1894.9
793.937,1901.24
794.732,1909.7
795.525,1918.66
796.32,1927.03
797.113,1929.38
797.907,1930.14
798.7,1928.46
799.494,1924.22
800.287,1917.35
801.081,1911.32
801.873,1909.51
802.668,1933.15
803.46,1941.3
804.254,1950.13
805.046,1952.61
805.838,1943.69
806.632,1930.89
807.424,1919.36
808.217,1911.12
809.009,1906.7
809.801,1907.24
810.594,1912.46
811.386,1917.46
812.179,1921.61
812.97,1924.77
813.762,1926.44
814.555,1927.81
815.346,1929.12
816.137,1930.54
816.93,1932.43
817.721,1935.18
818.514,1938.13
819.305,1940.79
820.095,1942
820.886,1940.75
821.678,1936.36
822.469,1928.21
823.259,1916.93
824.052,1905.99
824.842,1901.72
825.632,1923.13
826.422,1948.96
827.214,1935.63
828.004,1928.76
828.794,1920
829.584,1908.87
830.376,1903.28
831.166,1902.46
831.956,1905.95
832.745,1913.97
833.537,1919.67
834.326,1924.02
835.115,1925.95
835.905,1926.4
836.694,1926.85
837.483,1928.02
838.274,1930.23
839.063,1932.58
839.852,1935.87
840.641,1939.22
841.43,1942.59
842.219,1946.01
843.008,1948.79
843.798,1950.82
844.587,1952.6
845.375,1953.89
846.164,1955.08
846.952,1955.26
847.74,1941.5
848.528,1934.69
849.317,1930.51
850.105,1928.79
850.893,1929.65
851.681,1932.92
852.469,1938.44
853.256,1946.06
854.046,1954.05
854.834,1956.73
855.621,1948.8
856.409,1942.81
857.196,1938.45
857.984,1935.39
858.771,1933.12
859.558,1926.05
860.345,1919.16
861.132,1909.65
861.917,1903.38
862.704,1914.36
863.491,1924.03
864.278,1932.38
865.065,1939.66
865.852,1946.61
866.638,1952.46
867.425,1952.88
868.211,1945.97
868.998,1942.76
869.784,1944.18
870.57,1947.61
871.357,1950.32
872.141,1952.57
872.927,1953.69
873.713,1954.52
874.499,1954.7
875.285,1954.62
876.07,1948.2
876.856,1934.31
877.64,1911.78
878.425,1946.2
879.211,1955.82
879.996,1953.86
880.782,1949.79
881.565,1948.33
882.35,1947.94
883.136,1948.36
883.921,1948.92
884.706,1950.59
885.489,1952.1
886.274,1953.59
887.058,1954.21
887.843,1953.19
888.626,1952.33
889.411,1951.31
890.195,1950.38
890.978,1949.29
891.762,1949.25
892.546,1950.66
893.331,1952.79
894.113,1953.56
894.897,1953.01
895.681,1950.89
896.463,1948.01
897.247,1945.74
898.031,1943.51
898.813,1944.39
899.597,1948.08
900.38,1958.22
901.162,1961.41
901.945,1962.86
902.727,1959.88
903.51,1957.35
904.294,1955.56
905.075,1955.64
905.858,1956.84
906.639,1958.24
907.422,1959.94
908.205,1960.92
908.986,1957.93
909.769,1952.87
910.55,1948.11
911.333,1946.04
912.113,1944.94
912.896,1951.48
913.677,1955.07
914.459,1957.12
915.239,1956.32
916.022,1955.94
916.802,1956.09
917.584,1956.54
918.364,1956.77
919.146,1957.39
919.926,1958.2
920.708,1959.67
921.488,1961.29
922.27,1962.91
923.05,1964.82
923.829,1966.76
924.611,1968.48
925.39,1969.45
926.172,1969.26
926.951,1969.37
927.732,1969.05
928.512,1968.87
929.291,1968.17
930.072,1971.05
930.851,1980.06
931.63,1989.53
932.411,1992.55
933.19,1980.65
933.968,1964.19
934.749,1939.76
935.528,1962.09
936.306,1975.1
937.087,1975.98
937.865,1976.99
938.106,1976.69
938.893,1976.08
939.677,1974.83
940.461,1972.26
941.247,1969.03
942.031,1965.08
942.814,1960.41
943.6,1955.24
944.384,1949.61
945.167,1944.29
945.953,1938.5
946.737,1937.97
947.52,1942.27
948.303,1943.56
949.089,1945.02
949.872,1943.89
950.655,1945.21
951.438,1947.56
952.223,1951.25
953.006,1957.29
953.789,1964.75
954.572,1976.92
955.356,1980.85
956.139,1979.68
956.922,1978.14
957.704,1974.95
958.487,1974.43
959.271,1974.97
960.053,1976.62
960.836,1977.65
961.618,1978.51
962.4,1978.73
963.182,1975.51
963.966,1970.33
964.748,1963.21
965.53,1957.77
966.311,1956.39
967.093,1959.07
967.875,1963.75
968.656,1967.64
969.44,1970.75
970.221,1970.96
971.003,1970.57
971.784,1969.55
972.565,1969.57
973.346,1970.11
974.127,1971.09
974.908,1974.95
975.689,1977.67
976.47,1978.39
977.251,1977.46
978.032,1975.1
978.814,1971.91
979.595,1970.19
980.376,1968.2
981.156,1965.91
981.936,1963.78
982.717,1961.71
983.497,1959.9
984.277,1958.5
985.057,1958.47
985.837,1961.23
986.617,1965.74
987.397,1971.14
988.177,1974.45
988.957,1976.82
989.737,1978.18
990.515,1979.71
991.294,1981.21
992.074,1983.02
992.853,1984.58
993.633,1986.06
994.412,1986.53
995.191,1986.13
995.97,1985.2
996.749,1983.54
997.528,1981.42
998.307,1979.1
999.086,1978.34
999.863,1978.12
1000.64,1979.55
1001.42,1979.66
1002.2,1978.91
1002.98,1975.24
1003.76,1972.13
1004.53,1970.06
1005.31,1970.81
1006.09,1974.33
1006.87,1979.55
1007.65,1982.9
1008.42,1984.84
1009.2,1985.28
1009.98,1985.21
1010.76,1985.03
1011.53,1984.47
1012.31,1983.42
1013.09,1982.08
1013.86,1980.03
1014.64,1977.75
1015.42,1975.05
1016.2,1973.3
1016.97,1973.57
1017.75,1974.48
1018.53,1972.33
1019.3,1970.35
1020.08,1969.84
1020.86,1970.06
1021.63,1970.6
1022.41,1971.88
1023.19,1973.62
1023.96,1976.18
1024.74,1979.25
1025.51,1982.49
1026.29,1985.23
1027.07,1985.46
1027.84,1984.35
1028.62,1981.09
1029.39,1976.62
1030.17,1970.49
1030.94,1964.1
1031.72,1959.54
1032.49,1957.85
1033.27,1959.71
1034.05,1960.71
1034.82,1961.96
1035.6,1963.52
1036.37,1965.07
1037.14,1965.1
1037.92,1965.28
1038.69,1963.77
1039.47,1961.86
1040.24,1959.87
1041.02,1957.5
1041.79,1955.52
1042.57,1954.63
1043.34,1954.64
1044.11,1955.83
1044.89,1959.06
1045.66,1959.11
1046.44,1958.39
1047.21,1956.91
1047.98,1957.28
1048.76,1958.81
1049.53,1962.06
1050.3,1964.81
1051.08,1970.82
1051.85,1978.21
1052.62,1983.93
1053.4,1985.78
1054.17,1982.61
1054.94,1975.82
1055.72,1969.55
1056.49,1968.52
1057.26,1969.43
1058.03,1972.25
1058.81,1977.33
1059.58,1983.2
1060.35,1990.63
1061.13,1992.81
1061.9,1988.9
1062.67,1984.86
1063.44,1983.2
1064.21,1982.43
1064.99,1981.5
1065.76,1980.7
1066.53,1978.86
1067.3,1974.68
1068.07,1971.17
1068.84,1969.33
1069.62,1972.81
1070.39,1981.39
1071.16,1988.91
1071.93,1992.2
1072.7,1993.96
1073.47,1993.86
1074.24,1992
1075.01,1988.08
1075.78,1982.75
1076.56,1976.28
1077.33,1972.98
1078.1,1978.24
1078.87,1984.53
1079.64,1998.92
1080.41,2024.94
1081.18,2060.96
1081.95,2109.27
1082.72,2165.14
1083.49,2295.38
1084.26,2771.22
1085.03,3511.97
1085.8,4162.72
1086.57,4465.46
1087.34,3593.21
1088.11,2785.96
1088.88,2333.75
1089.65,2144.78
1090.42,2087.88
1091.19,2043.65
1091.95,2042.69
1092.72,2015.49
1093.49,2005.1
1094.26,1998.42
1095.03,1996.45
1095.8,1998.45
1096.57,2001.71
1097.34,2005.15
1098.1,2009
1098.87,2004.49
1099.64,2000.22
1100.41,1994.91
1101.18,1989.27
1101.95,1984.72
1102.72,1980.67
1103.48,1979.84
1104.25,1979.14
1105.02,1978.75
1105.79,1978.81
1106.55,1976.32
1107.32,1972.05
1108.09,1967.88
1108.86,1964.44
1109.62,1963.48
1110.39,1963.79
1111.16,1966.7
1111.93,1971.58
1112.69,1977.72
1113.46,1984.56
1114.23,1989
1115,1981.09
1115.76,1970.37
1116.53,1963.64
1117.29,1961.5
1118.06,1959.38
1118.83,1959.22
1119.59,1960.08
1120.36,1964.29
1121.13,1968.83
1121.89,1973.82
1122.66,1977.78
1123.42,1975.25
1124.19,1973.12
1124.96,1970.95
1125.72,1968.92
1126.49,1967.97
1127.25,1972.05
1128.02,1977.17
1128.78,1982.28
1129.55,1987.35
1130.32,1991.71
1131.08,1992.64
1131.85,1992.09
1132.61,1990.31
1133.37,1987.69
1134.14,1984.58
1134.91,1981.4
1135.67,1979.85
1136.44,1980
1137.2,1982.77
1137.96,1985.9
1138.73,1985.63
1139.49,1980.05
1140.26,1970.22
1141.02,1959.11
1141.78,1951.42
1142.55,1950.09
1143.31,1957.14
1144.08,1964.51
1144.84,1971.48
1145.6,1977.43
1146.37,1981.22
1147.13,1983.22
1147.9,1982.05
1148.66,1978.15
1149.42,1972.69
1150.19,1967.48
1150.95,1964.73
1151.71,1964.06
1152.47,1966.22
1153.24,1971.25
1154,1978.31
1154.76,1980.43
1155.53,1975.97
1156.29,1966.54
1157.05,1962.67
1157.81,1957.83
1158.58,1968.2
1159.34,1974.32
1160.1,1979.16
1160.86,1983.49
1161.63,1985.63
1162.39,1984.52
1163.15,1981.34
1163.91,1976.52
1164.67,1970.52
1165.43,1964.22
1166.2,1964.32
1166.96,1968.24
1167.72,1972.96
1168.48,1978.17
1169.24,1980.33
1170,1970.87
1170.76,1959.79
1171.53,1950.09
1172.29,1947.48
1173.05,1943.18
1173.81,1942.11
1174.57,1947.44
1175.33,1951.29
1176.09,1954.55
1176.85,1957.01
1177.61,1957.97
1178.37,1955.58
1179.13,1956.63
1179.89,1958.73
1180.65,1961.23
1181.41,1964.04
1182.17,1967.8
1182.93,1969.3
1183.69,1965.88
1184.45,1961.47
1185.21,1955.68
1185.97,1950.02
1186.73,1945.07
1187.49,1944.51
1188.25,1947.4
1189.01,1950.97
1189.77,1955.07
1190.53,1959.52
1191.29,1958.52
1192.05,1953.15
1192.81,1947.33
1193.56,1942.75
1194.32,1944.88
1195.08,1954.55
1195.84,1961.81
1196.6,1967.95
1197.36,1971.96
1198.12,1973.94
1198.87,1975.02
1199.63,1974.99
1200.39,1974.08
1201.15,1971.12
1201.91,1966.88
1202.66,1961.23
1203.42,1955.2
1204.18,1974.57
1204.94,1955.67
