Wave,FoAug
336.788,4187.63
337.63,4198.39
338.472,4204.24
339.314,4202.69
340.156,4194.31
340.998,4188.35
341.84,4194.41
342.681,4212.62
343.523,4226
344.364,4238.25
345.205,4246.87
346.047,4248.47
346.888,4247.58
347.729,4243.19
348.57,4236.97
349.409,4229.72
350.25,4223.24
351.091,4224.45
351.931,4225.42
352.772,4227.93
353.613,4232.28
354.453,4239.07
355.294,4247.16
356.134,4255.74
356.974,4264.39
357.812,4272.61
358.653,4276.14
359.493,4280.2
360.333,4283.02
361.173,4284.37
362.012,4284.63
362.852,4291.91
363.69,4306.29
364.529,4318.81
365.369,4330.85
366.208,4320.46
367.048,4312.46
367.885,4318.19
368.724,4326.57
369.563,4331.81
370.402,4333.68
371.241,4326.59
372.078,4317.16
372.917,4305.41
373.756,4292.53
374.594,4279.32
375.431,4267.02
376.269,4257.83
377.108,4248.38
377.944,4240.28
378.783,4233.61
379.621,4228.49
380.459,4226.09
381.295,4226.35
382.133,4233.86
382.971,4243.41
383.807,4256.91
384.644,4269.58
385.482,4272.54
386.318,4269.55
387.155,4265.09
387.993,4256.83
388.828,4259.66
389.665,4274.03
390.502,4287.77
391.338,4315.18
392.175,4332.15
393.012,4331.32
393.846,4331.8
394.683,4326.52
395.518,4318.06
396.355,4313.16
397.191,4308.84
398.026,4305.53
398.862,4304.63
399.697,4304.7
400.533,4306.43
401.367,4309.21
402.203,4312.75
403.039,4316.93
403.873,4320.11
404.709,4323.54
405.543,4326.62
406.379,4328.33
407.213,4329.53
408.048,4329.55
408.882,4328.83
409.717,4327
410.551,4325.05
411.386,4327.75
412.219,4334.89
413.054,4338.64
413.887,4384.62
414.722,4411.7
415.555,4426.41
416.39,4428.34
417.223,4416.42
418.056,4416.17
418.89,4416.49
419.723,4416.62
420.557,4416.17
421.39,4414.15
422.224,4408.54
423.056,4403.49
423.888,4391.39
424.722,4368.69
425.554,4367.49
426.386,4377.19
427.22,4388.43
428.052,4402.03
428.886,4413.79
429.717,4423.34
430.549,4431.55
431.382,4438.63
432.214,4442.73
433.045,4445.18
433.878,4448.33
434.71,4453.04
435.541,4465.18
436.374,4480.17
437.205,4478.89
438.035,4468.11
438.866,4456.34
439.699,4441.48
440.53,4420.12
441.36,4406.89
442.193,4405.61
443.023,4401.2
443.853,4396.35
444.684,4390.32
445.516,4381.06
446.346,4376
447.176,4374.59
448.006,4377.26
448.836,4374.42
449.668,4367.18
450.497,4360.53
451.327,4354.27
452.157,4350.67
452.986,4352.31
453.818,4355.64
454.647,4361.44
455.476,4369.73
456.306,4380.83
457.135,4393.84
457.966,4400.73
458.795,4394.46
459.624,4390.09
460.453,4386.87
461.281,4388.73
462.11,4394.06
462.939,4397.72
463.767,4397.62
464.598,4397.87
465.426,4397.05
466.254,4392.12
467.083,4396.42
467.911,4402.38
468.739,4417.98
469.567,4428.72
470.395,4437.17
471.223,4444.91
472.05,4449.85
472.878,4452.7
473.706,4453.64
474.533,4450.97
475.361,4442.46
476.188,4432.21
477.015,4418.83
477.843,4401.92
478.67,4402
479.497,4403
480.324,4404
481.151,4405
481.978,4406
482.805,4407
483.631,4408
484.458,4409
485.285,4410
486.111,4412
486.938,4414
487.764,4415
488.59,4416.89
489.416,4419.24
490.243,4412.04
491.069,4412.88
491.895,4421.43
492.719,4433.77
493.544,4445.47
494.37,4452.96
495.196,4457.12
496.021,4458.95
496.847,4457.34
497.672,4453.61
498.498,4448.56
499.321,4441.49
500.146,4436.91
500.972,4435.46
501.797,4437.64
502.622,4450.7
503.447,4460.81
504.269,4471.25
505.094,4484.43
505.919,4496.8
506.744,4505.73
507.566,4511.81
508.391,4511.04
509.215,4505.82
510.039,4497.6
510.864,4491.11
511.686,4488.81
512.51,4484.89
513.334,4480.84
514.158,4477.13
514.98,4473.66
515.804,4470.68
516.627,4468.36
517.449,4467.86
518.273,4472.24
519.096,4489.83
519.92,4506.69
520.741,4517.9
521.564,4523.17
522.388,4516.31
523.209,4504.06
524.032,4491.97
524.855,4479.88
525.676,4470.2
526.499,4465.91
527.321,4467.11
528.142,4476.36
528.965,4502.11
529.785,4521.41
530.608,4541.35
531.43,4561.16
532.251,4575.74
533.073,4586.95
533.893,4592.35
534.715,4592.53
535.537,4590.99
536.357,4590.37
537.179,4590.33
537.999,4588.17
538.821,4582.95
539.64,4577.82
540.462,4570.85
541.281,4570.73
542.103,4588.99
542.924,4593.78
543.743,4597.37
544.565,4600.26
545.384,4603.02
546.205,4605.32
547.024,4606.9
547.845,4607.31
548.664,4605.92
549.482,4602.12
550.303,4580.17
551.122,4563.68
551.942,4552.35
552.761,4547.2
553.581,4554.13
554.4,4558
555.22,4560
556.038,4562
556.856,4565
557.676,4567
558.494,4569
559.314,4570
560.132,4571
560.95,4572
561.769,4573
562.587,4574
563.406,4573.65
564.224,4569.15
565.041,4583.31
565.861,4565.25
566.678,4558.8
567.495,4559.59
568.314,4564.24
569.131,4572.06
569.948,4581.7
570.767,4590.98
571.584,4598.74
572.4,4604.93
573.217,4610.11
574.036,4613.08
574.852,4613.43
575.669,4608.09
576.487,4602.21
577.303,4597.48
578.119,4594.69
578.936,4601.34
579.754,4613.51
580.57,4630.82
581.385,4646.64
582.201,4658.25
583.017,4667.9
583.835,4674.84
584.65,4678.16
585.466,4668.77
586.281,4660.03
587.097,4667.12
587.914,4676.8
588.729,4688.55
589.545,4699.38
590.36,4706.3
591.175,4709.98
591.99,4708.94
592.807,4704.52
593.621,4697.2
594.436,4687.68
595.251,4677.05
596.065,4670.22
596.88,4663.31
597.694,4654.76
598.509,4669.98
599.323,4697.59
600.139,4716.7
600.953,4726.56
601.768,4736.62
602.582,4703.73
603.395,4717.94
604.209,4734.48
605.023,4748.78
605.837,4761.5
606.65,4772.71
607.464,4781.43
608.278,4796.85
609.091,4807.3
609.904,4789.24
610.718,4768.64
611.531,4737.67
612.344,4716.19
613.157,4701.77
613.97,4697.54
614.783,4735.54
615.596,4744.05
616.409,4750.61
617.221,4760.09
618.034,4765.72
618.846,4762.48
619.659,4757.08
620.471,4756.17
621.284,4759.23
622.096,4760.73
622.906,4761.78
623.718,4761.9
624.53,4761.33
625.342,4760.02
626.154,4757.67
626.966,4754.94
627.778,4752.47
628.589,4752.73
629.399,4763.91
630.211,4770.98
631.022,4776.82
631.833,4782.3
632.645,4790.59
633.456,4795.21
634.265,4781.54
635.076,4765.21
635.887,4747.82
636.698,4754.24
637.509,4764.49
638.318,4782.51
639.129,4797.02
639.939,4813.25
640.75,4823.67
641.56,4834.29
642.369,4826.85
643.179,4824.65
643.99,4823.84
644.8,4821.85
645.608,4815.63
646.418,4807.47
647.228,4798.07
648.036,4788.15
648.846,4776.84
649.656,4791.43
650.465,4809.29
651.273,4825.03
652.083,4839.56
652.892,4851.05
653.7,4859.86
654.509,4866.79
655.318,4871.67
656.125,4876.14
656.935,4879.98
657.744,4884.09
658.551,4891.55
659.36,4898.82
660.166,4907.37
660.975,4916.98
661.784,4927.52
662.591,4938.83
663.399,4958.96
664.206,4993.14
665.014,5036.9
665.822,5078.53
666.629,5122.75
667.437,5167.04
668.243,5211.38
669.051,5255.61
669.857,5299.32
670.665,5342.39
671.471,5382.31
672.279,5421.35
673.084,5447.21
673.892,5422.74
674.698,5376.05
675.505,5322.97
676.31,5268.47
677.118,5218.39
677.923,5172.78
678.73,5131.07
679.535,5092.07
680.343,5058.02
681.148,5027.53
681.954,5001.45
682.759,4977.62
683.566,4947.47
684.371,4910.87
685.175,4884.37
685.982,4870.95
686.786,4860.31
687.593,4860.85
688.397,4871.73
689.201,4878.85
690.008,4882.68
690.812,4883.13
691.618,4886.89
692.422,4888.93
693.226,4890.31
694.032,4890.22
694.835,4888.48
695.639,4885.09
696.445,4879.79
697.248,4872.65
698.052,4868.33
698.857,4860.65
699.661,4851.08
700.464,4840.67
701.267,4829.7
702.072,4819.97
702.875,4823.05
703.678,4825.59
704.483,4830.17
705.286,4835.92
706.089,4842.16
706.891,4847.5
707.696,4851.71
708.499,4854.37
709.301,4856.44
710.104,4857.28
710.906,4856.4
711.71,4852.88
712.512,4837.73
713.314,4830.42
714.117,4824.04
714.919,4824.69
715.722,4844.02
716.524,4849.85
717.326,4846.06
718.128,4842.49
718.929,4839.55
719.731,4837.25
720.532,4835
721.336,4835.77
722.137,4844.41
722.938,4855.56
723.74,4873.82
724.541,4892.49
725.342,4897.84
726.143,4892.69
726.944,4880.18
727.745,4864.88
728.545,4853.41
729.348,4847.67
730.149,4845.08
730.949,4844.87
731.75,4847.36
732.55,4852.95
733.351,4860.99
734.151,4871.27
734.951,4880.77
735.751,4878.98
736.551,4863.07
737.351,4844.58
738.151,4840.25
738.951,4845.43
739.751,4865.39
740.551,4879.28
741.35,4887.83
742.15,4891.02
742.949,4893.53
743.749,4895.62
744.548,4892.81
745.346,4890.38
746.145,4893.33
746.944,4898.39
747.743,4903.79
748.542,4909.26
749.341,4912.75
750.14,4911.97
750.939,4909.76
751.737,4903.04
752.536,4893.07
753.333,4885.04
754.131,4878.26
754.93,4873.38
755.728,4875.21
756.526,4884.2
757.324,4893.61
758.123,4902.05
758.919,4909.23
759.717,4914.92
760.515,4910.57
761.313,4900.95
762.11,4885.42
762.906,4869.95
763.704,4857.84
764.501,4852.5
765.299,4865.15
766.094,4877.64
766.892,4887.09
767.689,4895.45
768.486,4900.64
769.281,4903.82
770.079,4905.16
770.876,4904.44
771.673,4901.9
772.468,4897.19
773.264,4892.16
774.061,4890.39
774.856,4895.68
775.652,4909.79
776.449,4906.16
777.245,4899.78
778.04,4891.38
778.836,4880.45
779.632,4869.14
780.427,4854.26
781.223,4854.05
782.017,4874.78
782.813,4881.88
783.609,4885.41
784.403,4886.68
785.198,4888.3
785.994,4890.54
786.788,4893.03
787.583,4895.49
788.377,4897.26
789.172,4902.8
789.966,4902.46
790.761,4899.51
791.556,4900.45
792.349,4901.86
793.144,4903.68
793.937,4905.6
794.732,4913.53
795.525,4914.54
796.32,4916.33
797.113,4918.68
797.907,4921.15
798.7,4926.43
799.494,4933.39
800.287,4946.97
801.081,4956.75
801.873,4964.12
802.668,4967.89
803.46,4959.87
804.254,4950.53
805.046,4940.03
805.838,4933.09
806.632,4926.11
807.424,4941.92
808.217,4965.15
809.009,4991.35
809.801,5014.04
810.594,5029.24
811.386,5043.22
812.179,5057.22
812.97,5070.44
813.762,5081.79
814.555,5092.8
815.346,5108.13
816.137,5128.08
816.93,5167.28
817.721,5221.89
818.514,5284.23
819.305,5359.33
820.095,5442.35
820.886,5523.5
821.678,5603.88
822.469,5692.39
823.259,5780.7
824.052,5866.03
824.842,5929.61
825.632,5931.06
826.422,5897.38
827.214,5816.62
828.004,5743.48
828.794,5660.88
829.584,5568.24
830.376,5486.79
831.166,5413.54
831.956,5349.15
832.745,5293.56
833.537,5246.51
834.326,5235.68
835.115,5255.44
835.905,5254.75
836.694,5248.98
837.483,5204.28
838.274,5180.95
839.063,5165.37
839.852,5170.31
840.641,5173.53
841.43,5178.8
842.219,5185.13
843.008,5189.21
843.798,5193.33
844.587,5193.41
845.375,5196.2
846.164,5211.09
846.952,5219.74
847.74,5245.64
848.528,5281.84
849.317,5324.48
850.105,5375.74
850.893,5435.99
851.681,5504.93
852.469,5582.68
853.256,5672.17
854.046,5769.65
854.834,5844.7
855.621,5939.42
856.409,5976.02
857.196,5981.67
857.984,5959.32
858.771,5918.45
859.558,5874.26
860.345,5809.69
861.132,5736.22
861.917,5645.98
862.704,5562.13
863.491,5484.66
864.278,5413.86
865.065,5359.03
865.852,5312.15
866.638,5278.2
867.425,5256.96
868.211,5243.26
868.998,5235.39
869.784,5215.33
870.57,5186.58
871.357,5166.2
872.141,5147.02
872.927,5129.83
873.713,5115.1
874.499,5105.35
875.285,5100.82
876.07,5100.04
876.856,5102.58
877.64,5110.59
878.425,5121.6
879.211,5137.2
879.996,5154.3
880.782,5170.11
881.565,5183.9
882.35,5191.54
883.136,5200.91
883.921,5196.07
884.706,5186.13
885.489,5167.19
886.274,5145.99
887.058,5130.83
887.843,5117.07
888.626,5104.39
889.411,5095.25
890.195,5091.83
890.978,5090.62
891.762,5085.33
892.546,5077.85
893.331,5066.98
894.113,5059.72
894.897,5054.58
895.681,5051.05
896.463,5052.26
897.247,5058.6
898.031,5065.5
898.813,5075.3
899.597,5079.67
900.38,5080.35
901.162,5073.31
901.945,5064.04
902.727,5056.4
903.51,5051.45
904.294,5049.15
905.075,5047.42
905.858,5045.59
906.639,5042.11
907.422,5036.89
908.205,5027.21
908.986,5026.89
909.769,5033.72
910.55,5049.5
911.333,5065.07
912.113,5083.5
912.896,5089.13
913.677,5100.01
914.459,5115.12
915.239,5133.23
916.022,5172.69
916.802,5199.75
917.584,5194.59
918.364,5202.43
919.146,5218.6
919.926,5230.81
920.708,5235.64
921.488,5229.83
922.27,5214.02
923.05,5194.77
923.829,5172.46
924.611,5154.29
925.39,5138.3
926.172,5125.57
926.951,5123.79
927.732,5124.8
928.512,5139.53
929.291,5139
930.072,5140
930.851,5140.5
931.63,5140.5
932.411,5139.42
933.19,5127.3
933.968,5117.82
934.749,5101.73
935.528,5091.55
936.306,5081.24
937.087,5076.24
937.865,5060.77
938.106,5057.67
938.893,5056.71
939.677,5059.62
940.461,5066.11
941.247,5076.97
942.031,5090.17
942.814,5100.25
943.6,5108.77
944.384,5106.15
945.167,5103.64
945.953,5097.08
946.737,5086.21
947.52,5069.93
948.303,5070.62
949.089,5074.75
949.872,5082.06
950.655,5091.55
951.438,5103.24
952.223,5115.32
953.006,5125.14
953.789,5134.99
954.572,5146.48
955.356,5157.53
956.139,5164.94
956.922,5163
957.704,5139.33
958.487,5132.87
959.271,5148.95
960.053,5171.17
960.836,5185.59
961.618,5197.52
962.4,5207.3
963.182,5215.19
963.966,5221.57
964.748,5223.18
965.53,5221.58
966.311,5216.28
967.093,5209.91
967.875,5203.93
968.656,5195.69
969.44,5186.37
970.221,5175.89
971.003,5164.53
971.784,5152.18
972.565,5138.52
973.346,5124.82
974.127,5113.13
974.908,5104.09
975.689,5097.76
976.47,5093.92
977.251,5092.74
978.032,5094.19
978.814,5098.01
979.595,5104.39
980.376,5103.02
981.156,5088.78
981.936,5074.88
982.717,5059.7
983.497,5046.19
984.277,5050.21
985.057,5060.2
985.837,5067.48
986.617,5074.13
987.397,5075.44
988.177,5071.68
988.957,5062.29
989.737,5050.33
990.515,5035.34
991.294,5020.77
992.074,5020.77
992.853,5019.67
993.633,5026.16
994.412,5033.12
995.191,5040.36
995.97,5047.12
996.749,5051.28
997.528,5055.19
998.307,5057.73
999.086,5059.35
999.863,5058.76
1000.64,5058.98
1001.42,5065.1
1002.2,5072.64
1002.98,5073.22
1003.76,5064.81
1004.53,5046.95
1005.31,5046.12
1006.09,5048.56
1006.87,5051.74
1007.65,5058.62
1008.42,5069.97
1009.2,5072
1009.98,5074
1010.76,5075
1011.53,5076
1012.31,5078
1013.09,5080
1013.86,5082
1014.64,5085
1015.42,5088.94
1016.2,5089.46
1016.97,5091.42
1017.75,5095.01
1018.53,5098.37
1019.3,5101.56
1020.08,5104.4
1020.86,5104.37
1021.63,5102.98
1022.41,5101.2
1023.19,5098.76
1023.96,5096.96
1024.74,5095.11
1025.51,5096
1026.29,5098.87
1027.07,5102.14
1027.84,5103.49
1028.62,5094.4
1029.39,5075.97
1030.17,5068.16
1030.94,5070.54
1031.72,5075.27
1032.49,5083.62
1033.27,5090.18
1034.05,5092.46
1034.82,5088.72
1035.6,5085.52
1036.37,5081.68
1037.14,5080.38
1037.92,5078.49
1038.69,5076.31
1039.47,5072.72
1040.24,5067.78
1041.02,5061.5
1041.79,5062.73
1042.57,5067.26
1043.34,5072.71
1044.11,5075.69
1044.89,5076.5
1045.66,5077.35
1046.44,5076.67
1047.21,5076
1047.98,5076.23
1048.76,5081.95
1049.53,5106.31
1050.3,5124.5
1051.08,5133.72
1051.85,5136.83
1052.62,5135.16
1053.4,5133.19
1054.17,5129.83
1054.94,5127.57
1055.72,5126.35
1056.49,5124.44
1057.26,5122.87
1058.03,5121.41
1058.81,5120.16
1059.58,5119.18
1060.35,5118.73
1061.13,5118.49
1061.9,5119.74
1062.67,5122.24
1063.44,5123.37
1064.21,5122.85
1064.99,5117.85
1065.76,5110.17
1066.53,5102.61
1067.3,5094
1068.07,5082.22
1068.84,5063.91
1069.62,5003.9
1070.39,5010.92
1071.16,5045.12
1071.93,5055.53
1072.7,5059.98
1073.47,5061.7
1074.24,5059.66
1075.01,5058.3
1075.78,5023.53
1076.56,5006.29
1077.33,5008.15
1078.1,5029.54
1078.87,5041.4
1079.64,5028.39
1080.41,5012.35
1081.18,5012.06
1081.95,5014.6
1082.72,5018.6
1083.49,5024.62
1084.26,5031.48
1085.03,5039.27
1085.8,5043.73
1086.57,5034.97
1087.34,5020.8
1088.11,5005.07
1088.88,4993.73
1089.65,4986.25
1090.42,4986.27
1091.19,4995.81
1091.95,5020.4
1092.72,5044.81
1093.49,5041.9
1094.26,5029.84
1095.03,5011.95
1095.8,4983.21
1096.57,5103.88
1097.34,5060.07
1098.1,5031.41
1098.87,5010.89
1099.64,5000.65
1100.41,4993.91
1101.18,5029.54
1101.95,5051.65
1102.72,5067.54
1103.48,5080.58
1104.25,5083.81
1105.02,5076.08
1105.79,5062.54
1106.55,5044.44
1107.32,5025.87
1108.09,5012.24
1108.86,5023.07
1109.62,5025.92
1110.39,5029.31
1111.16,5034.93
1111.93,5042.72
1112.69,5053.09
1113.46,5069.14
1114.23,5083.27
1115,5094.44
1115.76,5093.54
1116.53,5088.08
1117.29,5075.8
1118.06,5056.11
1118.83,5029.22
1119.59,5007.45
1120.36,5018.96
1121.13,5040.55
1121.89,5053.37
1122.66,5055.62
1123.42,5057.82
1124.19,5058.43
1124.96,5057.32
1125.72,5055.47
1126.49,5053.38
1127.25,5051.9
1128.02,5049.94
1128.78,5046.68
1129.55,5042.82
1130.32,5039.13
1131.08,5035.39
1131.85,5032.88
1132.61,5035.05
1133.37,5046.31
1134.14,5059.02
1134.91,5069.48
1135.67,5076.5
1136.44,5077.83
1137.2,5072.38
1137.96,5063.01
1138.73,5048.84
1139.49,5036.73
1140.26,5031.42
1141.02,5044.26
1141.78,5050.43
1142.55,5052.07
1143.31,5051.69
1144.08,5054.86
1144.84,5057.61
1145.6,5059.44
1146.37,5061.26
1147.13,5061.81
1147.9,5060.39
1148.66,5061.09
1149.42,5064.48
1150.19,5079.56
1150.95,5076.94
1151.71,5071.69
1152.47,5063.81
1153.24,5053.15
1154,5045.06
1154.76,5040.76
1155.53,5046.63
1156.29,5056.92
1157.05,5069.89
1157.81,5078.51
1158.58,5078.28
1159.34,5065.39
1160.1,5039.37
1160.86,5036.65
1161.63,5038.52
1162.39,5043.85
1163.15,5051.17
1163.91,5057.5
1164.67,5059.83
1165.43,5058.33
1166.2,5037.24
1166.96,5026.79
1167.72,5022.57
1168.48,5027.9
1169.24,5030.48
1170,5033.06
1170.76,5035.5
1171.53,5038.53
1172.29,5042.83
1173.05,5049.26
1173.81,5058.63
1174.57,5070.76
1175.33,5087.26
1176.09,5093.28
1176.85,5087.21
1177.61,5077.22
1178.37,5067.53
1179.13,5058.2
1179.89,5050.35
1180.65,5044.15
1181.41,5039.53
1182.17,5037.84
1182.93,5039.99
1183.69,5048.43
1184.45,5056.12
1185.21,5062.36
1185.97,5068.35
1186.73,5067.63
1187.49,5064.15
1188.25,5053.5
1189.01,5046.37
1189.77,5040.31
1190.53,5035.4
1191.29,5032.87
1192.05,5026.89
1192.81,5021.49
1193.56,5016.32
1194.32,5014.99
1195.08,5040.72
1195.84,5050.9
1196.6,5039
1197.36,5034.09
1198.12,5031.67
1198.87,5030.76
1199.63,5030.9
1200.39,5032.03
1201.15,5034.86
1201.91,5038.54
1202.66,5045.5
1203.42,5044.35
1204.18,5044.88
1204.94,4997.51
