Wave,Gypsum
342.681,4735.49
343.523,4742.08
344.364,4735.45
345.205,4738.15
346.047,4743.56
346.888,4748.7
347.729,4752.28
348.57,4755.17
349.409,4757.21
350.25,4758.43
351.091,4757.94
351.931,4756.39
352.772,4753.73
353.613,4750.06
354.453,4745.66
355.294,4740.83
356.134,4736.79
356.974,4746.53
357.812,4759.81
358.653,4778.42
359.493,4800.59
360.333,4808.77
361.173,4807.89
362.012,4807.04
362.852,4804.1
363.69,4802.33
364.529,4799.02
365.369,4798.08
366.208,4798.14
367.048,4799.15
367.885,4800.88
368.724,4804.08
369.563,4809.21
370.402,4815.58
371.241,4823.18
372.078,4830.79
372.917,4836.74
373.756,4842.53
374.594,4848.81
375.431,4854.4
376.269,4859.09
377.108,4859.93
377.944,4840.93
378.783,4832.02
379.621,4823.72
380.459,4821.97
381.295,4823.23
382.133,4825.45
382.971,4824.17
383.807,4824.92
384.644,4827.04
385.482,4830.6
386.318,4835.87
387.155,4842.41
387.993,4855.41
388.828,4866.04
389.665,4875.54
390.502,4879.87
391.338,4872.17
392.175,4881.12
393.012,4894.76
393.846,4912.22
394.683,4919.18
395.518,4927.28
396.355,4932.09
397.191,4917.34
398.026,4903.8
398.862,4899.31
399.697,4900.14
400.533,4907.96
401.367,4923.02
402.203,4944.64
403.039,4956.74
403.873,4973.51
404.709,4981.05
405.543,4992.23
406.379,5009.29
407.213,5031.53
408.048,5058.62
408.882,5090.93
409.717,5128.44
410.551,5171.44
411.386,5219.74
412.219,5275.04
413.054,5340.48
413.887,5416.13
414.722,5483.99
415.555,5529.29
416.39,5553.53
417.223,5579.55
418.056,5541.81
418.89,5477.92
419.723,5394.4
420.557,5331.54
421.39,5287.53
422.224,5259.3
423.056,5281.69
423.888,5264.86
424.722,5247.29
425.554,5238.33
426.386,5215.06
427.22,5203.38
428.052,5197.32
428.886,5203.79
429.717,5208.48
430.549,5210.57
431.382,5210.81
432.214,5208.05
433.045,5201.43
433.878,5189.3
434.71,5178.73
435.541,5182.8
436.374,5188.27
437.205,5202.1
438.035,5219.66
438.866,5232.85
439.699,5245.5
440.53,5250.74
441.36,5241.19
442.193,5231.49
443.023,5225.92
443.853,5225.2
444.684,5229.86
445.516,5244.52
446.346,5255.22
447.176,5242.6
448.006,5244.59
448.836,5240.86
449.668,5246.48
450.497,5254.85
451.327,5265.13
452.157,5277.55
452.986,5269.77
453.818,5258.45
454.647,5241.62
455.476,5229.92
456.306,5223.65
457.135,5222.06
457.966,5228.66
458.795,5241.43
459.624,5257.66
460.453,5279.27
461.281,5302.2
462.11,5321.64
462.939,5337.89
463.767,5347.88
464.598,5355.54
465.426,5359.6
466.254,5360.32
467.083,5356.74
467.911,5352.43
468.739,5354.09
469.567,5357.22
470.395,5361.64
471.223,5366.03
472.05,5371.62
472.878,5377.74
473.706,5385.3
474.533,5393.4
475.361,5401.86
476.188,5408.81
477.015,5409.46
477.843,5399.13
478.67,5400.46
479.497,5406.23
480.324,5433.68
481.151,5458.11
481.978,5494.6
482.805,5524.94
483.631,5548.72
484.458,5565.06
485.285,5573.99
486.111,5578.4
486.938,5582.21
487.764,5577.27
488.59,5617.65
489.416,5665.88
490.243,5723.81
491.069,5788.38
491.895,5857.9
492.719,5931.35
493.544,5995.88
494.37,6060.26
495.196,6111.93
496.021,6118.22
496.847,6091.51
497.672,6024.25
498.498,5972.55
499.321,5916.55
500.146,5859.05
500.972,5806.45
501.797,5753.63
502.622,5711.07
503.447,5681.59
504.269,5663.54
505.094,5655.67
505.919,5645.23
506.744,5640.48
507.566,5637.23
508.391,5635.32
509.215,5629.71
510.039,5619.35
510.864,5603.14
511.686,5589.73
512.51,5575.99
513.334,5574.88
514.158,5580.63
514.98,5584.07
515.804,5588.34
516.627,5592.93
517.449,5597.2
518.273,5601.73
519.096,5606.91
519.92,5613.36
520.741,5620.73
521.564,5628.98
522.388,5638.25
523.209,5648.32
524.032,5659.75
524.855,5666.15
525.676,5667.39
526.499,5658.69
527.321,5654.7
528.142,5657.19
528.965,5659.33
529.785,5662.86
530.608,5667.63
531.43,5673.82
532.251,5682.22
533.073,5688.74
533.893,5677.17
534.715,5686.85
535.537,5697.43
536.357,5707.94
537.179,5715.17
537.999,5719.72
538.821,5724.81
539.64,5726.99
540.462,5727.39
541.281,5725.31
542.103,5719.45
542.924,5709.91
543.743,5699.26
544.565,5693.24
545.384,5694.57
546.205,5697.21
547.024,5710.57
547.845,5727.17
548.664,5749.59
549.482,5762.21
550.303,5736.55
551.122,5720
551.942,5713.37
552.761,5715.8
553.581,5770.31
554.4,5786.18
555.22,5798.64
556.038,5808.62
556.856,5809.69
557.676,5808.72
558.494,5807.57
559.314,5802.71
560.132,5798.32
560.95,5794.59
561.769,5793.84
562.587,5797.38
563.406,5805.05
564.224,5815.57
565.041,5829.62
565.861,5846.47
566.678,5866.96
567.495,5877.43
568.314,5866.55
569.131,5865.37
569.948,5863.24
570.767,5863.12
571.584,5865.78
572.4,5870.77
573.217,5878.62
574.036,5889.58
574.852,5904.04
575.669,5919.37
576.487,5934.83
577.303,5947.49
578.119,5953.19
578.936,5960.96
579.754,5968.17
580.57,5975.06
581.385,5979.65
582.201,5987.63
583.017,5992.73
583.835,5993.73
584.65,5987.87
585.466,5982.4
586.281,5971.89
587.097,5960.67
587.914,5959.1
588.729,5961.98
589.545,5969.12
590.36,5978.6
591.175,5991.94
591.99,6006.23
592.807,6019.1
593.621,6029.77
594.436,6037.05
595.251,6039.66
596.065,6040.71
596.88,6039.14
597.694,6034.72
598.509,6028.07
599.323,6021.35
600.139,6016.12
600.953,6015.15
601.768,6020.55
602.582,6037.98
603.395,6061.59
604.209,6088.25
605.023,6107.69
605.837,6123.92
606.65,6133.93
607.464,6141.46
608.278,6140.29
609.091,6135.42
609.904,6125.91
610.718,6118.3
611.531,6145.4
612.344,6165.66
613.157,6188.26
613.97,6251.19
614.783,6070.95
615.596,6162.81
616.409,6207.74
617.221,6251.97
618.034,6285.94
618.846,6302.56
619.659,6308.39
620.471,6317.14
621.284,6290.48
622.096,6318.22
622.906,6325.4
623.718,6325.82
624.53,6323.02
625.342,6316.77
626.154,6310.51
626.966,6304.97
627.778,6298.13
628.589,6290.43
629.399,6282.05
630.211,6272.85
631.022,6263.04
631.833,6252.81
632.645,6243.12
633.456,6233.74
634.265,6224.85
635.076,6216.65
635.887,6209.09
636.698,6205.97
637.509,6205.2
638.318,6207.42
639.129,6211.99
639.939,6220.77
640.75,6228.85
641.56,6231.73
642.369,6228.44
643.179,6212.26
643.99,6194.21
644.8,6190.66
645.608,6199.39
646.418,6218.13
647.228,6247.04
648.036,6279.8
648.846,6300.74
649.656,6314.25
650.465,6305.25
651.273,6256.4
652.083,6238.02
652.892,6224.13
653.7,6226.38
654.509,6264.54
655.318,6280.25
656.125,6295.44
656.935,6260.96
657.744,6257.13
658.551,6254.13
659.36,6246.45
660.166,6243.69
660.975,6245.1
661.784,6246.44
662.591,6256.25
663.399,6268.7
664.206,6282.84
665.014,6298.18
665.822,6315.42
666.629,6330.86
667.437,6342.66
668.243,6356.63
669.051,6368.9
669.857,6382.19
670.665,6401.14
671.471,6414.74
672.279,6426.68
673.084,6431.99
673.892,6425.67
674.698,6401.56
675.505,6381.5
676.31,6360.98
677.118,6353.85
677.923,6345.97
678.73,6340.72
679.535,6335.62
680.343,6332.92
681.148,6328.27
681.954,6313.07
682.759,6306.03
683.566,6306.88
684.371,6311.53
685.175,6324.33
685.982,6342.62
686.786,6357.28
687.593,6367.48
688.397,6373.63
689.201,6373.5
690.008,6368.65
690.812,6376.77
691.618,6391.18
692.422,6395.57
693.226,6394.3
694.032,6384.79
694.835,6349.46
695.639,6337.61
696.445,6365.6
697.248,6385.13
698.052,6405.34
698.857,6402.34
699.661,6410.48
700.464,6416.24
701.267,6418.43
702.072,6417.52
702.875,6408.24
703.678,6395.55
704.483,6373.36
705.286,6332.94
706.089,6328.63
706.891,6358.79
707.696,6433.78
708.499,6471.87
709.301,6486.53
710.104,6479.35
710.906,6475.41
711.71,6470.13
712.512,6464.95
713.314,6461.42
714.117,6459.52
714.919,6458.02
715.722,6457.7
716.524,6458.29
717.326,6460.11
718.128,6463
718.929,6467.34
719.731,6473.08
720.532,6481.37
721.336,6498.81
722.137,6525.54
722.938,6558.34
723.74,6571.25
724.541,6534.47
725.342,6460.19
726.143,6536.2
726.944,6515.55
727.745,6499.35
728.545,6486.79
729.348,6477.35
730.149,6470.69
730.949,6467.57
731.75,6468.54
732.55,6472.85
733.351,6484.16
734.151,6496.73
734.951,6510.9
735.751,6524.01
736.551,6535.97
737.351,6543.52
738.151,6549.44
738.951,6552.79
739.751,6549.92
740.551,6543.53
741.35,6526.14
742.15,6510.1
742.949,6494.53
743.749,6480.66
744.548,6475.4
745.346,6472.6
746.145,6474.75
746.944,6481.91
747.743,6494.79
748.542,6513.49
749.341,6536.91
750.14,6565.3
750.939,6593.52
751.737,6616.13
752.536,6614.43
753.333,6595.59
754.131,6579.15
754.93,6566.94
755.728,6559.9
756.526,6558.84
757.324,6564.73
758.123,6574.58
758.919,6582.1
759.717,6589.32
760.515,6592.41
761.313,6594.42
762.11,6595.93
762.906,6598.86
763.704,6601.48
764.501,6604.21
765.299,6606.73
766.094,6608.45
766.892,6608.14
767.689,6605.95
768.486,6600.63
769.281,6593.01
770.079,6593.91
770.876,6603.38
771.673,6622.01
772.468,6641.88
773.264,6660.62
774.061,6675.27
774.856,6687.53
775.652,6696.65
776.449,6702.33
777.245,6704.15
778.04,6701.25
778.836,6693.61
779.632,6663.09
780.427,6641.26
781.223,6635.75
782.017,6643.23
782.813,6664.53
783.609,6679.67
784.403,6678.23
785.198,6668.12
785.994,6658.78
786.788,6648.93
787.583,6640.41
788.377,6632.82
789.172,6630.55
789.966,6637.96
790.761,6654.89
791.556,6684.05
792.349,6709.18
793.144,6729.55
793.937,6734.7
794.732,6736.67
795.525,6725.83
796.32,6710.35
797.113,6693.84
797.907,6683.84
798.7,6682.48
799.494,6685.19
800.287,6691.2
801.081,6702.61
801.873,6717.99
802.668,6736.62
803.46,6757.21
804.254,6763.03
805.046,6766.18
805.838,6766.38
806.632,6763.54
807.424,6757.37
808.217,6749.74
809.009,6743.54
809.801,6741.3
810.594,6768.58
811.386,6782.67
812.179,6793.62
812.97,6805.28
813.762,6814.78
814.555,6811.13
815.346,6791.26
816.137,6787.88
816.93,6788.78
817.721,6798.98
818.514,6811.53
819.305,6822.89
820.095,6832.34
820.886,6839.15
821.678,6843.95
822.469,6847.16
823.259,6848.15
824.052,6847.83
824.842,6846.28
825.632,6843.97
826.422,6840.75
827.214,6836.79
828.004,6830.68
828.794,6826.47
829.584,6848.94
830.376,6872.46
831.166,6895.95
831.956,6887.55
832.745,6869.62
833.537,6852.92
834.326,6846
835.115,6844.23
835.905,6846.67
836.694,6848.99
837.483,6855.22
838.274,6865.14
839.063,6880.08
839.852,6902
840.641,6926.83
841.43,6952.23
842.219,6976.23
843.008,7007.04
843.798,6735.26
844.587,6899.63
845.375,6917.52
846.164,6955.39
846.952,6956.18
847.74,6942.88
848.528,6915.88
849.317,6894.99
850.105,6876.14
850.893,6860.35
851.681,6848.02
852.469,6854.23
853.256,6872.55
854.046,6906.97
854.834,6915.79
855.621,6920.32
856.409,6921.43
857.196,6919.35
857.984,6916.67
858.771,6911.33
859.558,6910
860.345,6913.7
861.132,6924.93
861.917,6934.27
862.704,6944.44
863.491,6951.63
864.278,6952.36
865.065,6953.42
865.852,6952.29
866.638,6948.79
867.425,6942.61
868.211,6945.64
868.998,6975.87
869.784,6972.75
870.57,6973.88
871.357,6961.56
872.141,6944.19
872.927,6944.56
873.713,6957.6
874.499,6982.15
875.285,6990.45
876.07,6993.82
876.856,7001.42
877.64,7004.67
878.425,7013.8
879.211,7026.12
879.996,7032.31
880.782,7038.09
881.565,7041.58
882.35,7044.33
883.136,7052.34
883.921,7062.95
884.706,7090.8
885.489,7111.49
886.274,7128.26
887.058,7122.49
887.843,7109.01
888.626,7092.39
889.411,7086.59
890.195,7088.04
890.978,7096.18
891.762,7107.25
892.546,7116.07
893.331,7116.42
894.113,7111.8
894.897,7112.81
895.681,7094.58
896.463,7102.94
897.247,7109.02
898.031,7122
898.813,7140.21
899.597,7140.72
900.38,7138.28
901.162,7134.82
901.945,7127.86
902.727,7122.51
903.51,7126.47
904.294,7136.77
905.075,7128.68
905.858,7125.6
906.639,7124.75
907.422,7128.47
908.205,7136.47
908.986,7144.64
909.769,7134.8
910.55,7126.97
911.333,7121.47
912.113,7109.72
912.896,7156.44
913.677,7151.75
914.459,7156.34
915.239,7162.1
916.022,7168.71
916.802,7170.57
917.584,7167.64
918.364,7167.38
919.146,7167.04
919.926,7165.83
920.708,7163.56
921.488,7160.65
922.27,7158.47
923.05,7153.18
923.829,7149.87
924.611,7148.99
925.39,7151.27
926.172,7161.78
926.951,7178.69
927.732,7197.15
928.512,7214.63
929.291,7230.33
930.072,7240.06
930.851,7245.52
931.63,7248.02
932.411,7246.78
933.19,7244.81
933.968,7241.97
934.749,7236.84
935.528,7231.08
936.306,7226.73
937.087,7226.12
937.865,7227.23
938.106,7225.85
938.893,7216.57
939.677,7197.08
940.461,7184.59
941.247,7169.27
942.031,7156.36
942.814,7145.19
943.6,7141.75
944.384,7172.32
945.167,7221.19
945.953,7256.23
946.737,7296.52
947.52,7209.87
948.303,7171.59
949.089,7135.04
949.872,7113.78
950.655,7112.52
951.438,7113.34
952.223,7127.2
953.006,7156.08
953.789,7179.22
954.572,7203.23
955.356,7221.04
956.139,7228.62
956.922,7232.46
957.704,7229.01
958.487,7219.86
959.271,7212.21
960.053,7216.78
960.836,7221.47
961.618,7230.92
962.4,7240.77
963.182,7245.77
963.966,7249.27
964.748,7252.61
965.53,7255.55
966.311,7257.59
967.093,7258.26
967.875,7258.21
968.656,7257.34
969.44,7255.21
970.221,7251.43
971.003,7244.36
971.784,7237.08
972.565,7231.57
973.346,7225.54
974.127,7220.36
974.908,7214.25
975.689,7209.59
976.47,7212.96
977.251,7223.3
978.032,7247.34
978.814,7277.56
979.595,7312.41
980.376,7344.73
981.156,7351.89
981.936,7343.34
982.717,7326.75
983.497,7315.51
984.277,7309.26
985.057,7296.63
985.837,7287.72
986.617,7281.7
987.397,7281.38
988.177,7285.7
988.957,7306.3
989.737,7322.61
990.515,7329.62
991.294,7339.69
992.074,7348.49
992.853,7359.19
993.633,7371.64
994.412,7385.48
995.191,7400.13
995.97,7416.29
996.749,7433.36
997.528,7451.85
998.307,7471.38
999.086,7493.24
999.863,7519.93
1000.64,7554.07
1001.42,7595.62
1002.2,7644.73
1002.98,7713.41
1003.76,7792.23
1004.53,7940.05
1005.31,8147.06
1006.09,8475.83
1006.87,8844.97
1007.65,9588.78
1008.42,10644.4
1009.2,12023.9
1009.98,13068.7
1010.76,13552.6
1011.53,12491.4
1012.31,11280.3
1013.09,9793.55
1013.86,9089.07
1014.64,8548.46
1015.42,8148.2
1016.2,7980.81
1016.97,7796.69
1017.75,7714.43
1018.53,7691.57
1019.3,7615.91
1020.08,7560.6
1020.86,7511.28
1021.63,7459.4
1022.41,7419.14
1023.19,7400.26
1023.96,7393.38
1024.74,7392.37
1025.51,7399.44
1026.29,7412.2
1027.07,7418.24
1027.84,7408.08
1028.62,7393.1
1029.39,7373.91
1030.17,7353.72
1030.94,7341.12
1031.72,7328.29
1032.49,7331.7
1033.27,7338.55
1034.05,7345.36
1034.82,7350.19
1035.6,7343.1
1036.37,7334.57
1037.14,7320.63
1037.92,7309.76
1038.69,7302.88
1039.47,7299.4
1040.24,7303.29
1041.02,7309.65
1041.79,7309.93
1042.57,7313.49
1043.34,7317.33
1044.11,7321.24
1044.89,7325.51
1045.66,7330.22
1046.44,7335.38
1047.21,7341.3
1047.98,7354.33
1048.76,7362.12
1049.53,7350.45
1050.3,7332.98
1051.08,7311.54
1051.85,7283.56
1052.62,7249.03
1053.4,7215.19
1054.17,7226.95
1054.94,7228.54
1055.72,7242.97
1056.49,7254.64
1057.26,7260.64
1058.03,7268.22
1058.81,7274.27
1059.58,7280.14
1060.35,7284.06
1061.13,7288.43
1061.9,7295.33
1062.67,7304.83
1063.44,7326.19
1064.21,7350.39
1064.99,7351.03
1065.76,7343.52
1066.53,7333.08
1067.3,7318.5
1068.07,7298.86
1068.84,7279.59
1069.62,7280.04
1070.39,7286.38
1071.16,7295.82
1071.93,7299.54
1072.7,7299.45
1073.47,7288.87
1074.24,7277.28
1075.01,7271.45
1075.78,7268
1076.56,7284.99
1077.33,7301.95
1078.1,7324.95
1078.87,7369.33
1079.64,7365.68
1080.41,7341.73
1081.18,7310.14
1081.95,7287.24
1082.72,7296.86
1083.49,7307.83
1084.26,7330.14
1085.03,7334.68
1085.8,7344.43
1086.57,7329.07
1087.34,7308.3
1088.11,7309.56
1088.88,7326.66
1089.65,7342.17
1090.42,7369.02
1091.19,7392.39
1091.95,7408.57
1092.72,7422.82
1093.49,7428.74
1094.26,7427.38
1095.03,7422.2
1095.8,7412.99
1096.57,7401.89
1097.34,7389.67
1098.1,7386.02
1098.87,7384.9
1099.64,7397.12
1100.41,7408.92
1101.18,7420.01
1101.95,7430.18
1102.72,7439.3
1103.48,7447
1104.25,7452.73
1105.02,7457.29
1105.79,7459.21
1106.55,7457.18
1107.32,7448.18
1108.09,7444.29
1108.86,7437.01
1109.62,7453.85
1110.39,7474.37
1111.16,7480.96
1111.93,7491.25
1112.69,7506.11
1113.46,7501.59
1114.23,7506.8
1115,7517.58
1115.76,7529.82
1116.53,7538.57
1117.29,7544.19
1118.06,7546.63
1118.83,7545.7
1119.59,7541.79
1120.36,7535
1121.13,7525.88
1121.89,7521.24
1122.66,7539.14
1123.42,7566.47
1124.19,7607.62
1124.96,7636.39
1125.72,7660.54
1126.49,7617.17
1127.25,7606.36
1128.02,7594.13
1128.78,7580.92
1129.55,7563.31
1130.32,7569.52
1131.08,7594.67
1131.85,7641.4
1132.61,7674.43
1133.37,7710.97
1134.14,7747.41
1134.91,7787
1135.67,7813.75
1136.44,7830.68
1137.2,7840.19
1137.96,7844.46
1138.73,7842.86
1139.49,7835.17
1140.26,7830.59
1141.02,7838.19
1141.78,7853.77
1142.55,7870.93
1143.31,7868.07
1144.08,7850.48
1144.84,7816.4
1145.6,7781.48
1146.37,7750.73
1147.13,7722.8
1147.9,7697.7
1148.66,7674.54
1149.42,7653.58
1150.19,7635.13
1150.95,7618.88
1151.71,7604.67
1152.47,7592.2
1153.24,7581.03
1154,7571.4
1154.76,7561.78
1155.53,7554.14
1156.29,7544.54
1157.05,7537.93
1157.81,7537.45
1158.58,7547.57
1159.34,7560.7
1160.1,7564.9
1160.86,7565.17
1161.63,7561.22
1162.39,7551.94
1163.15,7552.89
1163.91,7557.32
1164.67,7565.45
1165.43,7574.85
1166.2,7569.41
1166.96,7559.56
1167.72,7526.89
1168.48,7510.98
1169.24,7493.63
1170,7488.56
1170.76,7496.48
1171.53,7501.7
1172.29,7509.6
1173.05,7518.34
1173.81,7517.15
1174.57,7508.64
1175.33,7476.03
1176.09,7442.22
1176.85,7379.1
1177.61,7372.63
1178.37,7535.59
1179.13,7576.82
1179.89,7509.68
1180.65,7486.21
1181.41,7485.5
1182.17,7489.16
1182.93,7491.04
1183.69,7486.93
1184.45,7486.57
1185.21,7487.66
1185.97,7489.91
1186.73,7491.27
1187.49,7492.73
1188.25,7494.11
1189.01,7497.47
1189.77,7497.8
1190.53,7496.55
1191.29,7495.3
1192.05,7496.78
1192.81,7501.68
1193.56,7516.08
1194.32,7533.75
1195.08,7543.18
1195.84,7552.33
1196.6,7558.26
1197.36,7559.23
1198.12,7569.29
1198.87,7575.38
1199.63,7583.03
1200.39,7587.36
1201.15,7592.25
1201.91,7592.56
1202.66,7582.69
1203.42,7557.85
1204.18,7505.71
1204.94,7491.72
