Wave,Muscovite
190.205,9533.19
190.723,9577.17
191.238,9622.47
191.756,9668.91
192.273,9715.13
192.789,9758.8
193.306,9797.3
193.821,9829.23
194.339,9855.41
194.856,9853.09
195.371,9844.39
195.888,9843.34
196.403,9846.18
196.92,9853.04
197.438,9862.66
197.953,9852.14
198.47,9838.33
198.985,9822.85
199.502,9803.98
200.017,9767.05
200.534,9754.89
201.048,9759.89
201.565,9764.42
202.08,9767.97
202.597,9769.81
203.114,9755.98
203.628,9741.9
204.145,9727.34
204.66,9712.7
205.177,9697.53
205.691,9675.92
206.206,9648.49
206.722,9606.16
207.237,9575.1
207.753,9651.71
208.268,9802.08
208.784,9730.34
209.299,9724.36
209.815,9758.08
210.33,9797.35
210.846,9835
211.36,9863.19
211.874,9882.47
212.391,9897.71
212.905,9911.75
213.421,9925.2
213.935,9935.67
214.449,9941.02
214.966,9934.31
215.48,9921.89
215.996,9899.26
216.51,9869.46
217.024,9830.67
217.54,9784.39
218.054,9731.33
218.568,9675.19
219.083,9652.98
219.597,9647.94
220.111,9630.58
220.627,9621.75
221.141,9570.67
221.654,9509.28
222.17,9456.39
222.684,9409.97
223.197,9371.48
223.713,9339.87
224.227,9317.01
224.74,9302.83
225.254,9295.14
225.769,9289.37
226.283,9282.67
226.796,9273.28
227.312,9262.48
227.825,9248.53
228.338,9235.21
228.852,9232.21
229.367,9257.44
229.88,9277.88
230.393,9283.16
230.907,9279.03
231.42,9268.9
231.935,9266.54
232.448,9261.56
232.961,9258.16
233.474,9256.74
233.987,9258.87
234.502,9264.83
235.015,9276.27
235.528,9302.04
236.041,9289.03
236.554,9246.82
237.067,9311.82
237.582,9352.18
238.094,9373.89
238.607,9407.5
239.12,9415.75
239.633,9403.7
240.145,9323.84
240.658,9534.09
241.171,9524.85
241.685,9545.24
242.198,9574.47
242.71,9552.8
243.223,9509.89
243.735,9555.07
244.248,9596.57
244.76,9640.75
245.273,9687.53
245.785,9739.25
246.297,9795.66
246.81,9857.29
247.322,9912.99
247.834,9970.43
248.348,10028.1
248.861,10118.5
249.373,10212.3
249.885,10323.6
250.397,10418.1
250.909,10528.6
251.421,10655.2
251.933,10803.8
252.445,10976.6
252.957,11173.6
253.469,11395.4
253.981,11641.2
254.493,11911.9
255.005,12207.4
255.514,12528.7
256.026,12875.2
256.538,13249.1
257.05,13621.1
257.561,14034.5
258.073,14429.5
258.585,14814.4
259.096,15190.4
259.608,15563.3
260.12,15855.6
260.631,16069.4
261.143,16199.3
261.654,16280.3
262.164,16181.2
262.675,15995
263.186,15756.2
263.698,15506.9
264.209,15251.3
264.72,14971.7
265.232,14677.2
265.743,14365.3
266.252,14038.2
266.763,13703.1
267.274,13373.9
267.786,13084
268.297,12806.3
268.808,12548
269.317,12308.3
269.828,12087.1
270.339,11884.2
270.85,11697.1
271.361,11524
271.87,11360.2
272.38,11197.3
272.891,11045.2
273.402,10905.3
273.911,10776.2
274.422,10657.3
274.932,10557.6
275.443,10475.9
275.952,10414.3
276.462,10359.5
276.973,10314.1
277.484,10275.1
277.992,10231.6
278.503,10171.8
279.013,10120
279.524,10072.7
280.032,10027.6
280.543,9990.69
281.053,9957.8
281.561,9929.69
282.072,9906.29
282.582,9887.12
283.09,9872.46
283.6,9853.45
284.111,9851
284.619,9849
285.129,9847
285.639,9845.7
286.147,9885.04
286.657,9810.48
287.165,9757.02
287.675,9811.41
288.185,9788.88
288.693,9779.48
289.203,9779.94
289.713,9775.56
290.221,9763.68
290.731,9751
291.239,9740.87
291.749,9733.66
292.256,9730.53
292.766,9727.88
293.276,9722.65
293.783,9702.71
294.293,9699.98
294.801,9702.14
295.31,9723.61
295.818,9719.99
296.327,9719.42
296.835,9697.58
297.344,9688.05
297.852,9697.18
298.361,9714.66
298.869,9730.71
299.378,9758.44
299.885,9750.58
300.395,9737.32
300.902,9713.52
301.411,9704.62
301.918,9698.72
302.428,9693.01
302.935,9688.41
303.444,9684.58
303.951,9681.68
304.458,9679.11
304.967,9670.55
305.474,9662.63
305.983,9657.68
306.49,9686.07
306.999,9703.59
307.506,9709.81
308.013,9721.13
308.522,9736.99
309.028,9732.25
309.537,9708
310.044,9684.43
310.551,9653.09
311.059,9638.66
311.566,9635.95
312.073,9636.21
312.581,9646.8
313.088,9656.58
313.594,9665.92
314.103,9674.61
314.61,9681.37
315.116,9686.59
315.625,9686.12
316.131,9678.57
316.637,9663.77
317.146,9642.12
317.652,9614.53
318.158,9581.2
318.665,9548.76
319.173,9530.2
319.679,9551.74
320.185,9563.46
320.694,9571.35
321.2,9578.92
321.706,9583.76
322.212,9594.56
322.72,9602.95
323.226,9607.05
323.732,9605.48
324.238,9591.81
324.744,9579.75
325.252,9576.41
325.758,9579.24
326.264,9589.12
326.769,9593.09
327.275,9592.84
327.783,9577.41
328.289,9565.03
328.794,9557.28
329.3,9550.68
329.806,9545.06
330.311,9544.06
330.819,9543.71
331.325,9546.12
331.83,9548.81
332.336,9551.63
332.841,9552.05
333.347,9547.58
333.852,9551.66
334.357,9556.52
334.865,9564.54
335.37,9579.78
335.876,9594.82
336.381,9608.63
336.886,9618.47
337.391,9623.56
337.897,9625.53
338.402,9625.05
338.907,9620.51
339.412,9612.63
339.917,9602.73
340.422,9593.45
340.927,9590.11
341.432,9594.44
341.937,9625.7
342.442,9653.07
342.947,9681.09
343.454,9707.92
343.959,9733.6
344.464,9740.92
344.969,9743.35
345.471,9733.8
345.976,9708.48
346.481,9707.23
346.986,9719.37
347.49,9738.99
347.995,9770.53
348.499,9801.82
349.004,9827.23
349.509,9850.89
350.013,9872.11
350.518,9890.15
351.022,9905.25
351.527,9917.09
352.031,9926.08
352.535,9933.42
353.04,9940
353.544,9948.1
354.046,9956.07
354.551,9964.55
355.055,9972.84
355.559,9981.11
356.064,9989.6
356.568,10000.4
357.072,10034.1
357.576,10075.2
358.078,10101.3
358.582,10122.8
359.086,10139.2
359.59,10153.7
360.094,10147.8
360.598,10129.7
361.1,10095.2
361.604,10080
362.108,10078.8
362.612,10074.5
363.115,10097.9
363.617,10138.6
364.121,10166.3
364.625,10190.5
365.128,10201.3
365.63,10197.4
366.134,10198.9
366.637,10206.2
367.141,10221.6
367.642,10250.5
368.146,10285.5
368.65,10310.2
369.153,10330.4
369.654,10346.6
370.158,10356
370.661,10362.2
371.165,10364.5
371.666,10368
372.169,10376.9
372.673,10392.1
373.174,10416.8
373.677,10444.1
374.18,10476.5
374.681,10510.9
375.185,10540.1
375.688,10564.9
376.189,10588.2
376.692,10598
377.195,10593.8
377.696,10576.5
378.199,10548.9
378.7,10538.1
379.203,10531.9
379.706,10528.2
380.206,10526.9
380.709,10527.7
381.21,10531
381.713,10535.2
382.216,10539
382.716,10541
383.219,10548
383.72,10565.5
384.222,10593.5
384.723,10624.7
385.226,10633.8
385.726,10643.1
386.229,10648.1
386.731,10646.7
387.232,10640.3
387.734,10632.7
388.235,10625.6
388.737,10633
389.237,10653.6
389.74,10683.1
390.24,10710.8
390.742,10737
391.242,10760.3
391.745,10788.7
392.245,10821
392.745,10857.4
393.247,10897.3
393.747,10941.8
394.249,10990.3
394.749,11041.8
395.252,11094.8
395.752,11139.8
396.254,11172.2
396.753,11179
397.253,11180.5
397.755,11170.3
398.255,11175.5
398.757,11205.5
399.257,11258
399.757,11336.9
400.258,11385.9
400.758,11454.1
401.258,11527.2
401.759,11572.2
402.259,11591.3
402.761,11608.4
403.26,11621.2
403.76,11631.9
404.261,11635.5
404.761,11627.1
405.26,11666.4
405.76,11726.7
406.261,11775.8
406.761,11813.9
407.26,11823
407.761,11811
408.261,11775.7
408.76,11757.3
409.261,11736.1
409.761,11713.8
410.26,11691.2
410.759,11668.7
411.26,11644.2
411.759,11618
412.258,11590
412.757,11558
413.258,11525.3
413.757,11490.2
414.256,11452.2
414.755,11409.9
415.254,11363.3
415.755,11320.5
416.254,11277.7
416.753,11249.6
417.252,11225.8
417.75,11209.6
418.251,11195.4
418.75,11183.5
419.249,11171.2
419.747,11153.2
420.246,11134.3
420.745,11113.2
421.243,11088.5
421.744,11059.9
422.242,11026.6
422.741,10982.2
423.239,10939.7
423.738,10891.6
424.236,10870.3
424.735,10865
425.233,10863
425.731,10859.3
426.232,10854.4
426.73,10843.7
427.228,10829.6
427.727,10809.1
428.225,10785.7
428.723,10760.5
429.221,10741.9
429.719,10713.8
430.217,10685
430.716,10650.2
431.214,10634.7
431.712,10671.4
432.21,10713.9
432.708,10716
433.206,10702.6
433.703,10686.8
434.201,10670
434.699,10654.6
435.197,10639.3
435.695,10623.8
436.193,10608.1
436.69,10594.9
437.188,10586.9
437.686,10594.8
438.184,10589.4
438.681,10575.1
439.179,10557.6
439.676,10539.8
440.174,10505.6
440.669,10469.4
441.167,10439.1
441.664,10412.7
442.162,10408.9
442.659,10411.3
443.157,10418.9
443.654,10429.1
444.151,10437.7
444.649,10444.8
445.144,10427.1
445.641,10393.8
446.139,10361.9
446.636,10335.1
447.133,10317.9
447.63,10304.2
448.125,10296.4
448.622,10293.8
449.119,10296.3
449.616,10303.7
450.113,10316.1
450.61,10332.6
451.105,10352.6
451.602,10368.1
452.099,10372.5
452.596,10356.8
453.091,10292
453.588,10264
454.085,10269.6
454.581,10277.9
455.078,10288.9
455.573,10303.9
456.07,10321.6
456.566,10331.6
457.061,10319.4
457.557,10284.3
458.054,10241
458.551,10206.7
459.045,10197.8
459.542,10220.9
460.038,10233.1
460.533,10252.5
461.029,10270
461.525,10284.8
462.02,10296.8
462.516,10306.4
463.012,10311.3
463.507,10311.3
464.003,10303.8
464.499,10287.6
464.993,10261.3
465.49,10235.9
465.986,10281.2
466.48,10338.9
466.976,10345.6
467.47,10334.6
467.966,10324.5
468.462,10320.4
468.956,10323.7
469.452,10327.8
469.946,10332.3
470.442,10334.1
470.938,10333.8
471.432,10330.9
471.927,10322.8
472.421,10310.3
472.917,10293.9
473.411,10276.4
473.906,10268.2
474.4,10298
474.896,10328.7
475.389,10325
475.885,10320
476.379,10315
476.874,10310
477.368,10308.5
477.863,10330.8
478.357,10362.5
478.852,10353
479.345,10383.5
479.841,10416
480.334,10438
480.83,10445.6
481.323,10428.9
481.818,10404.1
482.311,10377.4
482.805,10359.5
483.3,10343.9
483.793,10328.3
484.288,10317.1
484.781,10310.1
485.274,10307.2
485.77,10309.4
486.263,10317.7
486.758,10333.6
487.251,10353.2
487.743,10378.6
488.238,10408.3
488.731,10434.4
489.224,10453.5
489.719,10458.7
490.212,10455.9
490.705,10441.8
491.2,10420.9
491.692,10396.1
492.185,10376.2
492.68,10376
493.172,10382.2
493.665,10393.9
494.16,10412.1
494.652,10437.9
495.145,10474.6
495.637,10458.9
496.132,10463.7
496.624,10442.4
497.117,10440
497.611,10445
498.104,10430
498.596,10420
499.088,10410
499.581,10376.6
500.075,10335.7
500.567,10351.8
501.059,10313.1
501.552,10308.8
502.046,10311.4
502.538,10319.4
503.03,10328.9
503.522,10343.3
504.014,10358.6
504.506,10374.5
505,10383.8
505.492,10390.4
505.984,10391.2
506.476,10387.6
506.968,10384.7
507.46,10382.9
507.954,10384.7
508.446,10386.3
508.938,10388
509.429,10388.7
509.921,10386
510.413,10379.3
510.904,10367.3
511.396,10353.5
511.888,10342.4
512.379,10337.9
512.873,10337.5
513.365,10341.5
513.856,10350.5
514.348,10364.3
514.839,10385.4
515.331,10410.8
515.822,10440.6
516.313,10455.1
516.805,10438.2
517.296,10427.6
517.788,10408.3
518.279,10411.7
518.77,10408.7
519.261,10392.9
519.753,10374.8
520.244,10356
520.735,10343.1
521.226,10384.4
521.717,10407.2
522.208,10418
522.699,10423.3
523.19,10424.3
523.681,10421.3
524.172,10416.9
524.663,10413
525.154,10410
525.643,10408.5
526.134,10414.9
526.625,10430.5
527.116,10490.1
527.607,10511.7
528.097,10512
528.588,10491.9
529.079,10466.8
529.569,10443.6
530.058,10423.5
530.549,10408.5
531.039,10410.7
531.53,10420.5
532.021,10436.6
532.511,10453
533.002,10461.7
533.49,10468.6
533.98,10474.1
534.471,10473.3
534.961,10471.3
535.452,10470.2
535.94,10473
536.43,10482.1
536.921,10500.1
537.411,10519.6
537.901,10544.8
538.389,10572.8
538.88,10599.2
539.37,10609.8
539.86,10606.2
540.348,10593.5
540.838,10574.4
541.328,10553.7
541.818,10535.2
542.306,10533.9
542.796,10538
543.286,10508.7
543.774,10478.7
544.264,10458.3
544.754,10453.1
545.244,10455.9
545.731,10463.8
546.221,10471.7
546.711,10478.7
547.199,10479.5
547.688,10479.7
548.178,10480.8
548.666,10486.7
549.155,10495.4
549.643,10506.5
550.133,10516
550.622,10518.6
551.11,10511
551.599,10500.4
552.089,10488.9
552.576,10480.1
553.065,10468.9
553.553,10455.8
554.042,10441.1
554.53,10427.5
555.019,10405.1
555.508,10384.4
555.995,10366.3
556.485,10359.1
556.972,10363.7
557.461,10375.4
557.948,10395.7
558.437,10423.7
558.924,10454.5
559.414,10482.2
559.901,10501.5
560.39,10516.1
560.877,10526.9
561.366,10494.5
561.853,10480.1
562.341,10469
562.828,10461.6
563.317,10454.9
563.804,10449.2
564.293,10447
564.78,10447.2
565.268,10449.8
565.755,10451.4
566.244,10449
566.731,10444.3
567.217,10434.1
567.706,10418
568.193,10389.5
568.681,10334.6
569.168,10307
569.654,10312.3
570.143,10336.8
570.629,10363.9
571.118,10398.1
571.604,10423.5
572.09,10413.6
572.579,10408.8
573.065,10407.1
573.551,10407
574.04,10414.5
574.526,10428.5
575.012,10446.8
575.5,10466.1
575.987,10484.5
576.473,10501.6
576.961,10505.7
577.447,10510.6
577.933,10512
578.419,10510.3
578.907,10505.4
579.393,10497.4
579.879,10484.5
580.367,10461.8
580.853,10431
581.339,10425.6
581.825,10437.5
582.313,10453.6
582.799,10470.3
583.284,10485.9
583.77,10499.6
584.256,10518.9
584.744,10528.3
585.229,10532.9
585.715,10528.2
586.201,10510.8
586.686,10482.8
587.174,10462.6
587.659,10450.7
588.145,10457.7
588.63,10502.9
589.116,10533.6
589.601,10551.2
590.089,10542.7
590.574,10518.7
591.059,10493.8
591.545,10491.3
592.03,10497.3
592.515,10502
593.001,10506.2
593.486,10511.6
593.973,10517.6
594.458,10524.1
594.944,10531
595.429,10539
595.914,10549.2
596.399,10563.3
596.884,10574.8
597.369,10581.3
597.854,10587.7
598.339,10598.7
598.824,10612.1
599.309,10627.3
599.794,10641.4
600.279,10652.6
600.764,10670.8
601.248,10694.5
601.733,10712.8
602.218,10725.4
602.703,10730.7
603.187,10742
603.672,10751.6
604.157,10759.6
604.641,10763.7
605.126,10762.6
605.611,10761.7
606.095,10761.8
606.58,10764.1
607.064,10772.6
607.549,10790.8
608.033,10820.6
608.518,10845.6
609.002,10845.2
609.485,10838.5
609.969,10835.8
610.453,10837
610.776,10841.1
611.266,10855.6
611.757,10875.6
612.245,10896.8
612.735,10918
613.226,10937.6
613.714,10955.3
614.204,10970.7
614.692,10982.9
615.182,10989.9
615.672,11008.1
616.16,11037.8
616.651,11077.3
617.141,11128.9
617.629,11134.9
618.119,11109.9
618.607,11105.5
619.096,11084.8
619.586,11090
620.074,11090
620.564,11100
621.052,11240.4
621.542,11172
622.029,11153.1
622.519,11144.2
623.009,11228.4
623.497,11328.3
623.986,11310.3
624.474,11306.7
624.963,11297.2
625.451,11300.7
625.941,11308.6
626.428,11320.3
626.918,11337
627.405,11358.8
627.895,11386.4
628.382,11417.5
628.871,11450.3
629.359,11476.9
629.848,11502.2
630.335,11514.7
630.825,11526.3
631.312,11530.9
631.801,11528.8
632.288,11530.9
632.776,11541
633.265,11606.3
633.752,11608.3
634.241,11605.2
634.728,11557.8
635.217,11496.2
635.704,11419.1
636.191,11352.5
636.68,11392.9
637.167,11417
637.656,11431
638.143,11436.6
638.63,11432.4
639.119,11421.1
639.605,11387.5
640.092,11351.2
640.581,11309.8
641.068,11288.6
641.556,11326.2
642.043,11325.4
642.53,11321
643.018,11314.1
643.505,11297.5
643.992,11269
644.48,11230.2
644.967,11178.8
645.453,11135.6
645.94,11116.4
646.428,11122.2
646.914,11123
647.401,11118.7
647.889,11114
648.376,11108.4
648.862,11098.5
649.348,11087.7
649.836,11072.1
650.323,11054.6
650.809,11036.6
651.295,11023
651.783,11006.1
652.269,10982
652.755,11015.9
653.242,11044
653.728,11062.7
654.216,11070.9
654.702,11057.9
655.188,11047.9
655.674,11031.8
656.16,11008.8
656.647,10983.6
657.133,10969.6
657.619,10972
658.105,10987.9
658.591,11001.2
659.077,11011.2
659.564,11015.6
660.05,11014.7
660.536,11007.5
661.021,10991
661.507,10969.1
661.993,10960.5
662.478,10979.5
662.964,11010.8
663.451,11036.5
663.937,11037.9
664.422,11034.1
664.908,11029.6
665.393,11023
665.879,11012.5
666.364,11001.6
666.849,10997.1
667.335,10995.2
667.82,10998
668.305,11001.5
668.79,11003.2
669.276,11002.8
669.761,11001.7
670.246,10999.1
670.731,10995.9
671.216,10990.6
671.701,10990.3
672.186,11010.4
672.672,11044.7
673.157,11096.9
673.642,11126.8
674.126,11140.4
674.611,11129.3
675.096,11125.7
675.581,11125.2
676.066,11130.8
676.551,11144.3
677.036,11164
677.521,11177.3
678.005,11198.8
678.49,11202.8
678.975,11199.5
679.459,11203.2
679.944,11217.8
680.429,11268.3
680.913,11333.5
681.396,11398.3
681.88,11433.7
682.365,11445.9
682.849,11474.9
683.334,11504
683.818,11528.9
684.303,11555.7
684.787,11586.1
685.269,11618.8
685.754,11656.6
686.238,11699.7
686.722,11759
687.207,11820.7
687.691,11886.6
688.173,11959.5
688.657,12033
689.141,12096.4
689.626,12158.6
690.11,12235.5
690.592,12340.1
691.076,12475
691.56,12602.1
692.044,12720
692.528,12838.7
693.01,12967.1
693.494,13078.5
693.978,13171.8
694.461,13246.9
694.943,13338.8
695.427,13450
695.911,13607.3
696.395,13781
696.877,13919.8
697.36,14049.5
697.844,14170.1
698.326,14279.7
698.809,14376.8
699.293,14464.4
699.776,14541.2
700.258,14609.3
700.742,14667.6
701.225,14714.1
701.707,14728
702.19,14702.6
702.673,14627.8
703.155,14558.3
703.638,14475.1
704.12,14364.2
704.603,14239.5
705.086,14097.8
705.568,13941.7
706.051,13773.4
706.534,13605
707.015,13486.8
707.498,13357.3
707.98,13232.2
708.463,13111.9
708.946,12998.4
709.427,12891.7
709.91,12791.8
710.391,12696.6
710.874,12599.8
711.355,12501.7
711.838,12385.3
712.321,12272.8
712.802,12164.7
713.285,12062.3
713.765,12009.3
714.248,11986.3
714.729,12018.1
715.212,11885.8
715.693,11772.7
716.175,11731.4
716.656,11701.1
717.139,11661.9
717.619,11630.4
718.102,11602.8
718.582,11576.4
719.065,11552.7
719.546,11530.8
720.026,11509.3
720.509,11487.6
720.989,11452.9
721.471,11418.2
721.952,11421.3
722.434,11462.8
722.915,11502
723.397,11473.3
723.877,11365.5
724.357,11341.8
724.84,11326.4
725.32,11322.2
725.802,11318.2
726.282,11311
726.763,11304.9
727.245,11307.8
727.725,11294.5
728.205,11278.8
728.687,11248.6
729.167,11214
729.647,11183
730.129,11169.6
730.609,11136.4
731.089,11109.2
731.571,11094.1
732.051,11127.7
732.53,11184.2
733.012,11253.8
733.492,11273.7
733.972,11176.6
734.453,11056.2
734.933,11179.2
735.413,11231.6
735.893,11239.8
736.374,11231.6
736.854,11198.4
737.333,11167.3
737.813,11168.9
738.295,11178
738.774,11203
739.254,11219
739.733,11245
740.214,11270.3
740.694,11266.1
741.173,11258.5
741.653,11250.6
742.132,11240.8
742.613,11255.9
743.093,11280.3
743.572,11317.7
744.051,11347.8
744.53,11372.8
745.011,11391
745.491,11401.6
745.97,11404.7
746.449,11398.5
746.928,11384.2
747.407,11363.9
747.886,11341
748.367,11315.4
748.846,11288.6
749.325,11279.2
749.804,11277.3
750.283,11273.9
750.762,11271
751.241,11268.6
751.719,11267
752.198,11266.1
752.679,11266.6
753.158,11268
753.636,11270.9
754.115,11265.4
754.594,11228.1
755.073,11181.7
755.551,11143.5
756.03,11112.7
756.508,11097.4
756.987,11120.4
757.465,11133
757.944,11139.9
758.422,11145.7
758.901,11139.2
759.379,11123.6
759.858,11102.2
760.336,11074.8
760.814,11045.4
761.293,11016.5
761.771,11003.9
762.249,10993.8
762.727,10987.9
763.206,10987.6
763.684,10976
764.162,10930.5
764.64,10886.8
765.118,10871.8
765.594,10861.2
766.073,10853.2
766.551,10850
767.029,10850.9
767.507,10860.3
767.985,10864.8
768.463,10851.6
768.94,10834.3
769.418,10817.6
769.896,10806
770.372,10792
770.85,10776.7
771.328,10761
771.805,10745.4
772.283,10730.5
772.761,10717.6
773.239,10707.3
773.714,10699.8
774.192,10696.2
774.669,10699.4
775.147,10705.8
775.625,10705.1
776.1,10694.7
776.578,10674.4
777.055,10655.5
777.533,10620.5
778.01,10603.7
778.486,10591.3
778.963,10581
779.44,10599.1
779.918,10630.4
780.393,10660.5
780.87,10735.9
781.347,10815.6
781.825,11017.9
782.3,10827.6
782.777,10697
783.254,10632.8
783.729,10622.3
784.207,10625.1
784.684,10650.7
785.161,10698.9
785.636,10747.2
786.113,10845.6
786.59,10661.2
787.065,10639.7
787.542,10613.3
788.019,10648.1
788.493,10706.1
788.97,10743.9
789.447,10744.9
789.922,10685.3
790.399,10641.3
790.874,10621.7
791.35,10627.8
791.827,10658.1
792.302,10691.9
792.778,10718.4
793.255,10740.8
793.73,10761.2
794.206,10776.7
794.681,10794.1
795.157,10805
795.632,10806.2
796.108,10795.1
796.585,10772
797.059,10753
797.536,10736.1
798.01,10724
798.486,10723.8
798.961,10725.4
799.437,10732.5
799.911,10744.4
800.388,10762.6
800.862,10781.3
801.338,10784.2
801.812,10778.1
802.288,10768.7
802.763,10763.1
803.239,10757.6
803.713,10751.7
804.189,10746.3
804.663,10745.9
805.139,10746.6
805.613,10749.1
806.089,10750.1
806.563,10690.7
807.037,10579
807.512,10646.9
807.986,10740.7
808.462,10772.6
808.936,10774.8
809.412,10778.5
809.886,10783.3
810.359,10785
810.835,10779.3
811.309,10766.2
811.782,10751.6
812.258,10737.8
812.732,10724.9
813.207,10722.1
813.681,10716.1
814.154,10713.2
814.63,10714
815.103,10717.8
815.577,10726.7
816.052,10742.5
816.526,10759.9
816.999,10777.8
817.474,10789.6
817.948,10793.6
818.421,10778.6
818.894,10756.5
819.37,10740
819.843,10734.3
820.316,10736.3
820.791,10741.1
821.264,10744
821.738,10740.1
822.211,10720.2
822.686,10695.4
823.159,10681
823.632,10685.2
824.105,10702.8
824.578,10736.7
825.053,10777.2
825.526,10802.2
825.999,10817.6
826.472,10823.2
826.945,10798.5
827.419,10772.2
827.892,10749
828.365,10728.8
828.838,10710.9
829.31,10696.7
829.785,10688.6
830.258,10687.4
830.731,10712.6
831.203,10738.1
831.676,10756.8
832.148,10767.3
832.621,10767.8
833.094,10758.9
833.568,10741.2
834.041,10714
834.513,10677.4
834.986,10629.2
835.458,10458.8
835.93,10734.4
836.403,10718.8
836.875,10677.6
837.347,10652
837.82,10598.1
838.292,10603.2
838.764,10599.4
839.238,10614.8
839.711,10636.5
840.183,10663.8
840.655,10692.8
841.127,10716.7
841.599,10739.4
842.071,10756.5
842.543,10738.6
843.015,10708.1
843.487,10683.9
843.959,10652.4
844.431,10622
844.903,10595.2
845.375,10573.9
845.847,10560
846.319,10556.5
846.789,10557
847.261,10551.9
847.732,10520.6
848.204,10513.8
848.676,10518.6
849.148,10525.8
849.619,10531
850.091,10536.6
850.563,10548.4
851.034,10560.2
851.506,10584
851.977,10603.8
852.447,10595.4
852.918,10576.6
853.39,10576.2
853.861,10588.8
854.333,10603
854.804,10618.4
855.276,10637.7
855.745,10657.7
856.216,10674.6
856.688,10678.7
857.159,10674.4
857.63,10662.1
858.101,10642.3
858.571,10622.3
859.042,10613.7
859.513,10619.8
859.984,10634.4
860.455,10650.2
860.924,10661.5
861.395,10664.9
861.866,10660.8
862.337,10650.2
862.807,10635.9
863.277,10622.5
863.748,10612.8
864.219,10599
864.688,10577.2
865.159,10593.4
865.63,10614.5
866.101,10646.2
866.57,10657.9
867.04,10659.6
867.511,10645.4
867.98,10626.5
868.451,10616.8
868.921,10613.8
869.39,10616.1
869.861,10620.8
870.331,10628.1
870.8,10620.3
871.27,10610
871.741,10570.6
872.209,10535.5
872.68,10528
873.15,10546
873.619,10571.7
874.089,10588.4
874.558,10587.7
875.028,10595.1
875.498,10600.3
875.967,10604.8
876.437,10607.3
876.905,10615.1
877.375,10577.6
877.846,10493
878.314,10539.9
878.784,10556.7
879.252,10571.5
879.722,10583.9
880.19,10593.2
880.66,10602.7
