Wave,Biotite
352.33,3290.05
353.171,3284.22
354.011,3279.75
354.85,3282.6
355.69,3287.23
356.53,3293.77
357.371,3301.37
358.211,3308.46
359.051,3316.81
359.891,3303.65
360.731,3290.18
361.569,3280.28
362.408,3273.7
363.248,3270.47
364.088,3271.65
364.927,3275.97
365.767,3285.09
366.604,3287.35
367.443,3278.08
368.283,3264.09
369.122,3258.32
369.961,3251.53
370.798,3243.66
371.637,3234.25
372.476,3223.8
373.315,3213.65
374.151,3204.94
374.99,3202.53
375.828,3199.09
376.667,3195.77
377.503,3192.26
378.342,3188.38
379.18,3183.49
380.018,3178.37
380.854,3172.76
381.692,3166.7
382.53,3160.81
383.366,3155.15
384.204,3150.47
385.042,3147.81
385.877,3147.58
386.715,3151.14
387.552,3157.13
388.388,3159.02
389.225,3159.89
390.062,3160.93
390.897,3162.8
391.734,3165.31
392.571,3168.81
393.406,3174.13
394.243,3180.52
395.078,3186.91
395.915,3191.63
396.751,3192.75
397.586,3185.23
398.422,3172.25
399.257,3161.53
400.093,3168.05
400.929,3175.66
401.764,3182.99
402.6,3190.64
403.434,3198.78
404.27,3206.58
405.104,3207.57
405.939,3209.31
406.773,3210.3
407.609,3215.73
408.442,3226.39
409.278,3223.77
410.111,3222.73
410.947,3216.06
411.78,3213.19
412.615,3219.92
413.448,3229.04
414.283,3239.22
415.116,3247.34
415.951,3254.41
416.784,3261.33
417.619,3267.86
418.451,3273.73
419.286,3278.82
420.118,3283.05
420.951,3286.5
421.785,3288.82
422.617,3289.02
423.452,3286.51
424.284,3274.83
425.116,3261.75
425.95,3255.56
426.782,3259.58
427.615,3274.96
428.447,3285.98
429.279,3293.59
430.112,3299.41
430.944,3271.98
431.775,3270.96
432.609,3267.33
433.44,3273.86
434.271,3280.78
435.104,3289.17
435.936,3294.33
436.767,3293.75
437.599,3286.1
438.43,3289.87
439.261,3242.67
440.092,3252
440.924,3262.74
441.755,3260
442.585,3258
443.418,3259
444.248,3255
445.078,3253.92
445.908,3258.83
446.741,3246.66
447.571,3226.25
448.4,3218.43
449.23,3217.97
450.06,3220.82
450.892,3212.4
451.721,3208.99
452.551,3208.26
453.38,3206.89
454.21,3204.85
455.041,3202.05
455.87,3196.13
456.7,3186.15
457.529,3173.74
458.358,3161.52
459.187,3161.83
460.018,3165.1
460.846,3167.35
461.675,3168.21
462.504,3155.77
463.332,3118.93
464.161,3106.75
464.989,3105.8
465.818,3115.41
466.646,3134.49
467.476,3166.26
468.304,3158.67
469.132,3158.79
469.96,3148.12
470.788,3138.71
471.616,3138.92
472.444,3145.36
473.271,3160.26
474.099,3158.38
474.926,3160.97
475.754,3167.47
476.581,3173.88
477.409,3178.39
478.236,3181.65
479.063,3178.07
479.89,3172.9
480.717,3167.1
481.544,3163.24
482.371,3165.32
483.198,3174.28
484.024,3192.04
484.851,3207.04
485.677,3217.42
486.504,3224.35
487.33,3229.77
488.157,3233.16
488.983,3236.57
489.809,3240.51
490.635,3247.65
491.459,3283.15
492.285,3293.27
493.111,3301.53
493.937,3301.86
494.763,3289.89
495.588,3273.13
496.414,3267.49
497.239,3274.46
498.063,3290.43
498.888,3297.31
499.713,3301.99
500.539,3269.12
501.364,3266.26
502.189,3269.74
503.014,3276.75
503.837,3287.5
504.661,3299.67
505.486,3310.02
506.311,3315.06
507.135,3312.45
507.958,3301.34
508.782,3280.51
509.607,3295.76
510.431,3312.71
511.253,3322.99
512.078,3327.07
512.902,3319.72
513.726,3307.1
514.548,3298.2
515.371,3292.19
516.195,3289.61
517.019,3291.55
517.841,3297
518.664,3307.51
519.488,3318.8
520.309,3322.8
521.132,3322.4
521.956,3317.31
522.777,3305.86
523.6,3299.09
524.423,3294.85
525.244,3296.38
526.067,3310.6
526.89,3324.65
527.71,3338.19
528.533,3350.47
529.356,3362.75
530.176,3359.04
530.999,3353.49
531.821,3344.99
532.641,3339.62
533.464,3345.42
534.284,3357.75
535.106,3370.79
535.926,3354.23
536.748,3336.03
537.57,3323.69
538.389,3320.42
539.211,3321.13
540.031,3323.52
540.852,3327.81
541.672,3333.57
542.493,3340.65
543.313,3348.56
544.134,3357.73
544.953,3368.03
545.774,3379.4
546.593,3390.62
547.414,3399.52
548.233,3406.5
549.054,3410.79
549.873,3414.52
550.693,3420.65
551.512,3426.43
552.332,3443.26
553.151,3450.66
553.971,3455.31
554.789,3454.8
555.61,3449.53
556.428,3437.13
557.246,3444.02
558.066,3455.31
558.884,3463.66
559.704,3463.63
560.522,3456.34
561.339,3440.14
562.159,3418.75
562.976,3402.04
563.796,3386.68
564.613,3374.97
565.431,3367.45
566.25,3362.76
567.067,3361.16
567.884,3362.28
568.703,3365.66
569.52,3369.89
570.337,3368.37
571.156,3363.57
571.973,3354.98
572.79,3342.11
573.606,3326.51
574.425,3308.98
575.241,3290.87
576.057,3277.79
576.876,3269.83
577.692,3266.1
578.508,3265.81
579.324,3269.44
580.142,3272.13
580.958,3273.82
581.774,3275.18
582.59,3272.41
583.406,3272
584.223,3273.77
585.039,3277.13
585.854,3282.25
586.67,3289.66
587.485,3298.93
588.303,3310.59
589.118,3322.89
589.933,3334.68
590.748,3340.11
591.563,3345.22
592.378,3348.28
593.195,3348.91
594.01,3347.65
594.824,3343.87
595.639,3338.04
596.453,3330.78
597.268,3322.35
598.082,3320.14
598.897,3328.81
599.713,3342.44
600.527,3355.84
601.341,3369.76
602.155,3380.23
602.969,3378.89
603.783,3381.12
604.597,3375.39
605.411,3364.54
606.224,3361.03
607.038,3365.11
607.852,3364.74
608.665,3371.82
609.479,3383.55
610.292,3387.31
611.105,3385.3
611.918,3380.29
612.731,3375.86
613.544,3371.85
614.357,3368.87
615.17,3367.31
615.983,3366.7
616.796,3367.37
617.608,3369.16
618.421,3372.37
619.234,3376.84
620.046,3382.59
620.858,3389.34
621.671,3396.82
622.483,3404.46
623.295,3411.65
624.105,3418.57
624.917,3423.46
625.729,3427.7
626.541,3430.21
627.353,3434.83
628.164,3441.53
628.976,3454.48
629.788,3479.76
630.597,3498.23
631.409,3515.1
632.22,3521.69
633.031,3518.94
633.842,3496.73
634.654,3490.68
635.463,3486.76
636.274,3499.08
637.085,3506.42
637.895,3516.58
638.706,3527.99
639.515,3539.7
640.326,3550.86
641.136,3562.15
641.947,3573.72
642.755,3585.67
643.565,3597.75
644.376,3609.23
645.186,3620.12
645.994,3629.66
646.804,3636.47
647.614,3642.61
648.424,3647.55
649.232,3651.06
650.041,3653.34
650.851,3654.33
651.659,3654.82
652.468,3656.67
653.278,3659.65
654.085,3664.99
654.894,3672.69
655.704,3683.58
656.511,3695.31
657.32,3711.76
658.129,3724.39
658.936,3720.96
659.745,3717.53
660.554,3724.5
661.361,3738.82
662.169,3757.53
662.976,3774.75
663.784,3792.01
664.593,3812.75
665.399,3832.74
666.208,3853.78
667.014,3873.63
667.822,3893.62
668.628,3911.05
669.436,3927.2
670.244,3939.14
671.05,3947.47
671.858,3960.9
672.664,3984.57
673.471,4022.42
674.277,4060.29
675.084,4102.18
675.89,4146.5
676.697,4194.2
677.502,4232.17
678.31,4276.77
679.115,4320.48
679.922,4338.15
680.727,4293.83
681.532,4285.01
682.339,4247.55
683.144,4270.1
683.95,4291.34
684.755,4274.29
685.562,4227.07
686.366,4179.93
687.171,4130.45
687.977,4082.86
688.781,4037.95
689.588,4001.99
690.392,3975.52
691.196,3949.77
692.002,3926.83
692.806,3905.09
693.61,3870.75
694.416,3837.86
695.219,3803.34
696.025,3767.26
696.829,3729.71
697.632,3693.09
698.438,3684.44
699.241,3686.39
700.044,3691.25
700.847,3693.38
701.653,3687.07
702.456,3642.29
703.259,3619.15
704.064,3624.58
704.867,3636.24
705.669,3649.63
706.472,3664.73
707.277,3665.92
708.079,3637.71
708.882,3622.91
709.684,3607.29
710.489,3592.31
711.291,3579.88
712.093,3571.78
712.895,3566.68
713.698,3564.82
714.502,3564.85
715.304,3567.45
716.105,3572.12
716.907,3578.37
717.709,3584.25
718.511,3590.46
719.314,3592.52
720.116,3594.26
720.917,3592.79
721.719,3590.39
722.52,3590.93
723.321,3592.76
724.122,3603.31
724.923,3614.55
725.727,3632.3
726.527,3645.7
727.328,3641.19
728.129,3631
728.93,3616.47
729.731,3603.45
730.531,3595.77
731.332,3590.36
732.132,3588.67
732.933,3597.66
733.733,3612.79
734.533,3633.62
735.333,3655.94
736.133,3678.86
736.933,3688.87
737.733,3666.49
738.533,3659.31
739.333,3649.45
740.133,3640.07
740.933,3634.95
741.732,3632.51
742.532,3632.16
743.331,3633.49
744.131,3636.74
744.93,3641.89
745.729,3650.66
746.528,3646.42
747.328,3628.35
748.127,3620.12
748.926,3610.85
749.722,3601.57
750.521,3594.67
751.32,3590.07
752.119,3587.25
752.917,3586.79
753.716,3588.36
754.514,3592.11
755.313,3597.84
756.109,3606.07
756.907,3615.86
757.706,3621.66
758.504,3624.48
759.302,3621.64
760.1,3619.42
760.896,3615.83
761.694,3616.25
762.491,3620.17
763.289,3629.41
764.087,3641.85
764.882,3647.45
765.68,3652.5
766.477,3652.3
767.275,3655.66
768.07,3657.09
768.867,3659.09
769.664,3658.82
770.461,3662.72
771.256,3660.54
772.053,3660.27
772.85,3660.22
773.647,3661.88
774.442,3666.14
775.238,3676.71
776.035,3701.8
776.829,3724.82
777.626,3737.77
778.422,3742.59
779.216,3739.05
780.013,3726.52
780.809,3716.84
781.603,3711.03
782.399,3709.91
783.195,3715.74
783.989,3736.46
784.785,3752.36
785.578,3749.58
786.374,3738.55
787.17,3720.56
787.963,3698.54
788.759,3679.67
789.552,3665.97
790.347,3678.67
791.143,3702.12
791.936,3714.32
792.731,3702.66
793.524,3676.04
794.319,3643.08
795.112,3638.38
795.907,3628.09
796.699,3621.05
797.494,3617.6
798.287,3617.69
799.081,3621.7
799.874,3629.45
800.668,3634.87
801.461,3629.32
802.255,3619.62
803.047,3606.5
803.841,3594.61
804.633,3584.22
805.427,3572.88
806.219,3561.28
807.011,3549.24
807.805,3540.07
808.596,3533.81
809.39,3538.11
810.182,3544.13
810.973,3541.43
811.767,3537.21
812.558,3531.12
813.351,3522.97
814.142,3513.17
814.934,3502.19
815.727,3490.49
816.518,3477.87
817.309,3466.14
818.102,3453.55
818.892,3443.65
819.683,3438.98
820.476,3445.48
821.266,3457.11
822.057,3464.72
822.849,3469.77
823.64,3469.62
824.43,3466.43
825.222,3460.41
826.013,3452.8
826.803,3443.91
827.593,3435.58
828.385,3425.14
829.175,3414.13
829.964,3401.68
830.754,3391.12
831.546,3389.13
832.336,3390.72
833.125,3397.66
833.915,3401.86
834.704,3403.08
835.495,3401.37
836.285,3396.69
837.074,3389.41
837.863,3388.08
838.652,3388.04
839.441,3387.35
840.232,3386.58
841.021,3385.37
841.81,3383.44
842.598,3374.34
843.387,3364.08
844.176,3355.31
844.964,3348.51
845.753,3360.22
846.543,3372.44
847.331,3381.01
848.12,3388.06
848.908,3393.21
849.696,3397.39
850.484,3400.93
851.272,3403.74
852.06,3405.36
852.848,3405.61
853.635,3403.87
854.423,3400.68
855.211,3395.6
855.998,3388.66
856.786,3382.26
857.573,3382.13
858.361,3384.67
859.148,3385.87
859.935,3386.64
860.722,3385.65
861.509,3385.11
862.296,3386.97
863.083,3388.75
863.87,3390.95
864.657,3394.33
865.444,3397.33
866.23,3396.57
867.017,3393.46
867.803,3387.76
868.59,3383.35
869.376,3385.32
870.163,3387.92
870.947,3391
871.733,3394.47
872.519,3398.8
873.305,3404.06
874.091,3410.75
874.877,3416.75
875.663,3421.69
876.447,3422.63
877.232,3417.91
878.018,3413.21
878.804,3410.91
879.589,3413.14
880.374,3416
881.158,3420.09
881.943,3423.32
882.728,3426.44
883.513,3429.8
884.299,3433.42
885.082,3435.86
885.867,3449.83
886.651,3458.88
887.436,3461.2
888.219,3459.2
889.004,3453.9
889.788,3448.25
890.573,3451.67
891.355,3465.86
892.14,3485.72
892.924,3498.52
893.706,3508.91
894.49,3511.68
895.275,3502.24
896.057,3488.46
896.841,3471.75
897.625,3474.94
898.406,3494.9
899.19,3525.08
899.974,3500
900.756,3510
901.539,3505
902.323,3500
903.104,3510
903.887,3500
904.669,3495.98
905.452,3487.5
906.235,3462.1
907.016,3449.11
907.799,3448.1
908.58,3445.23
909.363,3444.47
910.144,3445.9
910.927,3449.45
911.709,3455.07
912.49,3462.1
913.273,3469.12
914.053,3472.58
914.836,3470.64
915.616,3467.66
916.398,3462.82
917.178,3459.06
917.961,3461.54
918.741,3468.16
919.523,3472.73
920.303,3473.26
921.084,3464.23
921.864,3441.88
922.644,3430.31
923.426,3436.55
924.205,3442.88
924.987,3445.38
925.766,3445.29
926.548,3445.1
927.327,3444.7
928.106,3444.5
928.888,3444.85
929.667,3445.18
930.448,3447.12
931.227,3453.18
932.006,3459.56
932.787,3464.82
933.565,3466.99
934.344,3465.19
935.125,3460.3
935.903,3451.28
936.682,3437.66
937.462,3418.88
938.241,3418.74
939.019,3450.21
939.55,3455.89
940.334,3440.72
941.12,3433.3
941.904,3427.59
942.688,3423.69
943.474,3421.12
944.257,3419.7
945.041,3418.92
945.827,3421.01
946.61,3435.18
947.394,3431.38
948.177,3422.93
948.962,3406.34
949.745,3395.72
950.529,3401.03
951.312,3431.88
952.097,3430
952.88,3435
953.663,3433
954.445,3430
955.23,3431
956.013,3432
956.795,3433
957.578,3430
958.362,3425
959.145,3420.46
959.927,3421.52
960.709,3424.35
961.492,3428.09
962.276,3439.83
963.058,3449.46
963.84,3456.75
964.622,3462.69
965.403,3468.11
966.185,3471.76
966.967,3473.48
967.751,3474.03
968.532,3473.03
969.314,3470.79
970.095,3467.55
970.877,3463.85
971.658,3459.66
972.439,3454.52
973.22,3448.64
974.001,3442.15
974.784,3434.72
975.565,3427.45
976.346,3424.43
977.127,3431.11
977.908,3442.19
978.688,3458.87
979.469,3479.45
980.25,3490.8
981.03,3495.76
981.811,3493.45
982.591,3484.43
983.371,3475.12
984.151,3462.36
984.932,3452.99
985.712,3449.1
986.492,3449.79
987.272,3457.47
988.052,3468.45
988.831,3476.09
989.611,3484.57
990.391,3483.87
991.17,3476.27
991.95,3473.67
992.729,3471.99
993.509,3474.29
994.288,3477.58
995.067,3485.78
995.846,3493.51
996.626,3499.68
997.403,3504.09
998.182,3503.8
998.961,3501.84
999.74,3497.16
1000.52,3490.04
1001.3,3480.23
1002.08,3468.45
1002.85,3469.46
1003.63,3468.54
1004.41,3462.44
1005.19,3460.54
1005.97,3450.67
1006.74,3443.23
1007.52,3438.36
1008.3,3444.12
1009.08,3450.47
1009.85,3458.31
1010.63,3467.33
1011.41,3470.55
1012.19,3474.34
1012.96,3478.36
1013.74,3479.63
1014.52,3479.92
1015.3,3484.24
1016.07,3489.73
1016.85,3497.26
1017.63,3500.51
1018.4,3505.76
1019.18,3491.77
1019.96,3485.94
1020.73,3485.13
1021.51,3488.35
1022.29,3492.57
1023.06,3497.16
1023.84,3496.51
1024.62,3496.89
1025.39,3497.39
1026.17,3499.24
1026.94,3500.06
1027.72,3508.57
1028.49,3524.69
1029.27,3541.81
1030.04,3550.04
1030.82,3553.04
1031.6,3549.33
1032.37,3544.55
1033.15,3539.29
1033.92,3534.31
1034.7,3530.22
1035.47,3527.02
1036.25,3527.78
1037.02,3529.23
1037.8,3520.16
1038.57,3510.28
1039.35,3500.69
1040.12,3501.32
1040.89,3503.25
1041.67,3505.3
1042.44,3507.8
1043.22,3510.96
1043.99,3515.8
1044.77,3521.42
1045.54,3517.76
1046.31,3509.38
1047.09,3504.37
1047.86,3501.92
1048.64,3503.76
1049.41,3508.06
1050.18,3516.35
1050.95,3524.58
1051.73,3533.26
1052.5,3534.33
1053.27,3534.68
1054.05,3534.75
1054.82,3534.35
1055.59,3533.7
1056.37,3532.52
1057.14,3530.8
1057.91,3528.48
1058.69,3528.21
1059.46,3533.22
1060.23,3536.69
1061,3538.41
1061.77,3538.3
1062.55,3536.36
1063.32,3532.74
1064.09,3527.44
1064.86,3520.45
1065.63,3511.87
1066.41,3504.51
1067.18,3526.79
1067.95,3535.45
1068.72,3542.16
1069.49,3548.92
1070.27,3553
1071.04,3554.18
1071.81,3553.81
1072.58,3554.91
1073.35,3556.59
1074.12,3560.44
1074.89,3567.31
1075.66,3574.97
1076.43,3584.07
1077.2,3594.88
1077.98,3606.47
1078.75,3617.06
1079.52,3619.34
1080.29,3603.83
1081.06,3595.31
1081.83,3584.61
1082.6,3575.51
1083.37,3572.12
1084.14,3570.09
1084.91,3570.24
1085.68,3572.02
1086.45,3574.72
1087.22,3577.84
1087.99,3573.32
1088.76,3570.62
1089.52,3576.76
1090.3,3578.05
1091.06,3593.16
1091.83,3603.6
1092.6,3607.92
1093.37,3606.68
1094.14,3598.45
1094.91,3589.55
1095.68,3583.9
1096.45,3579.24
1097.22,3576.84
1097.98,3575.26
1098.75,3572.27
1099.52,3565.77
1100.29,3558.29
1101.06,3549.79
1101.83,3540.71
1102.59,3531.38
