Wave,QtzAlb
228.265,16155.3
229.117,15994.5
229.971,16019.3
230.825,16069.9
231.678,16074.1
232.53,16075.3
233.384,16071.9
234.237,16067.2
235.089,16059
235.942,16049.2
236.796,16037.6
237.649,16024.2
238.5,16009.4
239.353,15992.2
240.206,15973.5
241.057,15953.8
241.91,15934
242.763,15922.5
243.614,15916
244.466,15931.1
245.319,15947.5
246.169,15966.2
247.022,15989.6
247.872,16012.2
248.724,16036.7
249.576,16065.7
250.426,16097.8
251.278,16135.1
252.13,16173.1
252.98,16210.9
253.832,16244.8
254.682,16253.6
255.533,16263.3
256.383,16264.6
257.234,16256.2
258.086,16245.3
258.935,16238.4
259.786,16271.4
260.635,16288.8
261.486,16260.8
262.335,16233.3
263.186,16227.8
264.035,16215.7
264.886,16219.7
265.735,16226.1
266.585,16265
267.434,16296.4
268.284,16313.2
269.132,16300
269.983,16326.6
270.831,16364.9
271.681,16451.3
272.529,16548.3
273.379,16666.6
274.227,16756.7
275.075,16830.3
275.925,16856.9
276.772,16848.7
277.622,16837.6
278.469,16851
279.319,16859.6
280.166,16888.3
281.013,16936.2
281.863,16987.9
282.71,17022.8
283.559,17042.1
284.406,17046.9
285.252,17034.2
286.101,17047.5
286.948,17054
287.795,17035.5
288.643,17004.5
289.49,16961.1
290.336,16906.7
291.184,16835.3
292.031,16777.4
292.877,16722.1
293.725,16667.2
294.571,16613.1
295.417,16559.3
296.265,16505.7
297.11,16451.3
297.956,16397
298.802,16342
299.649,16287.6
300.495,16246.8
301.34,16206.6
302.185,16168.7
303.033,16131.1
303.878,16094.1
304.723,16057
305.568,16017.5
306.415,15976.2
307.26,15923.2
308.104,15876.8
308.949,15852.5
309.796,15840.2
310.64,15837.5
311.485,15841.9
312.329,15838.9
313.173,15853.8
314.018,15871.2
314.864,15898.1
315.708,15928.7
316.552,15958
317.396,15978.1
318.24,15969.3
319.083,15953.1
319.927,15929.2
320.773,15899.9
321.616,15878.2
322.46,15951.3
323.303,16027.7
324.146,16088.7
324.989,16101
325.833,16100.7
326.676,16105.3
327.519,16111.1
328.362,16111.6
329.206,16113.2
330.049,16120.2
330.892,16150.7
331.734,16179.6
332.577,16203.8
333.419,16219.4
334.262,16227.8
335.104,16218.9
335.946,16203.3
336.788,16185.6
337.63,16169.4
338.472,16167.2
339.314,16171.2
340.156,16179.8
340.998,16193.9
341.84,16201.5
342.681,16195.9
343.523,16183.3
344.364,16180.3
345.205,16183.2
346.047,16194.4
346.888,16211.6
347.729,16235.6
348.57,16265.9
349.409,16302.9
350.25,16346.5
351.091,16396.9
351.931,16453.9
352.772,16517.9
353.613,16572.4
354.453,16553.5
355.294,16505.8
356.134,16448.9
356.974,16361.9
357.812,16271.4
358.653,16192.6
359.493,16127.8
360.333,16094.9
361.173,16089.1
362.012,16079.1
362.852,16071.2
363.69,16069.3
364.529,16066.8
365.369,16067.6
366.208,16069.9
367.048,16074
367.885,16079.8
368.724,16086.7
369.563,16094.4
370.402,16093.7
371.241,16086
372.078,16050.9
372.917,15992.3
373.756,15962.3
374.594,15923.7
375.431,15954.1
376.269,15992.5
377.108,16018.3
377.944,16040.9
378.783,16055.7
379.621,16062.5
380.459,16065.3
381.295,16059.9
382.133,16052.7
382.971,16047.8
383.807,16057
384.644,16080.3
385.482,16110.1
386.318,16150.4
387.155,16200.6
387.993,16259
388.828,16324.3
389.665,16392.1
390.502,16459.8
391.338,16520.4
392.175,16570.9
393.012,16609.1
393.846,16643.4
394.683,16674.4
395.518,16705.4
396.355,16737.6
397.191,16771.9
398.026,16803
398.862,16829.2
399.697,16849
400.533,16853.6
401.367,16849.2
402.203,16836.4
403.039,16820
403.873,16815.7
404.709,16829.8
405.543,16855.1
406.379,16886.3
407.213,16913
408.048,16926.4
408.882,16920.5
409.717,16908.1
410.551,16891.9
411.386,16880.8
412.219,16883.6
413.054,16900.5
413.887,16917.1
414.722,16916.2
415.555,16891.9
416.39,16853.4
417.223,16812.5
418.056,16770.1
418.89,16737.4
419.723,16735.5
420.557,16876.4
421.39,17196.1
422.224,17565.3
423.056,17895.2
423.888,18164
424.722,18363.2
425.554,18517.4
426.386,18616.4
427.22,18668.1
428.052,18659.7
428.886,18602
429.717,18482.6
430.549,18382
431.382,18424.1
432.214,18528.1
433.045,18680
433.878,18250.3
434.71,18008.6
435.541,17852.9
436.374,17735.3
437.205,17637.9
438.035,17597.2
438.866,17591.4
439.699,17622.7
440.53,17690.3
441.36,17792
442.193,17920.6
443.023,18046.4
443.853,18180.8
444.684,18312.8
445.516,18432.7
446.346,18514.4
447.176,18670.4
448.006,18858.6
448.836,19121
449.668,19440.1
450.497,19727.1
451.327,20021.5
452.157,20345.9
452.986,20693.9
453.818,21068.7
454.647,21470.4
455.476,21897.4
456.306,22313.1
457.135,22708.5
457.966,22990.1
458.795,23136.2
459.624,23153.7
460.453,23041.4
461.281,22886.2
462.11,22622.2
462.939,22309.4
463.767,21963.1
464.598,21631.3
465.426,21320.1
466.254,21070
467.083,20888.9
467.911,20703.7
468.739,20562.3
469.567,20433.1
470.395,20334.5
471.223,20217.4
472.05,20098.6
472.878,19997.6
473.706,19914.8
474.533,19851.7
475.361,19807.8
476.188,19782.3
477.015,19775.2
477.843,19782
478.67,19812.1
479.497,20059.9
480.324,20659
481.151,20619
481.978,19485
482.805,19146.8
483.631,19059.4
484.458,18962.4
485.285,18889.9
486.111,18849.6
486.938,18829.3
487.764,18824.6
488.59,18835.3
489.416,18858.3
490.243,18897.3
491.069,18949.3
491.895,18964.3
492.719,18984.9
493.544,19021.6
494.37,19079.3
495.196,19156.5
496.021,19252.8
496.847,19365.7
497.672,19497.3
498.498,19648
499.321,19813.2
500.146,19967.9
500.972,20084.3
501.797,20227.8
502.622,20344.7
503.447,20426.3
504.269,20470
505.094,20478
505.919,20472.2
506.744,20405.8
507.566,20288.4
508.391,20145.1
509.215,19991.2
510.039,19820.3
510.864,19649.3
511.686,19516.9
512.51,19415.1
513.334,19364.1
514.158,19258
514.98,19157.5
515.804,19054.1
516.627,18935.1
517.449,18810
518.273,18682
519.096,18551.5
519.92,18421.9
520.741,18301.9
521.564,18188.4
522.388,18083.1
523.209,18004.2
524.032,17974
524.855,17946.8
525.676,17912.5
526.499,17884.1
527.321,17858.9
528.142,17835.5
528.965,17814.7
529.785,17795.5
530.608,17778.8
531.43,17763.4
532.251,17751.6
533.073,17735.3
533.893,17708
534.715,17671.6
535.537,17611.9
536.357,17573.2
537.179,17574.7
537.999,17570.1
538.821,17566
539.64,17558.1
540.462,17551.6
541.281,17541.8
542.103,17530.4
542.924,17517.5
543.743,17503
544.565,17489.5
545.384,17493.3
546.205,17492.1
547.024,17488.2
547.845,17457.7
548.664,17448.7
549.482,17456.7
550.303,17477
551.122,17513.6
551.942,17580.2
552.761,17598.7
553.581,17601
554.4,17573.2
555.22,17529.4
556.038,17504.1
556.856,17491.1
557.676,17495.7
558.494,17515.5
559.314,17556.3
560.132,17584.8
560.95,17602
561.769,17607.1
562.587,17604.5
563.406,17593.9
564.224,17598.6
565.041,17613.6
565.861,17613.5
566.678,17609.5
567.495,17607.7
568.314,17607.4
569.131,17607.2
569.948,17608.2
570.767,17609.7
571.584,17613
572.4,17634.7
573.217,17664.8
574.036,17698.2
574.852,17726.2
575.669,17763.8
576.487,17794.7
577.303,17800
578.119,17787
578.936,17747.8
579.754,17719.8
580.57,17706
581.385,17689.7
582.201,17682.9
583.017,17686.4
583.835,17721
584.65,17753
585.466,17774.7
586.281,17786.5
587.097,17780.6
587.914,17766.5
588.729,17746.2
589.545,17715.3
590.36,17701.9
591.175,17714.3
591.99,17739.9
592.807,17767.9
593.621,17796.2
594.436,17813.2
595.251,17808.1
596.065,17781.5
596.88,17751.7
597.694,17723.8
598.509,17715.9
599.323,17722.1
600.139,17740.5
600.953,17784.1
601.768,17827.9
602.582,17830.3
603.395,17834
604.209,17845.6
605.023,17858.4
605.837,17882.4
606.65,17904.5
607.464,17915.8
608.278,17903.8
609.091,17886.1
609.904,17864.8
610.718,17833.9
611.531,17824
612.344,17825.2
613.157,17859.5
613.97,17906
614.783,17946.5
615.596,17972.1
616.409,17992.6
617.221,18006.3
618.034,18019.1
618.846,18023.3
619.659,18018.9
620.471,18004.5
621.284,17973.1
622.096,17943.6
622.906,17912.5
623.718,17919.4
624.53,17949.9
625.342,17971.3
626.154,17986.5
626.966,17996.4
627.778,18003.7
628.589,18008.7
629.399,18006.2
630.211,18003.5
631.022,18010.1
631.833,18022.7
632.645,18043.2
633.456,18046.5
634.265,18039.7
635.076,18024.3
635.887,18004.4
636.698,17963.2
637.509,17944.3
638.318,17930
639.129,17917.6
639.939,17911.7
640.75,17910.2
641.56,17917.5
642.369,17926.9
643.179,17940.1
643.99,17945.9
644.8,17899.3
645.608,17901.4
646.418,17902.3
647.228,17905.1
648.036,17899.6
648.846,17892.8
649.656,17888.5
650.465,17888
651.273,17892.9
652.083,17904.4
652.892,17824.8
653.7,17747.7
654.509,17768.1
655.318,17798.5
656.125,17818.2
656.935,17833.7
657.744,17841.2
658.551,17846.6
659.36,17846.6
660.166,17842.8
660.975,17836.7
661.784,17829.7
662.591,17831.9
663.399,17838.9
664.206,17850
665.014,17861.5
665.822,17873.7
666.629,17888.6
667.437,17902.1
668.243,17899.3
669.051,17864.3
669.857,17833.2
670.665,17834.1
671.471,17828.4
672.279,17829.7
673.084,17839.9
673.892,17855.1
674.698,17873.4
675.505,17889.6
676.31,17897.1
677.118,17894.2
677.923,17888.2
678.73,17880.5
679.535,17875.9
680.343,17874.9
681.148,17881.6
681.954,17895.7
682.759,17912.7
683.566,17934.7
684.371,17962.3
685.175,17995.5
685.982,18027.6
686.786,18043.5
687.593,17997
688.397,17941.5
689.201,17947
690.008,17957.2
690.812,17962.2
691.618,17974.3
692.422,17980.3
693.226,17984.4
694.032,17982.3
694.835,17979.5
695.639,17978.3
696.445,17977.1
697.248,17974.9
698.052,17969.4
698.857,17951.9
699.661,17922.2
700.464,17900.2
701.267,17873.5
702.072,17870.1
702.875,17883.8
703.678,17900
704.483,17907.3
705.286,17910.6
706.089,17912.5
706.891,17902
707.696,17890.1
708.499,17879.8
709.301,17873.1
710.104,17871
710.906,17872.5
711.71,17878.3
712.512,17887.2
713.314,17901.7
714.117,17919.7
714.919,17940.7
715.722,17959.4
716.524,17962.2
717.326,17952.6
718.128,17932.3
718.929,17905.1
719.731,17867.9
720.532,17838.2
721.336,17859.4
722.137,17885.9
722.938,17901.8
723.74,17914.4
724.541,17919.4
725.342,17922.4
726.143,17923
726.944,17922.3
727.745,17919.9
728.545,17916
729.348,17910.2
730.149,17902.9
730.949,17892.4
731.75,17883.2
732.55,17882.7
733.351,17888.1
734.151,17893.4
734.951,17895.2
735.751,17893.5
736.551,17885
737.351,17864.3
738.151,17841.7
738.951,17850.8
739.751,17879
740.551,17865.7
741.35,17843.2
742.15,17827.2
742.949,17832.1
743.749,17858.5
744.548,17892.7
745.346,17911.8
746.145,17922.7
746.944,17925.2
747.743,17911.7
748.542,17895.1
749.341,17872.5
750.14,17854.3
750.939,17860
751.737,17856.6
752.536,17856
753.333,17857.8
754.131,17861.7
754.93,17867.6
755.728,17875.1
756.526,17883.9
757.324,17894
758.123,17904.6
758.919,17911.9
759.717,17884.6
760.515,17840.4
761.313,17801.9
762.11,17774.3
762.906,17770.4
763.704,17786.4
764.501,17828.4
765.299,17871.1
766.094,17908.7
766.892,17946.2
767.689,17955
768.486,17949.7
769.281,17935.4
770.079,17922.3
770.876,17908.7
771.673,17895.7
772.468,17884.5
773.264,17877.3
774.061,17874.2
774.856,17871.2
775.652,17878.8
776.449,17896.4
777.245,17922.1
778.04,17944.4
778.836,17965.2
779.632,17983.7
780.427,17992.8
781.223,18001.1
782.017,18008.5
782.813,18014.2
783.609,18020
784.403,18026.4
785.198,18035.8
785.994,18046.6
786.788,18066.1
787.583,18091.9
788.377,18123.4
789.172,18149.4
789.966,18168.5
790.761,18178.8
791.556,18187.4
792.349,18075.7
793.144,17991.3
793.937,17944.3
794.732,17949.4
795.525,17993.2
796.32,18023.1
797.113,18050
797.907,18070.5
798.7,18088.4
799.494,18109.1
800.287,18126.6
801.081,18141.1
801.873,18147.7
802.668,18139.1
803.46,18125.7
804.254,18105.4
805.046,18077.3
805.838,18042.3
806.632,17998.1
807.424,17973.2
808.217,17987.2
809.009,17996.9
809.801,17989.9
810.594,17943.7
811.386,17893.6
812.179,17858.4
812.97,17827.9
813.762,17802.8
814.555,17790.7
815.346,17784.6
816.137,17786.6
816.93,17795.3
817.721,17810.3
818.514,17827.2
819.305,17831.7
820.095,17844.9
820.886,17841.9
821.678,17835.5
822.469,17824
823.259,17807.6
824.052,17785.3
824.842,17758.6
825.632,17734.2
826.422,17720.4
827.214,17743.6
828.004,17761.8
828.794,17786.1
829.584,17784
830.376,17769.6
831.166,17761.6
831.956,17762.9
832.745,17767.3
833.537,17773.7
834.326,17781.9
835.115,17796.9
835.905,17812.9
836.694,17828.3
837.483,17839.4
838.274,17834.5
839.063,17827
839.852,17813.1
840.641,17792.9
841.43,17766.6
842.219,17735.1
843.008,17708.7
843.798,17695.1
844.587,17700.5
845.375,17764.4
846.164,17758.1
846.952,17769.2
847.74,17795.3
848.528,17810
849.317,17825
850.105,17835
850.893,17851.6
851.681,17828.3
852.469,17762.1
853.256,17689.1
854.046,17646.3
854.834,17610.1
855.621,17584.5
856.409,17568.5
857.196,17565.4
857.984,17572.5
858.771,17584.8
859.558,17600.8
860.345,17611.1
861.132,17603.6
861.917,17596.8
862.704,17590.1
863.491,17583.5
864.278,17577.6
865.065,17574.7
865.852,17576.7
866.638,17583.5
867.425,17594.2
868.211,17606.8
868.998,17619.5
869.784,17633.1
870.57,17652.3
871.357,17670.2
872.141,17650.3
872.927,17643.6
873.713,17615.9
874.499,17567.9
875.285,17553.4
876.07,17545
876.856,17545.9
877.64,17576.4
878.425,17618.1
879.211,17656.3
879.996,17684.3
880.782,17702.5
881.565,17711.6
882.35,17711.9
883.136,17706.3
883.921,17692.5
884.706,17676.6
885.489,17662.4
886.274,17652
887.058,17646.6
887.843,17643.6
888.626,17642.6
889.411,17646.5
890.195,17654.4
890.978,17668.9
891.762,17688.1
892.546,17710.3
893.331,17734.5
894.113,17724
894.897,17722.8
895.681,17718.8
896.463,17704
897.247,17698.1
898.031,17709.3
898.813,17708.1
899.597,17706.6
900.38,17716.7
901.162,17705.2
901.945,17685.8
902.727,17652
903.51,17640.5
904.294,17635.2
905.075,17624.8
905.858,17614.2
906.639,17607
907.422,17604.6
908.205,17610.5
908.986,17620.7
909.769,17635.6
910.55,17655.1
911.333,17676.8
912.113,17691.6
912.896,17695.1
913.677,17688.2
914.459,17680.1
915.239,17666.6
916.022,17664
916.802,17679.4
917.584,17672.3
918.364,17657
919.146,17632.9
919.926,17601.6
920.708,17584.5
921.488,17603.9
922.27,17618.2
923.05,17619.2
923.829,17605.4
924.611,17598.2
925.39,17596.8
926.172,17594.4
926.951,17595.9
927.732,17605.7
928.512,17621.9
929.291,17643.2
930.072,17645.7
930.851,17637.6
931.63,17623.8
932.411,17600.5
933.19,17576
933.968,17538.6
934.749,17525
935.528,17530.8
936.306,17536.8
937.087,17541.9
937.865,17540.3
938.106,17533.1
938.893,17527.9
939.677,17522
940.461,17518
941.247,17514
942.031,17510
942.814,17508.1
943.6,17502.5
944.384,17485.3
945.167,17452.5
945.953,17415.7
946.737,17392
947.52,17364.3
948.303,17362
949.089,17373.5
949.872,17392.7
950.655,17422.2
951.438,17460.8
952.223,17502.8
953.006,17526.4
953.789,17541.1
954.572,17547.5
955.356,17538.9
956.139,17519.4
956.922,17493.2
957.704,17464.1
958.487,17438.7
959.271,17424.1
960.053,17407
960.836,17394.3
961.618,17383.7
962.4,17377.4
963.182,17380.9
963.966,17395
964.748,17412.4
965.53,17423
966.311,17428.4
967.093,17431.6
967.875,17439.3
968.656,17447.6
969.44,17456.8
970.221,17465.2
971.003,17474.7
971.784,17464.2
972.565,17458
973.346,17458.2
974.127,17465.5
974.908,17484.2
975.689,17423.8
976.47,17371.7
977.251,17355.9
978.032,17373.5
978.814,17423.7
979.595,17459.1
980.376,17484
981.156,17486.5
981.936,17472
982.717,17450.1
983.497,17420.9
984.277,17404.5
985.057,17382
985.837,17363.6
986.617,17345.1
987.397,17331.2
988.177,17323.8
988.957,17330.8
989.737,17364
990.515,17394.8
991.294,17407
992.074,17399.2
992.853,17346.3
993.633,17323.5
994.412,17303.7
995.191,17281.5
995.97,17262.4
996.749,17237.1
997.528,17215.2
998.307,17196.3
999.086,17187.5
999.863,17247.7
1000.64,17277
1001.42,17275.2
1002.2,17287.3
1002.98,17294.9
1003.76,17267.7
1004.53,17242.4
1005.31,17250.7
1006.09,17260.9
1006.87,17264.2
1007.65,17263.1
1008.42,17254.5
1009.2,17244.2
1009.98,17226.8
1010.76,17205.3
1011.53,17180.7
1012.31,17158
1013.09,17170.2
1013.86,17189.5
1014.64,17224.8
1015.42,17220.5
1016.2,17150.5
1016.97,17134.6
1017.75,17136.6
1018.53,17159.3
1019.3,17190.8
1020.08,17192.2
1020.86,17188.7
1021.63,17178.6
1022.41,17159.8
1023.19,17132.2
1023.96,17116.2
1024.74,17113.4
1025.51,17122.1
1026.29,17139.5
1027.07,17166.6
1027.84,17197.5
1028.62,17186
1029.39,17149.9
1030.17,17120.3
1030.94,17096.8
1031.72,17080.8
1032.49,17075.5
1033.27,17074.7
1034.05,17074.9
1034.82,17075.6
1035.6,17071.5
1036.37,17062.6
1037.14,17040.5
1037.92,16993.3
1038.69,16976.6
1039.47,16977.5
1040.24,16980.9
1041.02,16987.3
1041.79,16992.4
1042.57,16995.1
1043.34,16995.8
1044.11,16993.3
1044.89,16987.3
1045.66,16977.8
1046.44,16964.2
1047.21,16946.8
1047.98,16927.4
1048.76,16906.1
1049.53,16883.9
1050.3,16864.4
1051.08,16851.8
1051.85,16851.6
1052.62,16862.1
1053.4,16867.1
1054.17,16880.5
1054.94,16861.1
1055.72,16872.8
1056.49,16893.2
1057.26,16912.9
1058.03,16929.7
1058.81,16939.4
1059.58,16948.2
1060.35,16957.1
1061.13,16973.4
1061.9,16990.1
1062.67,17003.7
1063.44,17010.8
1064.21,17012.9
1064.99,17009.2
1065.76,16999.4
1066.53,16984
1067.3,16962.8
1068.07,16937
1068.84,16908.9
1069.62,16895.5
1070.39,16892
1071.16,16903.1
1071.93,16958.3
1072.7,17033.6
1073.47,17079.8
1074.24,17087.1
1075.01,16781.5
1075.78,16782.3
1076.56,16749.7
1077.33,16848
1078.1,16863.9
1078.87,16864.6
1079.64,16862.1
1080.41,16857.3
1081.18,16852.5
1081.95,16847.6
1082.72,16842.3
1083.49,16841.1
1084.26,16859
1085.03,16884.4
1085.8,16896.7
1086.57,16898.3
1087.34,16895.9
1088.11,16891.4
1088.88,16885.2
1089.65,16877.1
1090.42,16867.5
1091.19,16856.2
1091.95,16844.3
1092.72,16827.2
1093.49,16806.2
1094.26,16783.8
1095.03,16762.6
1095.8,16751.6
1096.57,16755.2
1097.34,16761.7
1098.1,16774.9
1098.87,16790.9
1099.64,16815
1100.41,16842.3
1101.18,16872.4
1101.95,16900.5
1102.72,16921.6
1103.48,16929.4
1104.25,16896.5
1105.02,16873.7
1105.79,16838.2
1106.55,16789.8
1107.32,16769.5
1108.09,16781.5
1108.86,16799.3
1109.62,16807.2
1110.39,16813.1
1111.16,16817.5
1111.93,16819
1112.69,16818.2
1113.46,16815.1
1114.23,16808.5
1115,16801
1115.76,16798.6
1116.53,16804.4
1117.29,16809.8
1118.06,16817.1
1118.83,16823.3
1119.59,16831.7
1120.36,16842.7
1121.13,16855.6
1121.89,16871.2
1122.66,16887.5
1123.42,16876.3
1124.19,16865.9
1124.96,16849.2
1125.72,16829.4
1126.49,16806.3
1127.25,16784.6
1128.02,16779.4
1128.78,16779
1129.55,16783.4
1130.32,16791.7
1131.08,16802.6
1131.85,16785.3
1132.61,16767.4
1133.37,16751.3
1134.14,16740.3
1134.91,16731.3
1135.67,16724.4
1136.44,16721.3
1137.2,16720
1137.96,16722.9
1138.73,16728.1
1139.49,16734.4
1140.26,16738.2
1141.02,16711.5
1141.78,16681.6
1142.55,16635.6
1143.31,16627.7
1144.08,16624.3
1144.84,16623
1145.6,16622.2
1146.37,16616.5
1147.13,16612.2
1147.9,16608
1148.66,16602.4
1149.42,16597.4
1150.19,16591.1
1150.95,16584.9
1151.71,16581.6
1152.47,16584.5
1153.24,16599.7
1154,16615
1154.76,16589.7
1155.53,16584.1
1156.29,16601.3
1157.05,16639.3
1157.81,16684.9
1158.58,16680.4
1159.34,16672
1160.1,16661.3
1160.86,16648
1161.63,16631.3
1162.39,16611.6
1163.15,16586.8
1163.91,16595.2
1164.67,16630.9
1165.43,16577.6
1166.2,16497.5
1166.96,16429
1167.72,16383.8
1168.48,16395
1169.24,16432.4
1170,16478.3
1170.76,16457.3
1171.53,16456.3
1172.29,16452.9
1173.05,16449.6
1173.81,16427.8
1174.57,16404
1175.33,16377.8
1176.09,16367.7
1176.85,16383.1
1177.61,16387.7
1178.37,16363.2
1179.13,16345.6
1179.89,16337.2
1180.65,16338
1181.41,16349.8
1182.17,16372.4
1182.93,16407.2
1183.69,16412.9
1184.45,16419.6
1185.21,16387.2
1185.97,16325
1186.73,16280.9
1187.49,16260.9
1188.25,16258.8
1189.01,16257.1
1189.77,16245
1190.53,16241.2
1191.29,16240.6
1192.05,16244.5
1192.81,16250.8
1193.56,16262
1194.32,16270.8
1195.08,16257.4
1195.84,16254.2
1196.6,16260
1197.36,16276.8
1198.12,16305.8
1198.87,16344.8
1199.63,16367.5
1200.39,16383
1201.15,16361.5
1201.91,16349.4
1202.66,16316.2
1203.42,16290.2
1204.18,16274.2
1204.94,16394.1
