Wave,Augite
410.936,4921.36
411.77,4912.19
412.605,4915.43
413.438,4945.42
414.273,4961.62
415.108,4965.43
415.941,4955.5
416.776,4932.59
417.608,4891.89
418.443,4848.97
419.278,4810.94
420.11,4778.86
420.945,4751.36
421.777,4729.24
422.611,4712.62
423.445,4700.57
424.278,4693.6
425.112,4690.57
425.944,4690.35
426.777,4686.83
427.609,4669.58
428.443,4653.78
429.275,4635.22
430.108,4622.23
430.94,4616.25
431.773,4612.24
432.605,4614.33
433.438,4622.46
434.269,4632.66
435.102,4644.01
435.933,4650.97
436.767,4656.48
437.597,4658.15
438.43,4651.81
439.261,4638.77
440.092,4613.12
440.924,4583.34
441.755,4569.95
442.587,4556.65
443.418,4552.65
444.25,4560.19
445.08,4582.31
445.91,4590.23
446.743,4603.38
447.573,4601.3
448.402,4596.13
449.234,4574.99
450.064,4552.47
450.896,4515.36
451.726,4485.52
452.555,4503.52
453.387,4534.61
454.216,4562.31
455.045,4563.79
455.877,4567.86
456.706,4571.33
457.535,4574.48
458.366,4578.05
459.195,4581.78
460.024,4586.09
460.853,4590.91
461.683,4595.1
462.512,4598.71
463.341,4597.73
464.171,4601.38
464.999,4608.54
465.828,4624.31
466.656,4608.89
467.486,4582.42
468.314,4579.51
469.143,4585.15
469.97,4593.49
470.798,4608.25
471.628,4599.04
472.456,4595.6
473.284,4592.14
474.111,4589.09
474.939,4585.2
475.768,4583.06
476.596,4582.65
477.423,4583.63
478.25,4586.01
479.077,4589.46
479.904,4595.28
480.733,4602.37
481.56,4610.77
482.387,4620.12
483.214,4628.71
484.041,4636.7
484.867,4635.99
485.694,4634.68
486.52,4632.09
487.349,4628.07
488.175,4624.83
489.001,4628.1
489.827,4633.82
490.654,4642.43
491.48,4654.19
492.306,4668.18
493.131,4665
493.957,4660
494.783,4658
495.609,4655
496.434,4650
497.26,4648
498.085,4645
498.91,4640
499.736,4638.32
500.561,4654.33
501.386,4671.58
502.211,4695.09
503.036,4722.9
503.861,4752.67
504.686,4776.5
505.511,4794.47
506.335,4805.38
507.16,4812.78
507.984,4816.8
508.809,4822.44
509.633,4857.79
510.458,4929.52
511.282,4990.63
512.106,5051.7
512.93,5098.67
513.752,5129.15
514.576,5136.44
515.4,5126.17
516.224,5095.15
517.047,5057.79
517.871,5031.11
518.695,5010.3
519.518,4997.06
520.34,4993.18
521.163,5005.32
521.986,5043.55
522.809,5104.62
523.633,5233.87
524.456,5316.84
525.276,5397.88
526.099,5479.8
526.922,5559.53
527.745,5638.95
528.568,5703.91
529.388,6457.25
530.211,5742.71
531.033,5642.59
531.856,5511.56
532.678,5431.14
533.498,5330.92
534.32,5254.29
535.142,5183.58
535.962,5121.2
536.784,5066.65
537.606,5019.54
538.428,4978.08
539.248,4941.49
540.069,4907.88
540.891,4894.04
541.71,4884.51
542.532,4876.25
543.353,4870.82
544.174,4867.45
544.994,4866.71
545.815,4870.69
546.636,4877.22
547.455,4887.72
548.276,4900.73
549.094,4916.91
549.915,4933.54
550.736,4905.64
551.554,4890.89
552.375,4890.98
553.195,4903.65
554.014,4932.75
554.834,4967.9
555.652,4988.15
556.473,5007.17
557.293,5029.23
558.111,5021.41
558.931,5000.38
559.748,4973.91
560.568,4941.17
561.386,4899.63
562.206,4890
563.023,4883
563.843,4875
564.66,4865
565.479,4860
566.297,4855
567.116,4850
567.933,4842.42
568.752,4831.65
569.569,4789.82
570.388,4757.94
571.205,4789.32
572.023,4822.84
572.84,4862.47
573.659,4879.84
574.475,4898.9
575.294,4879.7
576.11,4850.42
576.929,4830.9
577.745,4820.98
578.561,4819.88
579.379,4829.49
580.195,4831.59
581.013,4831.88
581.829,4822.85
582.645,4818.76
583.462,4817.49
584.278,4818.87
585.096,4835.83
585.911,4852.09
586.727,4870.47
587.544,4884.72
588.359,4893.65
589.174,4895.09
589.992,4891.13
590.807,4879.22
591.622,4864.82
592.439,4852.36
593.253,4843.97
594.068,4856.08
594.883,4867.47
595.7,4877.24
596.514,4885.08
597.329,4889.5
598.145,4891.88
598.959,4891.73
599.774,4891.13
600.588,4906.5
601.404,4922.16
602.218,4931.67
603.032,4936.25
603.846,4929.67
604.66,4922.18
605.475,4916.51
606.289,4909.11
607.103,4929.66
607.916,4955.64
608.73,4994.36
609.545,5019.56
610.358,5035.97
611.172,5047.45
611.985,5054.45
612.798,5058.26
613.611,5057.43
614.426,5053.3
615.239,5048.11
616.052,5041.47
616.864,5054.82
617.677,5072.22
618.49,5092.54
619.302,5113.69
620.115,5126.47
620.929,5138.48
621.741,5148.86
622.553,5155.88
623.366,5159.8
624.178,5163.47
624.99,5171.94
625.802,5184.23
626.613,5194.67
627.425,5204.89
628.237,5215.8
629.049,5227.51
629.86,5239.92
630.672,5251.07
631.483,5262.08
632.294,5269.65
633.106,5275.17
633.917,5282.68
634.728,5292.73
635.539,5309.01
636.35,5327.87
637.161,5350
637.972,5376.62
638.783,5406.54
639.593,5440.76
640.404,5475.72
641.214,5491.56
642.025,5509.58
642.835,5534.26
643.646,5568.11
644.456,5608.53
645.264,5654.73
646.074,5706.05
646.884,5762.83
647.694,5825.99
648.504,5894.13
649.314,5968.97
650.124,6051.35
650.933,6144.28
651.743,6252.92
652.551,6381.47
653.36,6526.66
654.169,6692.33
654.979,6874.1
655.788,7103.49
656.597,7405.01
657.404,7812.4
658.213,8304.08
659.022,8899.37
659.831,9559.35
660.64,10281.2
661.447,11057
662.255,11890.2
663.064,12722.3
663.873,13512
664.679,14112.8
665.487,14017.7
666.296,13617.6
667.104,13274.1
667.91,12576.8
668.718,11974.9
669.526,11251.9
670.332,10693.3
671.14,10163.1
671.948,9667.78
672.756,9206.82
673.561,8781.37
674.369,8390.44
675.176,8034.75
675.982,7714.74
676.789,7429.77
677.597,7181.65
678.402,6970.36
679.209,6794.78
680.014,6654.69
680.821,6549.04
681.628,6475.86
682.433,6397.77
683.24,6319.05
684.047,6242.83
684.851,6170.13
685.658,6102.77
686.462,6042.63
687.269,5988.65
688.073,5939.45
688.879,5896.17
689.686,5857.62
690.49,5823.83
691.296,5794.24
692.1,5768.88
692.906,5746.46
693.71,5731.17
694.516,5718.94
695.319,5709.19
696.125,5698.36
696.928,5678.65
697.734,5662.57
698.537,5647.13
699.343,5630.58
700.146,5616.42
700.951,5631.97
701.755,5655.59
702.56,5677.45
703.363,5694.84
704.168,5704.38
704.97,5707.29
705.773,5698.4
706.578,5684.71
707.381,5667.73
708.185,5647.86
708.988,5632.39
709.79,5618.71
710.594,5602.66
711.397,5580.73
712.201,5535.21
713.003,5488.9
713.805,5515.69
714.609,5499.44
715.411,5488.49
716.213,5493.12
717.017,5497.33
717.819,5505.66
718.62,5513.85
719.424,5521.51
720.225,5528.01
721.027,5527.91
721.83,5525.73
722.632,5521.81
723.433,5512.98
724.236,5499.36
725.037,5485.61
725.838,5472.17
726.639,5464.93
727.442,5464.35
728.243,5474.25
729.043,5487.13
729.844,5500.86
730.647,5507.84
731.447,5513.66
732.248,5514.4
733.048,5510.68
733.848,5503.47
734.651,5483.28
735.451,5479.02
736.251,5497.9
737.051,5520.49
737.851,5553.08
738.653,5553.57
739.453,5569.51
740.252,5580.06
741.052,5586.62
741.852,5586.44
742.651,5581.1
743.451,5566.02
744.252,5541.29
745.051,5513.09
745.85,5490.06
746.65,5495.6
747.449,5504.64
748.248,5526.13
749.047,5551.27
749.846,5575.34
750.644,5592.69
751.443,5602.99
752.242,5607.09
753.041,5600.08
753.841,5587.19
754.64,5576.5
755.438,5566.63
756.236,5556.81
757.035,5553.58
757.833,5562.39
758.631,5577.94
759.429,5588.53
760.227,5596.35
761.025,5602.55
761.823,5605.88
762.62,5607.94
763.418,5601.54
764.216,5593.87
765.011,5586.3
765.809,5579.93
766.606,5584.11
767.403,5589.44
768.201,5603.12
768.998,5618.03
769.795,5633.69
770.592,5645.13
771.389,5651.16
772.186,5655.76
772.983,5657.25
773.78,5656.03
774.574,5652.53
775.371,5648.93
776.168,5650.05
776.964,5658.75
777.76,5663.33
778.557,5667.66
779.353,5671.35
780.147,5675.48
780.943,5677.64
781.74,5679.47
782.536,5680.29
783.332,5682.95
784.125,5693.41
784.921,5711.94
785.717,5731.36
786.513,5729.87
787.308,5724.18
788.102,5714.09
788.897,5699.86
789.693,5683.14
790.488,5664.3
791.281,5646.39
792.076,5650.61
792.871,5677.14
793.666,5701.59
794.459,5722.24
795.254,5737
796.049,5743.81
796.842,5745.65
797.636,5742.11
798.431,5734
799.224,5723.09
800.018,5708.55
800.812,5717.52
801.605,5741.09
802.399,5730.9
803.193,5735
803.985,5740
804.779,5745
805.573,5748.05
806.365,5723.52
807.159,5711.55
807.951,5709.93
808.745,5725.15
809.538,5741.03
810.33,5754.18
811.123,5765.27
811.915,5772.15
812.708,5777.87
813.499,5784.45
814.292,5791.04
815.084,5799.82
815.877,5815.17
816.67,5831.13
817.461,5845.74
818.253,5858.21
819.044,5866.68
819.837,5870.59
820.628,5871.62
821.42,5870.45
822.211,5866.98
823.003,5859.27
823.794,5850.07
824.584,5840.54
825.376,5831.8
826.166,5824.27
826.958,5821.98
827.748,5819.91
828.54,5816.69
829.33,5814.95
830.122,5814.5
830.912,5816.67
831.701,5820.8
832.493,5828.48
833.283,5839.99
834.074,5857.87
834.863,5875.3
835.653,5891.85
836.444,5902.49
837.233,5908.29
838.022,5901.54
838.813,5892.09
839.602,5881.41
840.391,5871.83
841.182,5872.52
841.971,5875.5
842.76,5884.49
843.55,5902.03
844.339,5966.4
845.127,5975
845.918,5985
846.706,6005
847.495,6025
848.283,6042.53
849.073,6071.54
849.861,6095.14
850.649,6161.64
851.437,6222.4
852.227,6274.7
853.015,6322.92
853.802,6373.05
854.59,6417.45
855.378,6445.98
856.167,6436.03
856.955,6379.1
857.742,6329.68
858.529,6285.58
859.317,6244.07
860.106,6208.81
860.893,6182.38
861.68,6157.88
862.467,6136.73
863.254,6119.14
864.041,6104.46
864.828,6088.94
865.616,6074.65
866.403,6073.84
867.189,6078.9
867.976,6088.47
868.762,6105.52
869.549,6112.19
870.335,6079.65
871.121,6082.86
871.907,6081.3
872.694,6074.64
873.48,6080
874.266,6085
875.053,6090
875.839,6095
876.625,6100
877.411,6105
878.196,6113.22
878.982,6090.56
879.767,6112.07
880.553,6100.22
881.338,6103.17
882.123,6101.82
882.908,6091.1
883.694,6081.67
884.477,6077.95
885.262,6080.93
886.047,6091.02
886.831,6115.39
887.616,6129.83
888.401,6144.7
889.186,6159.23
889.97,6171.85
890.755,6180.53
891.539,6184.37
892.323,6180.48
893.108,6171.29
893.89,6162.21
894.674,6159.62
895.458,6163.93
896.242,6183.61
897.026,6223.87
897.81,6210
898.594,6200
899.376,6221.96
900.16,6191.08
900.943,6167.04
901.727,6153.02
902.51,6147.33
903.294,6160.77
904.075,6183
904.858,6212.5
905.641,6243.17
906.425,6264.99
907.206,6285.57
907.989,6300.5
908.772,6310.04
909.555,6310.22
910.335,6309.68
911.118,6316.33
911.901,6331.54
912.683,6352.71
913.464,6379.51
914.246,6389.46
915.029,6373.06
915.809,6370.29
916.591,6366.21
917.373,6367.49
918.154,6373.93
918.936,6382.33
919.718,6394.5
920.498,6410.53
921.279,6425.82
922.061,6439.54
922.841,6452.89
923.623,6464.41
924.404,6475.38
925.184,6485.51
925.965,6493.6
926.745,6499.76
927.526,6504.86
928.307,6505.39
929.086,6502.36
929.867,6495.85
930.646,6489.38
931.427,6479.2
932.206,6464.94
932.987,6450.84
933.768,6438.3
934.547,6425.92
935.327,6425.83
936.106,6431.25
936.886,6439.1
937.665,6447.67
938.445,6452.86
939.223,6451.34
940.004,6445.09
940.782,6438.48
941.562,6435.15
942.34,6436.68
943.118,6450.63
943.898,6463.11
944.676,6471.48
945.455,6478.74
946.233,6483.56
947.013,6479.2
947.79,6470.98
948.568,6467.46
949.347,6472.21
950.124,6484.6
950.904,6504.53
951.681,6524.83
952.458,6544.5
953.237,6562.65
954.014,6578.59
954.791,6592.14
955.57,6605.55
956.347,6619.42
957.125,6633.35
957.902,6646.98
958.679,6659.68
959.455,6673.76
960.234,6677.13
961.01,6674.49
961.787,6676.09
962.565,6681.93
963.341,6694.49
964.117,6719.3
964.893,6744.74
965.671,6777.93
966.447,6805.59
967.223,6841.13
967.999,6857.96
968.776,6858.08
969.552,6847.67
970.328,6837.77
971.103,6821.12
971.881,6823.65
972.656,6837.74
973.432,6873.23
974.207,6919.09
974.982,6968.32
975.759,7008.84
976.534,7044.26
977.309,7073.37
978.084,7094.58
978.131,7094.57
978.913,7109.68
979.694,7118.96
980.474,7122.93
981.255,7122.12
982.035,7126.08
982.816,7158.1
983.598,7197.33
984.378,7247.54
985.158,7298.81
985.938,7353.1
986.718,7410.76
987.498,7472.59
988.278,7536.43
989.06,7604.21
989.839,7675.98
990.619,7753.29
991.399,7839.32
992.178,7931.86
992.958,8033.49
993.737,8144.67
994.516,8268.17
995.295,8404.48
996.075,8552.76
996.854,8710.86
997.633,8881.09
998.412,9063.23
999.191,9262
999.969,9537.89
1000.75,9885.82
1001.53,10292.5
1002.31,10786.1
1003.09,11358.4
1003.86,12055.4
1004.64,12867.2
1005.42,13801.1
1006.2,14851.8
1006.98,16329.5
1007.75,17773
1008.53,19319.5
1009.31,21147.9
1010.09,22160.4
1010.87,22739.8
1011.64,22298.3
1012.42,21497.8
1013.2,19879.2
1013.98,17912.8
1014.75,16018.4
1015.53,14542.8
1016.31,13233.5
1017.09,12142.7
1017.86,11282.3
1018.64,10538.4
1019.42,9914.54
1020.19,9469.74
1020.97,9138.63
1021.75,8909.81
1022.52,8735.22
1023.3,8571.79
1024.08,8444.79
1024.85,8310.86
1025.63,8209.55
1026.41,8122.75
1027.18,8054.44
1027.96,8001
1028.73,7957.1
1029.51,7915.3
1030.29,7862.52
1031.06,7815.77
1031.84,7770.52
1032.61,7724.53
1033.39,7687.6
1034.16,7670.09
1034.94,7669.16
1035.71,7673.25
1036.49,7679
1037.26,7672.25
1038.04,7663.69
1038.81,7655.99
1039.59,7650.28
1040.36,7657.98
1041.14,7673.44
1041.91,7686.17
1042.69,7694.71
1043.46,7696.42
1044.24,7686.23
1045.01,7672.3
1045.78,7655.5
1046.56,7636.55
1047.33,7616.58
1048.11,7597.61
1048.88,7579.97
1049.65,7562.89
1050.43,7545.45
1051.2,7527.2
1051.98,7508.62
1052.75,7491.21
1053.52,7476.7
1054.3,7466.75
1055.07,7462.23
1055.84,7462.8
1056.62,7466.4
1057.39,7470.14
1058.16,7471.32
1058.94,7467.78
1059.71,7458.71
1060.48,7444.55
1061.25,7427.12
1062.03,7409.23
1062.8,7393.59
1063.57,7382.06
1064.34,7374.06
1065.11,7369.02
1065.89,7365.84
1066.66,7363.04
1067.43,7358.59
1068.2,7351.55
1068.98,7342.6
1069.75,7333.07
1070.52,7324.64
1071.29,7318.64
1072.06,7316.21
1072.83,7318.38
1073.6,7324.65
1074.38,7333.62
1075.15,7342.29
1075.92,7350.6
1076.69,7357.74
1077.46,7363.32
1078.23,7367.72
1079,7370.65
1079.77,7373.06
1080.54,7373.67
1081.31,7375
1082.08,7378
1082.85,7380
1083.62,7383
1084.39,7385
1085.17,7388
1085.93,7390
1086.7,7393
1087.48,7395
1088.24,7398
1089.01,7400
1089.78,7405
1090.55,7406.4
1091.32,7421.32
1092.09,7433.05
1092.86,7440.61
1093.63,7445.8
1094.4,7448
1095.17,7450.03
1095.94,7444.53
1096.71,7436.85
1097.48,7428.13
1098.25,7420.17
1099.01,7417.33
1099.78,7421.08
1100.55,7433.36
1101.32,7449.4
1102.09,7470.24
1102.86,7486.66
1103.63,7504.03
1104.39,7519.6
1105.16,7532.36
1105.93,7542.94
1106.7,7550.53
1107.47,7563.89
1108.23,7588.38
1109,7633.01
1109.77,7705.12
