Wave,Quartz
503.532,1175.46
504.357,1184.91
505.182,1195.88
506.007,1208.88
506.831,1222.31
507.654,1230.42
508.478,1231.61
509.303,1226.66
510.127,1214.69
510.951,1197.92
511.774,1183.89
512.598,1171.94
513.422,1162.42
514.246,1155.3
515.068,1151.38
515.891,1148.03
516.715,1146.83
517.537,1146.15
518.36,1145.67
519.184,1143.71
520.007,1142.73
520.829,1141.21
521.652,1139.58
522.475,1137.53
523.296,1134.92
524.119,1130.64
524.942,1136.04
525.763,1142.22
526.586,1138.88
527.409,1134.36
528.23,1130.4
529.052,1127.9
529.873,1126.29
530.695,1125.3
531.518,1125.17
532.338,1125.86
533.16,1127.6
533.98,1129.32
534.803,1129.3
535.625,1129.88
536.445,1130.51
537.266,1132.38
538.086,1134.14
538.908,1135.27
539.728,1135.6
540.549,1134.97
541.371,1133.45
542.19,1130.96
543.012,1127.47
543.831,1127.79
544.652,1128.59
545.471,1128.33
546.292,1126.62
547.111,1123.43
547.932,1118.46
548.751,1113.04
549.572,1112.54
550.391,1118.73
551.209,1118.97
552.03,1118.4
552.848,1118.67
553.669,1119.36
554.487,1119.8
555.307,1120.19
556.125,1120.53
556.945,1120.95
557.764,1121.38
558.581,1121.79
559.401,1122.08
560.219,1118.88
561.039,1119.36
561.857,1120.19
562.674,1121.66
563.494,1123.83
564.311,1124.35
565.129,1125.04
565.948,1126.04
566.765,1127.07
567.582,1126.67
568.401,1123.28
569.218,1117.45
570.035,1112.85
570.854,1110.21
571.671,1110.67
572.488,1110.21
573.306,1110.17
574.123,1110.89
574.939,1112.37
575.756,1114.57
576.574,1115.48
577.39,1116.27
578.207,1116.69
579.025,1115.8
579.841,1116.74
580.657,1117.49
581.473,1118.22
582.288,1119.02
583.106,1119.74
583.922,1120.46
584.737,1120.9
585.553,1121.41
586.368,1122.18
587.186,1122.94
588.001,1123.47
588.816,1123.52
589.632,1122.49
590.447,1120.65
591.264,1117.57
592.079,1115.49
592.894,1114.12
593.708,1113.97
594.523,1115.82
595.338,1117.6
596.152,1119.67
596.967,1121.74
597.783,1123.31
598.598,1124.49
599.412,1125.3
600.226,1125.66
601.04,1125.7
601.854,1125.22
602.668,1124.37
603.482,1123.2
604.296,1121.89
605.11,1121.41
605.924,1121.25
606.737,1122.3
607.551,1120.44
608.364,1118.73
609.178,1117.22
609.991,1114.49
610.804,1115
611.618,1116.86
612.431,1118.24
613.244,1119.07
614.057,1118.64
614.87,1118.33
615.682,1117.96
616.495,1117.55
617.308,1117.37
618.121,1117.22
618.933,1118.7
619.746,1119.64
620.558,1120.01
621.37,1119.67
622.183,1119.45
622.995,1119.38
623.807,1119.48
624.619,1119.36
625.429,1119.59
626.241,1120.61
627.053,1122.21
627.864,1123.89
628.676,1125.62
629.488,1125.24
630.299,1124.97
631.111,1124.47
631.92,1122.74
632.731,1121
633.542,1119.26
634.354,1118.56
635.165,1120.15
635.976,1120.04
636.785,1119.84
637.596,1119.78
638.406,1119.77
639.217,1119.95
640.026,1120.19
640.836,1120.97
641.647,1122.19
642.457,1123.68
643.268,1125.16
644.076,1125.6
644.886,1124.63
645.696,1121.17
646.504,1117.66
647.314,1115.56
648.124,1117.95
648.934,1119.06
649.742,1116.17
650.552,1114.44
651.361,1113.53
652.169,1113.37
652.978,1113.94
653.788,1115.21
654.595,1117.66
655.405,1118.04
656.214,1117.17
657.021,1118.28
657.83,1119.89
658.639,1122.3
659.446,1124.87
660.255,1127.38
661.064,1127.81
661.87,1126.79
662.679,1125.3
663.485,1123.18
664.294,1120.23
665.1,1116.55
665.909,1114.07
666.717,1112.22
667.523,1111.18
668.331,1111.01
669.137,1116.21
669.945,1118.91
670.751,1122.95
671.559,1123.71
672.365,1122.95
673.173,1120.8
673.978,1118.26
674.786,1116.93
675.591,1115.54
676.399,1114.48
677.204,1115.03
678.011,1115.79
678.816,1117.33
679.624,1119.26
680.429,1121.27
681.236,1123.19
682.041,1122.53
682.847,1122.4
683.652,1122.66
684.459,1123.29
685.263,1125.72
686.068,1128.41
686.875,1131.31
687.679,1132.98
688.485,1133.45
689.289,1134.22
690.094,1135.47
690.9,1137.33
691.704,1139.76
692.508,1143.06
693.314,1148.13
694.118,1154.46
694.923,1158.69
695.727,1158.74
696.531,1151.18
697.336,1144.5
698.14,1139.06
698.943,1135.72
699.746,1132.75
700.552,1131.06
701.355,1130.38
702.158,1130.67
702.963,1131.79
703.766,1133.35
704.569,1132.85
705.372,1129.93
706.177,1126.75
706.979,1123.6
707.782,1120.5
708.584,1118.99
709.389,1119.19
710.191,1120.57
710.994,1122.17
711.796,1123.35
712.6,1124.19
713.402,1124.67
714.204,1124.73
715.006,1124.29
715.808,1123.31
716.61,1121.66
717.414,1119.58
718.216,1118.18
719.017,1117.71
719.819,1119.78
720.62,1121.73
721.422,1125.06
722.223,1128.4
723.026,1131.2
723.827,1129.27
724.629,1125.75
725.43,1123.25
726.231,1121.39
727.031,1120.06
727.832,1118.76
728.633,1119.02
729.434,1120.04
730.234,1121.21
731.035,1122.26
731.836,1122.72
732.638,1122.45
733.438,1121.72
734.239,1120.91
735.039,1119.88
735.839,1118.88
736.639,1117.81
737.439,1117.04
738.239,1116.06
739.039,1115.33
739.839,1115.24
740.638,1115.8
741.438,1117.63
742.237,1119.71
743.035,1121.36
743.834,1124.24
744.634,1126.94
745.433,1129.17
746.232,1130.46
747.031,1130.62
747.83,1130.09
748.629,1128.68
749.428,1126.41
750.227,1123.28
751.026,1119.18
751.825,1114.45
752.621,1112.67
753.42,1116.2
754.218,1118.91
755.017,1120.95
755.815,1122.35
756.614,1123.92
757.412,1124.99
758.208,1125.64
759.006,1126.48
759.804,1127.48
760.602,1128.51
761.4,1129.12
762.196,1129.4
762.993,1129.31
763.791,1128.86
764.589,1128.08
765.386,1126.95
766.182,1125.5
766.979,1123.69
767.776,1121.9
768.574,1123.03
769.369,1128.57
770.166,1129.97
770.963,1130.58
771.76,1126.82
772.555,1126.9
773.352,1126.81
774.148,1126.59
774.943,1126.86
775.74,1126.91
776.536,1127.71
777.331,1128.87
778.127,1128.06
778.923,1126.75
779.718,1125
780.514,1123.92
781.31,1123.2
782.104,1122.78
782.9,1122.58
783.696,1122.53
784.49,1124.25
785.285,1127.09
786.079,1132.32
786.875,1136.8
787.67,1139.76
788.464,1141.99
789.259,1143.61
790.053,1143.99
790.848,1143.68
791.643,1142.33
792.436,1140.25
793.231,1137.46
794.024,1134.73
794.819,1134.91
795.612,1133.8
796.407,1138.99
797.2,1145.15
797.994,1150.24
798.787,1154.17
799.581,1154.7
800.374,1158.38
801.168,1163.68
801.96,1171.59
802.755,1178.39
803.547,1190.8
804.341,1206.99
805.133,1227.39
805.925,1245.94
806.719,1257.27
807.51,1257.09
808.304,1244.09
809.096,1230.4
809.89,1214.64
810.681,1197.95
811.473,1179.58
812.266,1168.55
813.057,1161.77
813.85,1155.81
814.642,1150.61
815.433,1146.17
816.226,1142.82
817.017,1140.13
817.808,1138.27
818.601,1137.22
819.391,1136.99
820.182,1137.58
820.975,1138.92
821.765,1140.14
822.556,1140.96
823.346,1139.75
824.138,1136.73
824.929,1133.07
825.719,1129.59
826.511,1126.57
827.301,1124.06
828.091,1121.96
828.881,1125.02
829.673,1126.44
830.463,1129.27
831.253,1129.43
832.042,1128.8
832.834,1125.88
833.623,1123.95
834.413,1123.2
835.202,1123.02
835.991,1123.65
836.781,1127.4
837.572,1130.73
838.361,1132.99
839.15,1132.36
839.939,1130.1
840.728,1126.1
841.517,1122.02
842.307,1119.43
843.096,1118.1
843.885,1118.16
844.673,1119.53
845.462,1122.2
846.25,1126
847.038,1129.81
847.827,1133.55
848.615,1135.86
849.403,1136.52
850.193,1136.07
850.981,1134.7
851.769,1132.8
852.557,1131.09
853.345,1130.03
854.132,1129.21
854.92,1128.59
855.708,1128.23
856.495,1128.1
857.283,1128.26
858.07,1128.63
858.857,1129.39
859.645,1129.85
860.432,1128.09
861.219,1124.51
862.006,1121.32
862.793,1118.63
863.58,1118.25
864.367,1117.59
865.153,1117.45
865.94,1117.52
866.725,1117.76
867.511,1118.14
868.298,1118.43
869.084,1118.83
869.87,1119.38
870.657,1120.12
871.443,1120.89
872.229,1119.09
873.015,1117.35
873.799,1116.82
874.585,1117.06
875.371,1117.8
876.157,1119.21
876.942,1120.68
877.728,1122.27
878.514,1122.31
879.297,1119.86
880.083,1112.84
880.868,1122.46
881.653,1122.02
882.439,1122.84
883.222,1123.77
884.007,1123.98
884.792,1124.42
885.577,1124.88
886.36,1125.11
887.145,1124.25
887.929,1120.84
888.714,1122.94
889.497,1124.22
890.281,1126.03
891.066,1127.85
891.85,1128.47
892.633,1128.67
893.417,1128.3
894.201,1127.36
894.983,1126.29
895.767,1125.23
896.551,1124.4
897.333,1123.62
898.117,1122.84
898.901,1122.12
899.683,1121.36
900.466,1120.42
901.25,1119.44
902.031,1118.81
902.815,1118.42
903.596,1118.21
904.38,1118.16
905.163,1117.92
905.944,1118.11
906.727,1118.88
907.508,1120.13
908.291,1121.82
909.074,1123.61
909.855,1124.16
910.638,1125.46
911.419,1126.49
912.201,1125.47
912.982,1123.4
913.764,1121.33
914.545,1121.01
915.327,1121.33
916.108,1122.99
916.89,1124.96
917.67,1126.19
918.452,1126.88
919.232,1126.98
920.014,1126.34
920.794,1124.85
921.576,1122.75
922.356,1121.7
923.137,1120.88
923.917,1122.27
924.697,1124.08
925.478,1125.43
926.257,1126.6
927.039,1128.49
927.818,1127.99
928.597,1124.79
929.378,1121.09
930.158,1117.96
930.939,1116.26
931.718,1116.57
932.496,1119.72
933.277,1118.88
934.056,1116.99
934.835,1115.46
935.615,1114.13
936.394,1113.22
937.172,1112.4
937.953,1111.79
938.731,1112.96
938.968,1113.38
939.755,1116.72
940.539,1120.12
941.323,1123.24
942.108,1126.59
942.892,1126.73
943.676,1125.98
944.462,1124.32
945.245,1121.5
946.029,1118.5
946.812,1116.58
947.598,1117.5
948.381,1117.9
949.164,1118.6
949.95,1119.49
950.733,1119.78
951.516,1119.48
952.299,1118.38
953.084,1116.83
953.867,1117.13
954.649,1117.79
955.432,1119.39
956.217,1120.96
956.999,1122.34
957.782,1123.65
958.564,1125.05
959.347,1126.63
960.131,1127.72
960.913,1127.63
961.695,1125.75
962.477,1123.28
963.26,1121.11
964.041,1118.57
964.825,1117.73
965.607,1118.61
966.389,1120.23
967.171,1123.14
967.952,1124.09
968.734,1123.43
969.515,1121.05
970.297,1118.11
971.08,1115.49
971.861,1112.69
972.643,1110.64
973.424,1108.61
974.205,1110.72
974.986,1115.28
975.767,1119.62
976.548,1122.47
977.329,1124.72
978.109,1126.6
978.89,1127.54
979.671,1127.63
980.451,1126.83
981.232,1125.05
982.014,1122.35
982.794,1119.14
983.575,1116.52
984.355,1114.1
985.135,1112.54
985.915,1111.58
986.695,1111.26
987.475,1111.84
988.255,1114.62
989.033,1117.25
989.812,1119.64
990.592,1121.86
991.372,1123.58
992.151,1124.53
992.93,1124.78
993.71,1124.24
994.489,1123.01
995.268,1120.78
996.048,1119.59
996.827,1117.15
997.606,1114.61
998.385,1113.71
999.164,1114.51
999.942,1117.21
1000.72,1119.25
1001.5,1120.62
1002.28,1121.59
1003.06,1122.25
1003.83,1122.39
1004.61,1122.29
1005.39,1122.01
1006.17,1121.59
1006.95,1121.28
1007.72,1120.94
1008.5,1120.49
1009.28,1120.09
1010.06,1119.72
1010.83,1119.47
1011.61,1119.59
1012.39,1120.8
1013.17,1122.6
1013.94,1124.29
1014.72,1125.74
1015.5,1126.51
1016.27,1126.37
1017.05,1125.56
1017.83,1124.92
1018.6,1124.21
1019.38,1123.39
1020.16,1124.87
1020.93,1121.09
1021.71,1117.77
1022.49,1115.88
1023.26,1115.08
1024.04,1116.88
1024.82,1119.75
1025.59,1122.93
1026.37,1124.67
1027.14,1125.22
1027.92,1124.62
1028.69,1121.37
1029.47,1117.92
1030.25,1116.49
1031.02,1116.19
1031.8,1117.57
1032.57,1119.88
1033.35,1122.82
1034.12,1126.51
1034.9,1125.91
1035.67,1121.92
1036.45,1118.4
1037.22,1115.22
1038,1113.02
1038.77,1113.71
1039.55,1115.29
1040.32,1117.28
1041.09,1119.87
1041.87,1122.01
1042.64,1122.06
1043.42,1121.86
1044.19,1121.3
1044.97,1120.32
1045.74,1118.9
1046.51,1116.93
1047.29,1115.46
1048.06,1114.38
1048.84,1113.99
1049.61,1114.99
1050.38,1115.44
1051.15,1115.47
1051.93,1115.61
1052.7,1115.87
1053.48,1116.19
1054.25,1116.6
1055.02,1117.41
1055.79,1117.72
1056.57,1118.01
1057.34,1118.07
1058.11,1118.42
1058.89,1118.94
1059.66,1119.5
1060.43,1120.16
1061.2,1120.85
1061.97,1121.59
1062.75,1122.34
1063.52,1122.99
1064.29,1123.53
1065.06,1124
1065.83,1124.46
1066.61,1124.85
1067.38,1125.11
1068.15,1125.12
1068.92,1124.22
1069.69,1122.84
1070.46,1122.54
1071.24,1125.26
1072.01,1131.28
1072.78,1134.47
1073.55,1129.55
1074.32,1114.95
1075.09,1114.95
1075.86,1119.96
1076.63,1125.12
1077.4,1128.9
1078.17,1131.96
1078.94,1134.64
1079.71,1136.16
1080.49,1135.36
1081.26,1133.2
1082.03,1128.64
1082.8,1128.05
1083.57,1128.72
1084.34,1128.16
1085.11,1127.26
1085.88,1126.07
1086.65,1125
1087.42,1124.31
1088.19,1123.94
1088.95,1124.3
1089.72,1124.63
1090.49,1124.99
1091.26,1125.39
1092.03,1125.24
1092.8,1125.1
1093.57,1125.35
1094.34,1125.47
1095.11,1125.32
1095.88,1124.82
1096.65,1123.52
1097.41,1122.35
1098.18,1123.76
1098.95,1128.64
1099.72,1128.92
1100.49,1129.29
1101.26,1129.24
1102.03,1128.77
