spectrum_id,source_type_normalized,training_role,split_v2,label_category_final,mineral_species_final,raman_qc_decision,raman_qc_reason,qc_snr_robust,qc_band_count,qc_top_band_prominence,qc_continuum_fraction,qc_spike_fraction,rruff_status,file_path
PARENT_0867,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Clay,Smectite,manual_review_keep_in_metadata,high_cosmic_spike_or_discontinuity_fraction,117.2991685174289,15,0.9999999999999946,0.03948863413701795,0.10824742268041238,,d:\dyt\raman\pigeonite\data\DUV-Smectite.csv
PARENT_0872,Lab-acquired DUV spectra,duv_supervised_reference,val,Clay,Chlorite1,main_training_keep,passes_provenance_and_spectral_quality_checks,8.296690608911414,163,0.9999999999973425,0.008468706676997234,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Chlorite1.csv
PARENT_0873,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Illite1,main_training_keep,passes_provenance_and_spectral_quality_checks,8.495060756524548,167,0.9999999999972274,0.007047342627656934,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Illite1.csv
PARENT_0874,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Kaolinite1,main_training_keep,passes_provenance_and_spectral_quality_checks,20.972823408563745,51,0.9999999999990555,0.004139353824714053,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Kaolinite1.csv
PARENT_0875,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Montmorillonite1,main_training_keep,passes_provenance_and_spectral_quality_checks,8.598157853408074,160,0.9770923304782246,0.007642959335982735,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Montmorillonite1.csv
PARENT_0876,Lab-acquired DUV spectra,duv_supervised_reference,train,Clay,Smectite1,main_training_keep,passes_provenance_and_spectral_quality_checks,8.345712355292118,164,0.9960158648948724,0.0022939089820484537,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Smectite1.csv
PARENT_0817,Lab-acquired DUV spectra,duv_supervised_reference,test,Glass,Basaltic Glass,main_training_keep,passes_provenance_and_spectral_quality_checks,135.69788991589368,45,0.6204829383046605,0.20161208044604742,0.004354926510615134,,d:\dyt\raman\pigeonite\data\DUV-Basaltic Glass.csv
PARENT_0929,Lab-acquired DUV spectra,duv_supervised_reference,test,Glass,Basaltic Glass1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.446152294427853,239,0.9838357517010048,0.007049323614482682,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Basaltic Glass1.csv
PARENT_0812,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Ammonium Chloride,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,92029637000000.1,4,0.9999999999999898,0.009618283440387596,0.0,,d:\dyt\raman\pigeonite\data\DUV-Ammonium Chloride.csv
PARENT_0821,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Ca Chloride,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,89464120000000.0,2,0.9999999999999898,0.005631241819962579,0.0,,d:\dyt\raman\pigeonite\data\DUV-Ca Chloride.csv
PARENT_0837,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Halite,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,150.7131038370473,25,0.9999999999999902,0.005170814618277621,0.022568511552928532,,d:\dyt\raman\pigeonite\data\DUV-Halite.csv
PARENT_0841,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,K Bromide,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,75.35655191852366,49,0.7519332840258135,0.06605281584897185,0.007345225603357817,,d:\dyt\raman\pigeonite\data\DUV-K Bromide.csv
PARENT_0849,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Mg Chloride,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,93411070000000.0,3,0.9999999999999898,0.006318226398897494,0.0,,d:\dyt\raman\pigeonite\data\DUV-Mg Chloride.csv
PARENT_0893,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,K Bromide1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,28.45846323284231,3,0.9999412401957868,0.005253260789680534,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-K Bromide1.csv
PARENT_0906,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Ca Chloride1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,96.84052969686377,2,0.9999999999990135,0.0008245652286532467,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Ca Chloride1.csv
PARENT_0907,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Halite1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,6.2902767427134,193,0.9777260023297063,0.006382775616120457,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Halite1.csv
PARENT_0908,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Mg Chloride1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,104.49127009779433,1,0.9999999999990767,0.0005941465767543509,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Mg Chloride1.csv
PARENT_0909,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,K Bromide1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,28.45846323284231,3,0.9999412401957868,0.005253260789680534,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-K Bromide1.csv
PARENT_0910,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Halides,Ammonium Chloride1,exclude_from_closed_set,halide_class_not_used_as_closed_set_raman_class,86.81486972130526,3,0.9999999999992517,0.0006545458262964,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Ammonium Chloride1.csv
PARENT_0851,Lab-acquired DUV spectra,duv_supervised_reference,test,K-Feldspar,Microcline,main_training_keep,passes_provenance_and_spectral_quality_checks,146.9345050729379,23,0.8064321232762808,0.062375019689056434,0.0054611650485436895,,d:\dyt\raman\pigeonite\data\DUV-Microcline.csv
PARENT_0861,Lab-acquired DUV spectra,duv_supervised_reference,val,K-Feldspar,Orthoclase,main_training_keep,passes_provenance_and_spectral_quality_checks,27.218815766476848,9,0.8535109870214878,0.02588217595328733,0.0,,d:\dyt\raman\pigeonite\data\DUV-Orthoclase.csv
PARENT_0918,Lab-acquired DUV spectra,duv_supervised_reference,train,K-Feldspar,Microline1,main_training_keep,passes_provenance_and_spectral_quality_checks,41.06277249623175,2,0.9971555355217557,0.0015846306716904605,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Microline1.csv
PARENT_0919,Lab-acquired DUV spectra,duv_supervised_reference,train,K-Feldspar,Orthoclase1,main_training_keep,passes_provenance_and_spectral_quality_checks,40.406901398231454,2,0.9974504069685185,0.0008627885126573622,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Orthoclase1.csv
PARENT_0818,Lab-acquired DUV spectra,duv_supervised_reference,train,Mica,Biotite,main_training_keep,passes_provenance_and_spectral_quality_checks,61.17194696871985,4,0.9999999999999921,0.04089611471955238,0.017467248908296942,,d:\dyt\raman\pigeonite\data\DUV-Biotite.csv
PARENT_0853,Lab-acquired DUV spectra,duv_supervised_reference,train,Mica,Muscovite,main_training_keep,passes_provenance_and_spectral_quality_checks,37.41456745241091,3,0.983448834122779,0.04590935187590301,0.005649717514124294,,d:\dyt\raman\pigeonite\data\DUV-Muscovite.csv
PARENT_0877,Lab-acquired DUV spectra,duv_supervised_reference,test,Mica,Biotite1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.58491548495092,242,0.9911902063665715,0.017771167089486745,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Biotite1.csv
PARENT_0878,Lab-acquired DUV spectra,duv_supervised_reference,train,Mica,Muscovite1,main_training_keep,passes_provenance_and_spectral_quality_checks,18.14885011840911,13,0.9999999999990257,0.004480230758843755,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Muscovite1.csv
PARENT_0831,Lab-acquired DUV spectra,duv_supervised_reference,train,Olivine,Fayalite,main_training_keep,passes_provenance_and_spectral_quality_checks,77.26394707844598,53,0.9999999999999954,0.06936657145743012,0.0004870920603994155,,d:\dyt\raman\pigeonite\data\DUV-Fayalite.csv
PARENT_0835,Lab-acquired DUV spectra,duv_supervised_reference,train,Olivine,Forsterite,main_training_keep,passes_provenance_and_spectral_quality_checks,166.69874242699592,7,0.8004886102362274,0.045307068377921214,0.033203125,,d:\dyt\raman\pigeonite\data\DUV-Forsterite.csv
PARENT_0859,Lab-acquired DUV spectra,duv_supervised_reference,train,Olivine,Olivine,main_training_keep,passes_provenance_and_spectral_quality_checks,180.86374289561567,10,0.9999999999999956,0.0749562141724851,0.06352261790182868,,d:\dyt\raman\pigeonite\data\DUV-Olivine.csv
PARENT_0920,Lab-acquired DUV spectra,duv_supervised_reference,test,Olivine,Fayalite1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.737527836191009,233,0.9426138981111015,0.026043459498537473,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Fayalite1.csv
PARENT_0921,Lab-acquired DUV spectra,duv_supervised_reference,train,Olivine,Forsterite1,main_training_keep,passes_provenance_and_spectral_quality_checks,32.85792240407005,3,0.9932102254815816,0.0002765761445583664,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Forsterite1.csv
PARENT_0922,Lab-acquired DUV spectra,duv_supervised_reference,val,Olivine,Olivine1,main_training_keep,passes_provenance_and_spectral_quality_checks,27.553100701766503,18,0.9962233941777369,0.0015658651129822432,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Olivine1.csv
PARENT_0829,Lab-acquired DUV spectra,duv_supervised_reference,train,Other Silicates,Epidote,main_training_keep,passes_provenance_and_spectral_quality_checks,89.30153429816805,17,0.9999999999999958,0.06567971986520119,0.013550135501355014,,d:\dyt\raman\pigeonite\data\DUV-Epidote.csv
PARENT_0869,Lab-acquired DUV spectra,duv_supervised_reference,train,Other Silicates,Topaz,main_training_keep,passes_provenance_and_spectral_quality_checks,121.5242345764702,7,0.9999999999999953,0.04363883438671888,0.002421307506053269,,d:\dyt\raman\pigeonite\data\DUV-Topaz.csv
PARENT_0914,Lab-acquired DUV spectra,duv_supervised_reference,train,Other Silicates,Epidote1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.502512411189469,247,0.9436025792139507,0.0123049660464132,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Epidote1.csv
PARENT_0916,Lab-acquired DUV spectra,duv_supervised_reference,test,Other Silicates,Topaz1,main_training_keep,passes_provenance_and_spectral_quality_checks,40.571787272125505,3,0.9983454105561617,0.0013971260322593203,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Topaz1.csv
PARENT_0819,Lab-acquired DUV spectra,duv_supervised_reference,train,Oxides/Hydroxides,Brucite,main_training_keep,passes_provenance_and_spectral_quality_checks,62552524699999.94,1,0.9999999999999895,0.0034982732659246288,0.0,,d:\dyt\raman\pigeonite\data\DUV-Brucite.csv
PARENT_0839,Lab-acquired DUV spectra,duv_supervised_reference,val,Oxides/Hydroxides,Hematite,main_training_keep,passes_provenance_and_spectral_quality_checks,23.219658320186944,21,0.9999999999999911,0.03374139427660228,0.0,,d:\dyt\raman\pigeonite\data\DUV-Hematite.csv
PARENT_0847,Lab-acquired DUV spectra,duv_supervised_reference,val,Oxides/Hydroxides,Manganite,main_training_keep,passes_provenance_and_spectral_quality_checks,134.32339091325994,47,0.8386925929425053,0.031013227311449156,0.007554296506137866,,d:\dyt\raman\pigeonite\data\DUV-Manganite.csv
PARENT_0911,Lab-acquired DUV spectra,duv_supervised_reference,train,Oxides/Hydroxides,Hematite1,main_training_keep,passes_provenance_and_spectral_quality_checks,4.426448282120177,263,0.9787569556016532,0.006605227807320511,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Hematite1.csv
PARENT_0912,Lab-acquired DUV spectra,duv_supervised_reference,train,Oxides/Hydroxides,Manganite1,main_training_keep,passes_provenance_and_spectral_quality_checks,6.756371564569029,201,0.9886303767296226,0.008792658796636538,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Manganite1.csv
PARENT_0913,Lab-acquired DUV spectra,duv_supervised_reference,train,Oxides/Hydroxides,Brucite1,main_training_keep,passes_provenance_and_spectral_quality_checks,19.685223412201665,1,0.9969066568484141,0.006254794612307462,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Brucite1.csv
PARENT_0834,Lab-acquired DUV spectra,duv_supervised_reference,train,Phosphate,Fluorapatite,main_training_keep,passes_provenance_and_spectral_quality_checks,89.13029443740028,7,0.9999999999999907,0.029254617857631927,0.00546448087431694,,d:\dyt\raman\pigeonite\data\DUV-Fluorapatite.csv
PARENT_0891,Lab-acquired DUV spectra,duv_supervised_reference,train,Phosphate,Fluorapatite1,main_training_keep,passes_provenance_and_spectral_quality_checks,40.72394059420614,2,0.9980346024521689,0.002060648736576012,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Fluorapatite1.csv
PARENT_0820,Lab-acquired DUV spectra,duv_supervised_reference,train,Plagioclase,Bytownite,main_training_keep,passes_provenance_and_spectral_quality_checks,146.66741698293535,33,0.9999999999999952,0.0312727936427272,0.00712719298245614,,d:\dyt\raman\pigeonite\data\DUV-Bytownite.csv
PARENT_0845,Lab-acquired DUV spectra,duv_supervised_reference,val,Plagioclase,Labradorite,main_training_keep,passes_provenance_and_spectral_quality_checks,138.65489074359695,37,0.9999999999999953,0.04600115112785074,0.006784968684759917,,d:\dyt\raman\pigeonite\data\DUV-Labradorite.csv
PARENT_0923,Lab-acquired DUV spectra,duv_supervised_reference,val,Plagioclase,Bytownite1,main_training_keep,passes_provenance_and_spectral_quality_checks,7.585554880214824,181,0.984407870575726,0.003524498924664358,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Bytownite1.csv
PARENT_0924,Lab-acquired DUV spectra,duv_supervised_reference,train,Plagioclase,Labradorite1,main_training_keep,passes_provenance_and_spectral_quality_checks,9.383934157376377,147,0.9901274710188812,0.0034280778986377383,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Labradorite1.csv
PARENT_0816,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Pyroxene,Augite,manual_review_keep_in_metadata,high_cosmic_spike_or_discontinuity_fraction,176.46639088163832,36,0.7295812978986566,0.06878415641405887,0.0936936936936937,,d:\dyt\raman\pigeonite\data\DUV-Augite.csv
PARENT_0826,Lab-acquired DUV spectra,duv_supervised_reference,reference_qc_excluded,Pyroxene,Diopside,manual_review_keep_in_metadata,high_cosmic_spike_or_discontinuity_fraction,148.85254553204803,6,0.999999999999995,0.004164951165085198,0.09930715935334873,,d:\dyt\raman\pigeonite\data\DUV-Diopside.csv
PARENT_0828,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Enstatite,main_training_keep,passes_provenance_and_spectral_quality_checks,106.29953971300986,16,0.9369542813239744,0.08165861318684141,0.013025458851391355,,d:\dyt\raman\pigeonite\data\DUV-Enstatite.csv
PARENT_0838,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Hedenbergite,main_training_keep,passes_provenance_and_spectral_quality_checks,36.056464447906976,10,0.9245079570158594,0.06071224526495975,0.0031746031746031746,,d:\dyt\raman\pigeonite\data\DUV-Hedenbergite.csv
PARENT_0925,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Augite1,main_training_keep,passes_provenance_and_spectral_quality_checks,10.30291063930166,138,0.9651462471036952,0.006868714899985343,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Augite1.csv
PARENT_0926,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Diopside1,main_training_keep,passes_provenance_and_spectral_quality_checks,11.93115659142975,125,0.9719393520151497,0.0060974960423000575,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Diopside1.csv
PARENT_0927,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Enstatite1,main_training_keep,passes_provenance_and_spectral_quality_checks,14.17146484905198,117,0.9971432348851953,0.00184797504206869,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Enstatite1.csv
PARENT_0928,Lab-acquired DUV spectra,duv_supervised_reference,train,Pyroxene,Hedenbergite1,main_training_keep,passes_provenance_and_spectral_quality_checks,7.1818442962742,158,0.9999999999973345,0.011194315521023276,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Hedenbergite1.csv
PARENT_0814,Lab-acquired DUV spectra,duv_supervised_reference,val,Serpentine,Antigorite,main_training_keep,passes_provenance_and_spectral_quality_checks,119.23372861675017,32,0.9999999999999937,0.033568575038065485,0.0010683760683760685,,d:\dyt\raman\pigeonite\data\DUV-Antigorite.csv
PARENT_0864,Lab-acquired DUV spectra,duv_supervised_reference,train,Serpentine,Serpentine,main_training_keep,passes_provenance_and_spectral_quality_checks,148.8036836284753,33,0.9999999999999937,0.0638224749178753,0.0027292576419213972,,d:\dyt\raman\pigeonite\data\DUV-Serpentine.csv
PARENT_0865,Lab-acquired DUV spectra,duv_supervised_reference,test,Serpentine,Serpentinite,main_training_keep,passes_provenance_and_spectral_quality_checks,127.89485644552808,35,0.9999999999999938,0.014137491705332107,0.0016251354279523294,,d:\dyt\raman\pigeonite\data\DUV-Serpentinite.csv
PARENT_0879,Lab-acquired DUV spectra,duv_supervised_reference,train,Serpentine,Antigorite1,main_training_keep,passes_provenance_and_spectral_quality_checks,18.789851192135377,20,0.9922920366875017,0.007809389447386175,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Antigorite1.csv
PARENT_0880,Lab-acquired DUV spectra,duv_supervised_reference,train,Serpentine,Serpentine1,main_training_keep,passes_provenance_and_spectral_quality_checks,14.053727247861133,54,0.9959262186397095,0.0011832750095324826,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Serpentine1.csv
PARENT_0881,Lab-acquired DUV spectra,duv_supervised_reference,train,Serpentine,Serpentinite1,main_training_keep,passes_provenance_and_spectral_quality_checks,13.115774359317951,58,0.9883059854444433,0.002186410728022952,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Serpentinite1.csv
PARENT_0860,Lab-acquired DUV spectra,duv_supervised_reference,train,Silica Phase,Opal,main_training_keep,passes_provenance_and_spectral_quality_checks,177.42026486138494,13,0.9999999999999954,0.028797559524035152,0.015340364333652923,,d:\dyt\raman\pigeonite\data\DUV-Opal.csv
PARENT_0862,Lab-acquired DUV spectra,duv_supervised_reference,train,Silica Phase,Quartz,main_training_keep,passes_provenance_and_spectral_quality_checks,144722303599999.12,8,0.9556978651459008,0.0037381763515100955,0.0,,d:\dyt\raman\pigeonite\data\DUV-Quartz.csv
PARENT_0915,Lab-acquired DUV spectra,duv_supervised_reference,val,Silica Phase,Opal1,main_training_keep,passes_provenance_and_spectral_quality_checks,10.035938111549115,138,0.999999999997151,0.0049060901779399,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Opal1.csv
PARENT_0917,Lab-acquired DUV spectra,duv_supervised_reference,val,Silica Phase,Quartz1,main_training_keep,passes_provenance_and_spectral_quality_checks,21.399853139485842,3,0.997929947623015,0.0026886285325495875,0.0,,d:\dyt\raman\pigeonite\augmented_tongyi_physics4\DUV-Quartz1.csv
PARENT_0813,Lab-acquired DUV spectra,duv_supervised_reference,train,Sulfate,Anhydrite,main_training_keep,passes_provenance_and_spectral_quality_checks,89586312000000.22,6,0.9999999999999907,0.020809045375566326,0.0,,d:\dyt\raman\pigeonite\data\DUV-Anhydrite.csv
PARENT_0830,Lab-acquired DUV spectra,duv_supervised_reference,train,Sulfate,Epsomite,main_training_keep,passes_provenance_and_spectral_quality_checks,110108709999999.97,5,0.9999999999999909,0.002277180527106561,0.0,,d:\dyt\raman\pigeonite\data\DUV-Epsomite.csv
